
[00:00:00.000 --> 00:00:07.000]  我一起來看全道書第四個人生的荒謬
[00:00:07.000 --> 00:00:10.000]  第四個人生的荒謬
[00:00:10.000 --> 00:00:16.000]  人生消逝的荒謬
[00:00:16.000 --> 00:00:19.000]  生命消逝的荒謬
[00:00:19.000 --> 00:00:26.000]  這四個荒謬是我自己研究全道書所得到的一些體會
[00:00:26.000 --> 00:00:35.000]  我覺得這四個題目都是全道書裏面有相當多的篇幅和內容來處理的
[00:00:35.000 --> 00:00:39.000]  當然全道書裏面可能還有其他的東西我跳了沒講
[00:00:39.000 --> 00:00:44.000]  也不可能在短短的兩晚裏面將全道書裏面所有的教訓都講完
[00:00:44.000 --> 00:00:48.000]  我是分題式的來講 希望大家會習慣
[00:00:48.000 --> 00:00:50.000]  我不是每一節一節這樣講下去
[00:00:52.000 --> 00:00:57.000]  有一件事我是很怕的 怕什麼呢?
[00:00:57.000 --> 00:01:06.000]  在過去的一段日子 我都有不少機會認識一些影視界的人
[00:01:06.000 --> 00:01:11.000]  或者是明星那些人 很多時候接觸他們的圈子
[00:01:11.000 --> 00:01:13.000]  有一件事其實我很怕的
[00:01:13.000 --> 00:01:18.000]  就是很怕和那些過氣的明星聊天
[00:01:19.000 --> 00:01:24.000]  尤其是怕那些已經老了過氣的女明星聊天
[00:01:24.000 --> 00:01:28.000]  最近有一次有這樣的經驗
[00:01:28.000 --> 00:01:33.000]  我記得和她聊天 她在那邊吸煙
[00:01:33.000 --> 00:01:37.000]  她還是很濃妝 可能是以前的她還挺漂亮的
[00:01:37.000 --> 00:01:39.000]  年輕的時候
[00:01:39.000 --> 00:01:43.000]  那時候的那些威風的事
[00:01:43.000 --> 00:01:48.000]  那時候哪個導演求我求了兩個星期
[00:01:48.000 --> 00:01:51.000]  我都不肯安排
[00:01:51.000 --> 00:01:53.000]  我一邊聽一邊坐下來
[00:01:53.000 --> 00:01:57.000]  其實她說的那個導演我都不認識
[00:01:57.000 --> 00:02:01.000]  可能是當年很厲害 但可能我那時候還沒有出生
[00:02:01.000 --> 00:02:03.000]  那時候我很小
[00:02:03.000 --> 00:02:05.000]  她的名字我也稍微聽過
[00:02:05.000 --> 00:02:09.000]  可能她也是曾經試過很受重視的女明星
[00:02:09.000 --> 00:02:16.000]  我看見一幅是一種過氣的明星的瘡傷
[00:02:16.000 --> 00:02:18.000]  現在沒有人要她了
[00:02:18.000 --> 00:02:21.000]  喝酒了 婚姻破裂了
[00:02:21.000 --> 00:02:24.000]  但是說起那時候的精神
[00:02:24.000 --> 00:02:28.000]  其實對一個年輕人來說我覺得很荒謬
[00:02:28.000 --> 00:02:30.000]  也覺得很唏噓
[00:02:30.000 --> 00:02:33.000]  我感覺到在她的生命裡我看到一種消逝感
[00:02:33.000 --> 00:02:37.000]  那種曾經風光過的消逝感
