
[00:00:00.000 --> 00:00:02.720]  我們今早的崇拜就是選了
[00:00:02.720 --> 00:00:05.520]  剛才我們所讀的那篇很美麗的詩篇
[00:00:05.520 --> 00:00:09.240]  121篇跟大家一齊來思想
[00:00:09.240 --> 00:00:12.480]  神自己在我們城北30年
[00:00:12.480 --> 00:00:17.000]  過去、現在、將來要走的道路
[00:00:17.000 --> 00:00:21.000]  詩篇121篇是很多頂姐妹都很熟悉的詩篇
[00:00:21.000 --> 00:00:25.600]  待會我都想跟大家一起讀一些裡面的經文
[00:00:25.600 --> 00:00:29.400]  如果你手裏面是有這個和合本的聖經
[00:00:29.400 --> 00:00:31.400]  我請你打開拿出來
[00:00:31.400 --> 00:00:34.480]  我很想跟大家一起去重溫
[00:00:34.480 --> 00:00:38.360]  也是深刻的看著這篇詩篇 好不好?
[00:00:38.360 --> 00:00:39.960]  雖然這篇詩篇很短
[00:00:39.960 --> 00:00:41.720]  有些頂姐妹都會背的
[00:00:41.720 --> 00:00:45.400]  但是背我們都要好好的來記住
[00:00:45.400 --> 00:00:47.960]  這篇詩篇裏面所講的話
[00:00:47.960 --> 00:00:50.480]  大家待會聽到的時候
[00:00:50.480 --> 00:00:54.800]  就看這個PowerPoint就可以了
[00:00:54.800 --> 00:00:59.240]  因為有我們這個程序單裏面
[00:00:59.240 --> 00:01:02.040]  印出來的大綱有些遺漏
[00:01:02.040 --> 00:01:03.800]  有幾段是遺漏了
[00:01:03.800 --> 00:01:06.320]  所以你會跟不上我說什麼
[00:01:06.320 --> 00:01:11.040]  你看著那個打出的螢幕就可以了
[00:01:11.040 --> 00:01:13.520]  為什麼會選擇這篇詩篇?
[00:01:13.520 --> 00:01:16.800]  我們城北經過了30年的日子
[00:01:16.800 --> 00:01:20.200]  我不知道你可能是從第一年開始來的
[00:01:20.200 --> 00:01:22.880]  我都不是很久 我25年而已
[00:01:22.880 --> 00:01:24.560]  有些人可能來了幾年
[00:01:24.560 --> 00:01:26.480]  不要緊 無論是什麼日子
[00:01:26.480 --> 00:01:27.680]  我想告訴你
[00:01:27.680 --> 00:01:30.480]  我們城北堂正如所有的教會一樣
[00:01:30.480 --> 00:01:33.280]  經過了高高低低有困難的時刻
[00:01:33.280 --> 00:01:36.640]  有些時刻我們甚至認為不知道怎麼算
[00:01:36.640 --> 00:01:38.920]  尤其是在建堂的過程裏面
[00:01:38.920 --> 00:01:40.760]  我們看到一些情況底下
[00:01:40.760 --> 00:01:42.200]  我們當然是毫無辦法
[00:01:42.200 --> 00:01:43.680]  但是神也是這樣帶領我們
[00:01:43.680 --> 00:01:46.760]  所以今天你們和我們一起坐在這裏的時候
[00:01:46.760 --> 00:01:49.480]  我們回顧我們心裏面獻上感謝
[00:01:49.480 --> 00:01:50.760]  充滿了感恩
[00:01:50.760 --> 00:01:53.080]  因為我們經過很多的日子
[00:01:53.080 --> 00:01:56.280]  很多的恩典 也都很多的困難
[00:01:56.280 --> 00:01:59.560]  描向將來我們開始第31年
[00:01:59.560 --> 00:02:00.800]  我們前面還有很多年
[00:02:00.800 --> 00:02:02.760]  很多年要繼續下去的時候
[00:02:02.760 --> 00:02:05.600]  我們仰望那位似應許的神
[00:02:05.600 --> 00:02:08.400]  當我想到這種心境的時候
[00:02:08.400 --> 00:02:09.960]  我就想起以色列人
[00:02:09.960 --> 00:02:11.480]  以色列人同樣一樣
[00:02:11.480 --> 00:02:13.760]  他們是離開埃及
[00:02:13.760 --> 00:02:15.400]  去到抗夜的時候
[00:02:15.400 --> 00:02:18.080]  前路茫茫碰見很多的困難
[00:02:18.080 --> 00:02:22.400]  然後他們遙望著這個應許之地要進發
[00:02:22.400 --> 00:02:26.000]  幾十年在這塊地方裏面帶著這個信心
[00:02:26.000 --> 00:02:29.680]  這個心境就是和我們今天都同樣一樣
[00:02:29.680 --> 00:02:32.360]  如果你和我一樣曾經試過
[00:02:32.360 --> 00:02:35.120]  我都記得我們如果坐飛機
[00:02:35.120 --> 00:02:38.240]  經過巴勒斯坦的上空
[00:02:38.240 --> 00:02:42.120]  無論在香港飛過來或者是怎樣都好
[00:02:42.120 --> 00:02:43.400]  你經過這個上空的時候
