
[00:00:00.000 --> 00:00:03.980]  各位主內的弟兄姊妹,你們好
[00:00:03.980 --> 00:00:10.340]  今天我們繼續地領受關於侍奉的信息
[00:00:10.340 --> 00:00:16.880]  神話語當中有很重要的關於侍奉的教導、啓發
[00:00:16.880 --> 00:00:26.640]  是每一個侍奉的人應該很注意、很謙卑、很熱忱學習的功課
[00:00:26.640 --> 00:00:38.240]  這次我們領受信息的題目就是侍奉與愛惜光陰
[00:00:38.240 --> 00:00:45.740]  保羅他在《依附所書》五章十六節說了這句話
[00:00:45.740 --> 00:00:49.500]  要愛惜光陰
[00:00:49.500 --> 00:00:53.940]  因爲現今的世代邪惡
[00:00:53.940 --> 00:00:59.240]  這裏把世代邪惡和愛惜光陰連在一起
[00:00:59.240 --> 00:01:04.740]  而且告訴我們是因果的關係
[00:01:04.740 --> 00:01:07.840]  因爲現今的世代邪惡
[00:01:07.840 --> 00:01:12.240]  所以我們要愛惜光陰
[00:01:12.240 --> 00:01:15.240]  意思就是說
[00:01:15.240 --> 00:01:25.940]  這個世界的潮流很容易使人忽略了愛惜光陰的真理
[00:01:25.940 --> 00:01:32.140]  不知不覺就受了世上物質事物的引誘
[00:01:32.140 --> 00:01:37.140]  把我們的寶貴的時間荒廢了
[00:01:37.140 --> 00:01:41.940]  第二個意思在這句話裏面就是說
[00:01:41.940 --> 00:01:45.240]  現今的世代邪惡
[00:01:45.240 --> 00:01:48.140]  我們有很多的工作要做
[00:01:48.140 --> 00:01:51.640]  所以我們必須愛惜光陰
[00:01:51.640 --> 00:01:55.440]  曉得如何地把握時間
[00:01:55.440 --> 00:01:58.940]  省給我們的一分一秒
[00:01:58.940 --> 00:02:04.140]  我們都要爭取爲了在這個不容易工作
[00:02:04.140 --> 00:02:08.440]  又很強敵對勢力的處境中
[00:02:08.440 --> 00:02:11.540]  把工作做得好
[00:02:11.540 --> 00:02:15.140]  工作需要光陰
[00:02:15.140 --> 00:02:18.740]  我們常常聽見人說
[00:02:18.740 --> 00:02:22.640]  光陰似箭 一去不回
[00:02:22.640 --> 00:02:26.940]  這是很值得我們注意的
[00:02:26.940 --> 00:02:30.440]  靈慧其中意義的一句話
[00:02:30.440 --> 00:02:34.540]  真是令人初目驚心
[00:02:34.540 --> 00:02:37.240]  人生很短促
[00:02:37.240 --> 00:02:42.640]  我們的年月一去不回
[00:02:42.640 --> 00:02:46.540]  所以我們必須在光陰失去之前
[00:02:46.540 --> 00:02:49.740]  緊緊地抓住
[00:02:49.740 --> 00:02:53.040]  可以彼此的提醒
[00:02:53.040 --> 00:02:58.240]  來好好利用省給我們的一切的光陰
[00:02:58.240 --> 00:03:02.040]  一切的機會來侍奉
[00:03:02.040 --> 00:03:03.840]  來見證
[00:03:03.840 --> 00:03:06.140]  來榮耀神
[00:03:06.140 --> 00:03:10.340]  所以我們從這篇的信息當中
[00:03:10.340 --> 00:03:13.740]  檢討自己對光陰的用法
[00:03:13.740 --> 00:03:15.540]  是不是正確
[00:03:15.540 --> 00:03:20.040]  是不是和神的心意
[00:03:20.040 --> 00:03:22.040]  那麼我們更進一步
[00:03:22.040 --> 00:03:23.740]  藉着這個信息
[00:03:23.740 --> 00:03:28.040]  也可以對我們自己的人生的價值
[00:03:28.040 --> 00:03:31.640]  有個重新的估價
[00:03:31.640 --> 00:03:36.440]  要看得清清楚楚
[00:03:36.440 --> 00:03:38.440]  很多侍奉的人
[00:03:38.440 --> 00:03:41.140]  在時間的利用上
[00:03:41.140 --> 00:03:46.040]  留下了很寬的邊緣部分
[00:03:46.040 --> 00:03:48.440]  讓這一部分的時光
[00:03:48.440 --> 00:03:50.440]  糊里糊塗地過去了
[00:03:50.440 --> 00:03:53.540]  是溜過去的
[00:03:53.540 --> 00:03:55.540]  那麼這一部分的時光
[00:03:55.540 --> 00:03:57.440]  有的時候
[00:03:57.440 --> 00:04:02.640]  竟然可以佔了可用的時光的四分之一
[00:04:02.640 --> 00:04:05.940]  甚至於三分之一之多
[00:04:05.940 --> 00:04:09.440]  這是很嚴肅的一件事
[00:04:09.440 --> 00:04:13.140]  這是很嚴重的一件事
[00:04:13.140 --> 00:04:14.740]  一個人的人生
[00:04:14.740 --> 00:04:16.640]  特別侍奉的人生
[00:04:16.640 --> 00:04:19.040]  是否充實
[00:04:19.040 --> 00:04:23.940]  就跟這一部分邊緣時間
[00:04:23.940 --> 00:04:27.140]  有密切的關係
[00:04:27.140 --> 00:04:28.940]  很多成功的人就是
[00:04:28.940 --> 00:04:35.040]  那些善於利用邊緣時間的人
[00:04:35.040 --> 00:04:37.140]  他們把這些邊緣時間
[00:04:37.140 --> 00:04:39.940]  極少程度
[00:04:39.940 --> 00:04:45.440]  對他們事業的成功很有幫助
[00:04:45.440 --> 00:04:49.840]  影響重大的因素
[00:04:49.840 --> 00:04:51.440]  對於一般人是如此
[00:04:51.440 --> 00:04:55.740]  對於侍奉主的人也是一樣
[00:04:55.740 --> 00:04:57.340]  所以如果一個人
[00:04:57.340 --> 00:05:00.040]  將他的時間用得好
[00:05:00.040 --> 00:05:03.340]  他可以在六十年之內
[00:05:03.340 --> 00:05:07.140]  做了八十年的工作
[00:05:07.140 --> 00:05:10.640]  六十歲等於八十歲
[00:05:10.640 --> 00:05:15.540]  這是很值得我們注意的一個事實
[00:05:15.540 --> 00:05:18.540]  我們可以等於多活了
[00:05:18.540 --> 00:05:23.340]  四分之一甚至於三分之一的時間
[00:05:23.340 --> 00:05:27.640]  讓我們的壽命等於延長了
[00:05:27.640 --> 00:05:30.040]  我們的工作增加了
[00:05:30.040 --> 00:05:34.840]  我們爲主的成就也提高了
[00:05:34.840 --> 00:05:40.940]  這是意義重大的一件事
[00:05:40.940 --> 00:05:43.540]  浪費光陰的人
[00:05:43.540 --> 00:05:46.440]  是一種的浪子
[00:05:46.440 --> 00:05:49.940]  他所浪費的不是父母的財產
