
[00:00:00.000 --> 00:00:06.000]  今日和大家思想的題目就是關愛在困苦、窮乏當中的人
[00:00:06.000 --> 00:00:09.000]  我想開始首先提一提大家如果記得在兩個星期之前
[00:00:09.000 --> 00:00:13.000]  我們曾經提到一個題目就是禱告的教會
[00:00:13.000 --> 00:00:17.000]  當時我提了一間教會的名稱
[00:00:17.000 --> 00:00:21.000]  就是布魯克林的一間回膜教會
[00:00:21.000 --> 00:00:24.000]  Bruckner Tabernacle Church在紐約的地方
[00:00:24.000 --> 00:00:28.000]  這間教會的出名之處就是他們是很多人
[00:00:28.000 --> 00:00:31.000]  很多頂尖之妹是參加祈禱會的
[00:00:31.000 --> 00:00:35.000]  他們的祈禱會的熱切是讓我們很讚嘆
[00:00:35.000 --> 00:00:39.000]  他們的祈禱會需要有人排隊才可以進入他們的禮堂
[00:00:39.000 --> 00:00:41.000]  來參加禱告聚會
[00:00:41.000 --> 00:00:46.000]  但另一方面他們的特點就是他們有很多很多的事工小組
[00:00:46.000 --> 00:00:49.000]  很多年前已經有七八十個事工小組
[00:00:49.000 --> 00:00:52.000]  這些事工小組是什麼小組呢
[00:00:52.000 --> 00:00:56.000]  他們是關懷社區的不同小組
[00:00:56.000 --> 00:01:02.000]  例如他們有關懷無家者的事工小組
[00:01:02.000 --> 00:01:06.000]  一些露宿街頭無家可歸的朋友小組
[00:01:06.000 --> 00:01:11.000]  另外他們有關懷區內單親人士的小組
[00:01:11.000 --> 00:01:15.000]  或者說關懷愛滋病者的小組
[00:01:15.000 --> 00:01:19.000]  這些小組都是一群群頂尖之妹自己自發組織成的
[00:01:19.000 --> 00:01:24.000]  不是教會某一些專業的人士或者是同工
[00:01:24.000 --> 00:01:26.000]  怎樣去推動他們
[00:01:26.000 --> 00:01:29.000]  只是讓他們自己去祈禱
[00:01:29.000 --> 00:01:32.000]  教會所做的事情就是勉勵大家去祈禱
[00:01:32.000 --> 00:01:34.000]  去尋求神的引導
[00:01:34.000 --> 00:01:40.000]  求神給予感動、給予負擔、然後給予計劃
[00:01:40.000 --> 00:01:45.000]  然後他們就自發地組成這些事工小組來行動
[00:01:45.000 --> 00:01:47.000]  當我聽見這件事的時候
[00:01:47.000 --> 00:01:52.000]  我心裡就想如果有一天神將這些事工小組賜給北宣
