
[00:00:00.000 --> 00:00:02.000]  大家知道我們已經一段時間在說
[00:00:02.000 --> 00:00:03.440]  使命教會是甚麼
[00:00:03.440 --> 00:00:04.640]  我們今天提到
[00:00:04.640 --> 00:00:05.840]  使命教會是
[00:00:05.840 --> 00:00:08.880]  「將基督道成肉身」的教會
[00:00:08.880 --> 00:00:10.680]  我們提到
[00:00:10.680 --> 00:00:14.000]  主耶穌基督祂「道」成為肉身
[00:00:14.000 --> 00:00:16.360]  亦在世上成為了人
[00:00:16.360 --> 00:00:18.560]  亦成為了奴僕
[00:00:18.560 --> 00:00:21.200]  每當我們說起奴僕的時候
[00:00:21.200 --> 00:00:23.840]  可能我們未必很明白當中的含義
[00:00:23.840 --> 00:00:26.680]  甚至覺得是很隨意的事情
[00:00:26.680 --> 00:00:28.600]  覺得是很明白的事情
[00:00:29.400 --> 00:00:32.720]  有一次我很深刻聽到一位牧師的分享
[00:00:32.720 --> 00:00:34.520]  我就明白多一點
[00:00:34.520 --> 00:00:37.760]  這位牧師他自己本身在宣教工場
[00:00:37.760 --> 00:00:41.760]  常常有機會跟一些黑人弟兄姊妹講道
[00:00:41.760 --> 00:00:44.560]  他跟弟兄姊妹講道的時候
[00:00:44.560 --> 00:00:46.080]  是很有回應的
[00:00:46.080 --> 00:00:48.560]  可能是黑人文化的背景
[00:00:48.560 --> 00:00:49.920]  他一講道的時候
[00:00:49.920 --> 00:00:50.800]  講了兩句
[00:00:50.800 --> 00:00:52.440]  下面就說「阿們」
[00:00:52.440 --> 00:00:54.040]  再講了兩句
[00:00:54.040 --> 00:00:55.280]  「Hallelujah」
[00:00:55.280 --> 00:00:57.440]  很好的反應
[00:00:57.440 --> 00:00:58.760]  很強的反應
[00:00:59.760 --> 00:01:00.760]  他就說有一次
[00:01:00.760 --> 00:01:01.560]  當他講道
[00:01:01.560 --> 00:01:03.560]  講道主耶穌基督愛我們
[00:01:03.560 --> 00:01:06.360]  來到世間成為了奴僕
[00:01:06.360 --> 00:01:08.560]  突然間發覺
[00:01:08.560 --> 00:01:09.160]  咦?
[00:01:09.160 --> 00:01:10.960]  為什麼沒有反應了?
[00:01:10.960 --> 00:01:12.960]  竟然沒有人說「阿們」
[00:01:12.960 --> 00:01:13.960]  「Hallelujah」
[00:01:13.960 --> 00:01:17.560]  每個人都定著眼看著他
[00:01:17.560 --> 00:01:20.560]  他以為自己說錯了什麼話
[00:01:20.560 --> 00:01:22.160]  但在聚會完結之後
[00:01:22.160 --> 00:01:23.760]  問那些弟兄姊妹
[00:01:23.760 --> 00:01:25.560]  這些弟兄姊妹就說
[00:01:26.360 --> 00:01:27.760]  牧師當你說到
[00:01:27.760 --> 00:01:29.960]  耶穌基督成為奴僕
[00:01:29.960 --> 00:01:33.560]  我們的祖先父母
[00:01:33.560 --> 00:01:36.160]  絕大多數是奴僕
[00:01:36.160 --> 00:01:40.160]  我們很明白奴僕是什麼
[00:01:40.160 --> 00:01:43.960]  是極之淒慘的一種生活
[00:01:43.960 --> 00:01:47.760]  在人的奴役壓迫之下生活
[00:01:47.760 --> 00:01:49.760]  我們明白是什麼
[00:01:49.760 --> 00:01:51.760]  因此我們很難接受
[00:01:51.760 --> 00:01:53.560]  這個永恆的君王
[00:01:53.560 --> 00:01:55.760]  他怎麼可能是奴僕
[00:01:56.760 --> 00:01:59.160]  所以我們當時也不懂得反應
[00:01:59.160 --> 00:02:04.560]  因為牧師聽到他們這樣說的時候
[00:02:04.560 --> 00:02:06.760]  突然間多了一些體會
[00:02:06.760 --> 00:02:09.560]  耶穌基督成為了奴僕
[00:02:09.560 --> 00:02:12.960]  是一件絕對不簡單的事情
[00:02:12.960 --> 00:02:16.160]  祂成為了我們的僕人
[00:02:16.160 --> 00:02:19.760]  讓我們蒙恩德福士
[00:02:19.760 --> 00:02:22.360]  各位弟兄姊妹讀《聖經》的時候
[00:02:22.360 --> 00:02:25.160]  求神給我們一顆很恭敬的心
[00:02:25.360 --> 00:02:28.760]  因為耶穌基督愛我們
[00:02:28.760 --> 00:02:30.560]  成為了奴僕
[00:02:30.560 --> 00:02:33.160]  我們也學習去明白
[00:02:33.160 --> 00:02:34.160]  去了解
[00:02:34.160 --> 00:02:35.560]  也學習
[00:02:35.560 --> 00:02:37.960]  這個寶貴的真理
[00:02:37.960 --> 00:02:39.960]  剛才大家讀過的經文
[00:02:39.960 --> 00:02:41.960]  《約翰福音》第一章十四節
[00:02:41.960 --> 00:02:43.360]  你一定會記得
[00:02:43.360 --> 00:02:44.560]  或者你會唸
[00:02:44.560 --> 00:02:45.760]  多數唸和合本
[00:02:45.760 --> 00:02:47.360]  道成肉身
[00:02:47.360 --> 00:02:49.360]  住在我們中間
[00:02:49.360 --> 00:02:50.760]  充充滿滿
[00:02:50.760 --> 00:02:51.960]  有恩典
[00:02:51.960 --> 00:02:53.360]  有真理
[00:02:53.960 --> 00:02:54.960]  當時已經提到
[00:02:54.960 --> 00:02:57.360]  耶穌基督道成肉身的時候
[00:02:57.360 --> 00:02:59.360]  正是意味著
[00:02:59.360 --> 00:03:02.560]  祂進入我們所身處的環境
[00:03:02.560 --> 00:03:04.360]  剛才主席提及
[00:03:04.360 --> 00:03:06.960]  由英文的翻譯本提及
[00:03:06.960 --> 00:03:10.160]  道成肉身住在我們中間
[00:03:10.160 --> 00:03:16.160]  亦叫進入我們的靈社群當中
[00:03:16.160 --> 00:03:20.160]  或者說進入我們所身處的社區當中
[00:03:20.160 --> 00:03:23.160]  因為上帝祂來到我們中間的時候
[00:03:23.360 --> 00:03:27.760]  祂不是以一個很光耀的使者
[00:03:27.760 --> 00:03:29.160]  君臨天下
[00:03:29.160 --> 00:03:31.360]  一來到的時候震懾大家
[00:03:31.360 --> 00:03:33.360]  用一種很高超的語言
[00:03:33.360 --> 00:03:34.760]  不過我們不懂得聽
[00:03:34.760 --> 00:03:36.360]  跟我們說話
[00:03:36.360 --> 00:03:37.360]  不是
[00:03:37.360 --> 00:03:40.160]  當耶穌基督來到的時候
[00:03:40.160 --> 00:03:43.360]  祂是誕生成為猶太人
[00:03:43.360 --> 00:03:46.160]  祂說希伯來話
[00:03:46.160 --> 00:03:48.760]  是一個木匠的兒子
[00:03:48.760 --> 00:03:50.560]  很具體
[00:03:50.560 --> 00:03:51.960]  很真實地
[00:03:51.960 --> 00:03:54.960]  在一個特定的時間空間裏面
[00:03:54.960 --> 00:03:56.360]  活出來
[00:03:56.360 --> 00:03:58.560]  很清楚地表明
[00:03:58.560 --> 00:04:01.160]  祂明白我們的處境
[00:04:01.160 --> 00:04:03.360]  又進入我們的處境裏面
[00:04:03.360 --> 00:04:06.160]  讓人能夠具體地明白
[00:04:06.160 --> 00:04:07.560]  什麼是福音
[00:04:07.560 --> 00:04:10.560]  不單單聽到祂的宣講
[00:04:10.560 --> 00:04:12.560]  更加看到祂的生命的時候
[00:04:12.560 --> 00:04:15.160]  就明白什麼是福音
[00:04:15.160 --> 00:04:19.160]  我想在宣道會聚會的第一天之內
[00:04:19.160 --> 00:04:21.360]  你會多多少少聽到一個人物
[00:04:21.760 --> 00:04:23.760]  叫賈斯特醫生
[00:04:23.760 --> 00:04:25.160]  William Cassidy
[00:04:25.160 --> 00:04:26.960]  Dr. William Cassidy
[00:04:26.960 --> 00:04:28.560]  他是誰呢?
[00:04:28.560 --> 00:04:30.960]  是宣道會的第一位
[00:04:30.960 --> 00:04:32.760]  被按納的宣教士
[00:04:32.760 --> 00:04:34.360]  也是第一位
[00:04:34.360 --> 00:04:37.160]  來到中國傳教的宣教士
[00:04:37.160 --> 00:04:39.360]  當他在1887年
[00:04:39.360 --> 00:04:41.960]  坐著船很長途來到中國
[00:04:41.960 --> 00:04:44.360]  在旅途當中的時候
[00:04:44.360 --> 00:04:48.960]  他就在一個叫做三等艙
[00:04:49.360 --> 00:04:52.160]  當時住了很多中國人
[00:04:52.160 --> 00:04:54.160]  這個三等艙裏面
