
[00:00:00.000 --> 00:00:05.000]  各位電影姊妹,我們接著思想聖經的說話
[00:00:05.000 --> 00:00:07.000]  我們在聖餐的時候都知道
[00:00:07.000 --> 00:00:10.000]  不單是聖餐是紀念主耶穌
[00:00:10.000 --> 00:00:15.000]  也是一個宣告我們對將來的盼望的時刻
[00:00:15.000 --> 00:00:18.000]  宣告主的死,等到他來
[00:00:18.000 --> 00:00:23.000]  因此我們人生每一天帶著盼望來生活
[00:00:23.000 --> 00:00:29.000]  這個盼望會超越眼前的一些可能有的問題困難
[00:00:29.000 --> 00:00:34.000]  但只知道這位主已經勝過整個世界
[00:00:34.000 --> 00:00:36.000]  而給我們盼望
[00:00:36.000 --> 00:00:39.000]  我們很快速地在今天一起來
[00:00:39.000 --> 00:00:42.000]  去到一段時間一起思想聖經的說話
[00:00:42.000 --> 00:00:48.000]  你會記得今天已經是九月份的二十五號
[00:00:48.000 --> 00:00:54.000]  亦是我們這個季度最後一次的訊息講道
[00:00:54.000 --> 00:00:59.000]  很快速十月份開始我們會思想教會週年紀念
[00:00:59.000 --> 00:01:03.000]  但過去一段時間你會知道在七八九月
[00:01:03.000 --> 00:01:05.000]  我們有一個很重要的主題
[00:01:05.000 --> 00:01:08.000]  除了一方面我們看到猜拳的訊息
[00:01:08.000 --> 00:01:11.000]  另外我們在講聖潔的生活
[00:01:11.000 --> 00:01:14.000]  純一向主的心
[00:01:14.000 --> 00:01:16.000]  我們過去都一直在講
[00:01:16.000 --> 00:01:20.000]  聖潔的生活不單是你做了什麼不做什麼
[00:01:20.000 --> 00:01:25.000]  我們更加在講你的生命是屬於上帝
[00:01:25.000 --> 00:01:27.000]  我們生命是神所買熟回來的
[00:01:27.000 --> 00:01:29.000]  是屬於上帝的
[00:01:29.000 --> 00:01:34.000]  因此你人生的取向是向準著主的
[00:01:34.000 --> 00:01:38.000]  所以你記得我們在季初的時候一直在講
[00:01:38.000 --> 00:01:45.000]  我們不要又拜上帝又拜馬門
[00:01:45.000 --> 00:01:47.000]  我們又記得我們講
[00:01:47.000 --> 00:01:50.000]  不要又侍奉神又侍奉巴黎
[00:01:50.000 --> 00:01:54.000]  大家記得我們講到以利亞先知的事情的時候
[00:01:54.000 --> 00:01:58.000]  因此你發覺在你一直追求跟隨上帝的時候
[00:01:58.000 --> 00:02:01.000]  你看到聖經是不斷地勉勵我們要留心
[00:02:01.000 --> 00:02:06.000]  弟兄姊妹不要讓任何其他心中的愛慕
[00:02:06.000 --> 00:02:10.000]  是佔據了神在你心中的位置
[00:02:10.000 --> 00:02:13.000]  以至你追求其他多過上帝
[00:02:13.000 --> 00:02:16.000]  甚至去忘記了上帝
[00:02:16.000 --> 00:02:20.000]  因為你的生命是一心一意地向準著主
[00:02:20.000 --> 00:02:23.000]  因為你是屬於主的
[00:02:23.000 --> 00:02:25.000]  因此今天當我們再讀亞國書的時候
[00:02:25.000 --> 00:02:27.000]  聖經同時提出一個很重要
[00:02:27.000 --> 00:02:31.000]  在我們生命當中的敬守
[00:02:31.000 --> 00:02:34.000]  聖經提到世俗的事情
[00:02:34.000 --> 00:02:40.000]  會將人的心吸引轉向其他方向
[00:02:40.000 --> 00:02:42.000]  轉向其他事情
[00:02:42.000 --> 00:02:46.000]  我們曾經提及在生活上的一些例子
[00:02:46.000 --> 00:02:53.000]  看到有些家庭男士有婚姻意外的第三者
[00:02:53.000 --> 00:02:56.000]  但他跟太太說不要緊的
[00:02:56.000 --> 00:02:58.000]  我一直很疼你
[00:02:58.000 --> 00:03:02.000]  我想請他來大家一起住
[00:03:02.000 --> 00:03:05.000]  雙親雙愛不是很好嗎
[00:03:05.000 --> 00:03:08.000]  你放心我一樣很疼你
[00:03:08.000 --> 00:03:11.000]  有些時候人以為可以有第三者
[00:03:11.000 --> 00:03:15.000]  而可以保持對自己培養的忠貞
[00:03:15.000 --> 00:03:18.000]  是一種自欺欺人的情況
