
[00:00:00.000 --> 00:00:05.600]  我們今天還是繼續要查考聖經新約裏面
[00:00:05.600 --> 00:00:09.000]  希伯來書的寶貴的信息
[00:00:09.000 --> 00:00:10.800]  我們已經看過
[00:00:10.800 --> 00:00:13.600]  在希伯來書裏面告訴我們
[00:00:13.600 --> 00:00:16.200]  世上、天地之間
[00:00:16.200 --> 00:00:20.600]  各樣的事物都在改變之中
[00:00:20.600 --> 00:00:24.000]  但是我們的族永不改變
[00:00:24.000 --> 00:00:25.600]  我們也已經看過
[00:00:25.600 --> 00:00:30.200]  我們的族的全民能力永不改變
[00:00:30.200 --> 00:00:34.600]  今天我們要在希伯來書裏面看
[00:00:34.600 --> 00:00:41.000]  主耶穌基督大祭司的職任永不改變
[00:00:41.000 --> 00:00:46.600]  主耶穌基督大祭司的職任永不改變
[00:00:46.600 --> 00:00:54.600]  我們要看希伯來書六章二十節
[00:00:54.600 --> 00:00:56.800]  這一節這樣說
[00:00:56.800 --> 00:00:59.200]  做先鋒的耶穌
[00:00:59.200 --> 00:01:02.800]  既照着邁基希德的等次
[00:01:02.800 --> 00:01:05.400]  成了永遠的大祭司
[00:01:05.400 --> 00:01:09.200]  就爲我們進入脈內
[00:01:09.200 --> 00:01:10.600]  這裏告訴我們
[00:01:10.600 --> 00:01:15.600]  耶穌基督是永遠不改變的大祭司
[00:01:15.600 --> 00:01:21.600]  如今他在天父的右面爲我們禱告
[00:01:21.600 --> 00:01:25.800]  他在各方面各樣的事上紀念我們
[00:01:25.800 --> 00:01:27.400]  幫助我們
[00:01:27.400 --> 00:01:31.000]  他在哪些方面能夠幫助我們呢
[00:01:31.000 --> 00:01:32.800]  第一方面
[00:01:32.800 --> 00:01:35.800]  主耶穌基督這一位大祭司
[00:01:35.800 --> 00:01:39.600]  能夠提熟我們的軟弱
[00:01:39.600 --> 00:01:44.800]  在希伯來書第四章十四節到第十六節
[00:01:44.800 --> 00:01:48.400]  四章十四節到第十六節
[00:01:48.400 --> 00:01:51.200]  有這樣的話說
[00:01:51.200 --> 00:01:57.200]  我們既然有一位已經升入高天尊榮的大祭司
[00:01:57.200 --> 00:01:59.600]  就是神的兒子耶穌
[00:01:59.600 --> 00:02:03.000]  便當持定說承認的道
[00:02:03.000 --> 00:02:04.800]  因我們的大祭司
[00:02:04.800 --> 00:02:08.000]  並非不能提出我們的軟弱
[00:02:08.000 --> 00:02:11.200]  他也曾翻世受過試探
[00:02:11.200 --> 00:02:12.800]  和我們一樣
[00:02:12.800 --> 00:02:14.800]  只是他沒有犯罪
[00:02:14.800 --> 00:02:18.200]  所以我們只管坦然無懼地
[00:02:18.200 --> 00:02:20.800]  來到使恩的寶座前
[00:02:20.800 --> 00:02:23.800]  爲要得蓮淑蒙恩惠
[00:02:23.800 --> 00:02:26.200]  做隨時的幫助
[00:02:26.200 --> 00:02:28.600]  這一位大祭司主耶穌
[00:02:28.600 --> 00:02:31.400]  他在翻世上受過試探
[00:02:31.400 --> 00:02:33.000]  和我們一樣
[00:02:33.000 --> 00:02:35.600]  所以他能夠了解我們
[00:02:35.600 --> 00:02:37.600]  提熟我們
[00:02:37.600 --> 00:02:42.000]  舊約的大祭司有一個胸牌
[00:02:42.000 --> 00:02:45.600]  這個胸牌上有十二塊寶石
[00:02:45.600 --> 00:02:48.800]  每一塊寶石上面都刻了
[00:02:48.800 --> 00:02:52.000]  以色列人一個支派的名字
[00:02:52.000 --> 00:02:53.600]  這就是表示
[00:02:53.600 --> 00:02:56.400]  大祭司將神的百姓
[00:02:56.400 --> 00:02:58.400]  放在他的心上
[00:02:58.400 --> 00:03:01.000]  常常地紀念他們
[00:03:01.000 --> 00:03:03.400]  主耶穌也是這樣
[00:03:03.400 --> 00:03:06.400]  他是我們屬靈的大祭司
[00:03:06.400 --> 00:03:08.600]  一切屬他的人
[00:03:08.600 --> 00:03:12.200]  都刻在他的心上
[00:03:12.200 --> 00:03:15.600]  寶石表示寶貴
[00:03:15.600 --> 00:03:17.800]  我們每一個屬主的人
[00:03:17.800 --> 00:03:20.600]  對於主都是非常的寶貴
[00:03:20.600 --> 00:03:22.600]  他紀念我們
[00:03:22.600 --> 00:03:25.400]  保羅曾經用心上人
[00:03:25.400 --> 00:03:27.800]  這個很特別的名稱
[00:03:27.800 --> 00:03:30.400]  去稱呼阿尼西姆
[00:03:30.400 --> 00:03:32.600]  這是我們在《非利門述》裏面
[00:03:32.600 --> 00:03:34.200]  所看見的
[00:03:34.200 --> 00:03:37.000]  保羅和阿尼西姆的關係
