
[00:00:00.000 --> 00:00:03.640]  如果大家還記得傳道書的內容
[00:00:03.640 --> 00:00:06.240]  就是講到人生充滿虛空
[00:00:06.240 --> 00:00:08.320]  但是傳道者提醒我們
[00:00:08.320 --> 00:00:11.360]  我們應該存在一個敬畏上帝的心
[00:00:11.360 --> 00:00:17.440]  去過一個享受上帝賜給我們人生的一份福樂
[00:00:17.440 --> 00:00:20.040]  接著其實來到第五章
[00:00:20.040 --> 00:00:21.120]  傳道者就去講了
[00:00:21.120 --> 00:00:23.800]  那什麼叫敬畏上帝呢?
[00:00:23.800 --> 00:00:26.920]  來到他很重要的去講這個題目
[00:00:26.920 --> 00:00:29.440]  在第五章第一至第三節
[00:00:29.440 --> 00:00:30.840]  一開始就去講
[00:00:30.840 --> 00:00:33.960]  來到神的殿要謹慎
[00:00:33.960 --> 00:00:36.840]  要謹慎你的心
[00:00:36.840 --> 00:00:38.640]  在這裡接著再講
[00:00:38.640 --> 00:00:41.360]  怎樣去謹慎你的心呢?
[00:00:41.360 --> 00:00:44.480]  就是聽命勝於獻祭
[00:00:44.480 --> 00:00:46.840]  不要徒有一個宗教的外表
[00:00:46.840 --> 00:00:48.000]  有宗教
[00:00:48.000 --> 00:00:49.800]  我有敬畏上帝
[00:00:49.800 --> 00:00:51.920]  我做了一些宗教的禮儀
[00:00:51.920 --> 00:00:52.640]  獻了一些祭
[00:00:52.640 --> 00:00:54.160]  那我就敬畏上帝
[00:00:54.160 --> 00:00:56.680]  但是傳道者很強調那個的內心
[00:00:56.680 --> 00:00:58.920]  不要以為做了那個外表
[00:00:58.920 --> 00:01:02.040]  就有你的內在的態度
[00:01:02.040 --> 00:01:04.720]  接著去對照那些愚昧人
[00:01:04.720 --> 00:01:06.600]  愚昧人愚昧到那個地步
[00:01:06.600 --> 00:01:10.600]  就是以為做了一些獻祭的行動
[00:01:10.600 --> 00:01:14.640]  就等於我是一個聽從上帝的一個人
[00:01:14.640 --> 00:01:17.040]  或者跟從上帝的一個人
[00:01:17.040 --> 00:01:20.480]  接著傳道者再講第二第三節
[00:01:20.480 --> 00:01:22.480]  你的言語要謹慎
[00:01:22.480 --> 00:01:25.000]  在禱告的時候不要急速發言
[00:01:25.000 --> 00:01:26.200]  為什麼呢?
[00:01:26.200 --> 00:01:28.200]  為什麼要謹慎你的言語呢?
[00:01:28.200 --> 00:01:30.760]  他給了兩個原因
[00:01:30.760 --> 00:01:32.200]  第一個原因就是
[00:01:32.200 --> 00:01:34.280]  上帝在天上
[00:01:34.280 --> 00:01:36.480]  人在地下
[00:01:36.480 --> 00:01:39.640]  講到上帝是掌權的上帝
[00:01:39.640 --> 00:01:41.000]  他是創造主
[00:01:41.000 --> 00:01:43.040]  他是全知全能的一個上帝
[00:01:43.040 --> 00:01:44.400]  人是有限的
[00:01:44.400 --> 00:01:48.320]  所以人敬拜他是應當的
[00:01:48.320 --> 00:01:51.440]  我們不要這麼快去講這麼多話
[00:01:51.440 --> 00:01:52.880]  第二個原因就是
[00:01:52.880 --> 00:01:55.680]  當你在上帝面前
[00:01:55.680 --> 00:01:57.000]  言語多就說
[00:01:57.000 --> 00:01:59.680]  上帝我現在將要講說話給你聽
[00:01:59.680 --> 00:02:00.680]  那就是說
[00:02:00.680 --> 00:02:04.240]  你沒有想過要聽上帝講什麼
[00:02:04.240 --> 00:02:05.720]  你沒有想過
[00:02:05.720 --> 00:02:07.400]  我要聽上帝講什麼
[00:02:07.400 --> 00:02:09.520]  然後我再去進行
[00:02:09.520 --> 00:02:12.200]  所以傳道者在這裡去講
[00:02:12.200 --> 00:02:14.520]  不要做一個愚昧人
[00:02:14.520 --> 00:02:16.960]  在上帝的面前要謹慎
[00:02:16.960 --> 00:02:18.280]  謹慎言語
[00:02:18.280 --> 00:02:19.680]  謹慎你的心
[00:02:19.680 --> 00:02:21.480]  多夢和多言
[00:02:21.480 --> 00:02:23.920]  在這裡講到當人在日常生活當中
[00:02:23.920 --> 00:02:25.920]  工作很繁忙
[00:02:25.920 --> 00:02:27.320]  晚上就發夢
[00:02:27.320 --> 00:02:29.720]  其實是講他整個人
[00:02:29.720 --> 00:02:31.320]  給很多事務
[00:02:31.320 --> 00:02:32.480]  積蓄他的心
[00:02:32.480 --> 00:02:36.080]  上帝在他生命當中都沒有什麼位置
[00:02:36.080 --> 00:02:37.240]  多話的人
[00:02:37.240 --> 00:02:38.440]  就是講這些人
[00:02:38.440 --> 00:02:42.920]  就是他沒有想過要聽上帝的一些話
[00:02:42.920 --> 00:02:45.120]  然後在第四第五節
[00:02:45.120 --> 00:02:48.440]  傳道者再去將謹慎的言語
[00:02:48.440 --> 00:02:50.200]  再縮窄一些範圍
[00:02:50.200 --> 00:02:52.040]  謹慎哪一方面呢
[00:02:52.040 --> 00:02:55.000]  然後在第四第五節就講許願的問題
[00:02:55.000 --> 00:02:56.360]  你向上帝許願
[00:02:56.360 --> 00:02:57.360]  尚還
[00:02:57.360 --> 00:02:58.360]  不可前言
[00:02:58.360 --> 00:02:59.640]  因他不起願
[00:02:59.640 --> 00:03:00.440]  愚昧人
[00:03:00.440 --> 00:03:01.720]  所以你許的願
[00:03:01.720 --> 00:03:02.960]  應當尚還
[00:03:02.960 --> 00:03:04.000]  你許願不還
[00:03:04.000 --> 00:03:05.360]  不如不許
[00:03:05.360 --> 00:03:06.600]  在上帝面前
[00:03:06.600 --> 00:03:08.760]  將謹慎言語
[00:03:08.760 --> 00:03:11.440]  收窄到一個許願的情況
[00:03:11.440 --> 00:03:13.960]  這個人可以說
[00:03:13.960 --> 00:03:17.880]  他犯了兩個問題
[00:03:17.880 --> 00:03:21.040]  應該說他在這裡
[00:03:21.040 --> 00:03:22.040]  許願
[00:03:22.040 --> 00:03:26.160]  很輕率的在上帝面前
[00:03:26.160 --> 00:03:27.960]  許下一些諾言
[00:03:27.960 --> 00:03:29.200]  許願是什麼意思呢
[00:03:29.200 --> 00:03:30.360]  最少有兩個
[00:03:30.360 --> 00:03:31.360]  第一就是
[00:03:31.360 --> 00:03:33.960]  上帝在你面前
[00:03:33.960 --> 00:03:34.840]  我有什麼事
[00:03:34.840 --> 00:03:36.680]  如果你能夠幫助我
[00:03:36.680 --> 00:03:38.760]  我就會怎樣怎樣
[00:03:38.760 --> 00:03:40.240]  我就會做什麼行動
[00:03:40.240 --> 00:03:41.960]  又或者有些人在上帝面前
[00:03:41.960 --> 00:03:44.280]  立下一個心願
[00:03:44.280 --> 00:03:46.520]  就說上帝我許下承諾
[00:03:46.520 --> 00:03:48.800]  我要表示我對你這個
[00:03:48.800 --> 00:03:50.280]  感恩的心敬拜的心
[00:03:50.280 --> 00:03:51.560]  所以我會做什麼
[00:03:51.560 --> 00:03:53.920]  最少有這兩個情況
[00:03:53.920 --> 00:03:55.520]  在這裡
[00:03:55.520 --> 00:03:56.560]  傳道者說
[00:03:56.560 --> 00:03:58.920]  許願要還
[00:03:58.920 --> 00:04:00.840]  就是說許願要做
[00:04:00.840 --> 00:04:02.880]  你不要說過就算了
[00:04:02.880 --> 00:04:05.640]  傳道者在第五章的第一至第五節
[00:04:05.640 --> 00:04:07.680]  其實他
[00:04:07.680 --> 00:04:09.640]  說到這些愚昧人
[00:04:09.640 --> 00:04:11.840]  我們不要像愚昧人一樣
