
[00:00:00.000 --> 00:00:03.640]  第八章經文提及「足談」
[00:00:03.640 --> 00:00:07.680]  我就想起很多的教徒弟兄姊妹
[00:00:07.680 --> 00:00:10.320]  在人生信仰的路上
[00:00:10.320 --> 00:00:14.720]  有些時候都需要停下來要「足談」
[00:00:14.720 --> 00:00:18.720]  有些時候我們會經歷一些很興旺的日子
[00:00:18.720 --> 00:00:22.080]  無論自己的靈性或者是各樣的生活
[00:00:22.080 --> 00:00:24.920]  有些時候會經歷一些比較低沉的日子
[00:00:24.920 --> 00:00:27.760]  甚至是一些很淒涼的時刻
[00:00:27.760 --> 00:00:31.360]  有起有跌的不同的路
[00:00:31.360 --> 00:00:34.520]  但有些時候教徒面對著一些衝擊
[00:00:34.520 --> 00:00:38.760]  有時候會偏離了轉向了其他
[00:00:38.760 --> 00:00:41.360]  好像什麼呢?好像游水
[00:00:41.360 --> 00:00:44.800]  在海洋上看到前面有一個浮台
[00:00:44.800 --> 00:00:48.880]  以浮台為目標一直向浮台游過去
[00:00:48.880 --> 00:00:52.600]  但過程中發覺浪很大
[00:00:52.600 --> 00:00:55.760]  不知不覺就飄離了目標
[00:00:55.760 --> 00:00:58.920]  都不知道游了去哪裡
[00:00:58.920 --> 00:01:01.400]  人生的路都是好像這樣
[00:01:01.400 --> 00:01:04.520]  有些時候我們會不知不覺飄離了
[00:01:04.520 --> 00:01:06.760]  已經轉離開神
[00:01:06.760 --> 00:01:08.920]  但在那些時刻
[00:01:08.920 --> 00:01:13.080]  正是要再調整向神的時刻
[00:01:13.080 --> 00:01:18.320]  我記得有一次參加一個青年團契的團友的婚禮
[00:01:18.320 --> 00:01:22.400]  在婚禮裏面就會見到一幅很特別的圖畫
[00:01:22.400 --> 00:01:23.840]  因為拍攝大合照的時候
[00:01:23.840 --> 00:01:26.280]  很多新舊團友出來拍照
[00:01:26.280 --> 00:01:29.880]  但發覺一半的人已經沒有回團契
[00:01:29.880 --> 00:01:32.080]  甚至沒有回教會
[00:01:32.080 --> 00:01:33.760]  結婚的時候就回來了
[00:01:33.760 --> 00:01:37.520]  即是團友結婚的時候就回來了
[00:01:37.520 --> 00:01:39.160]  再仔細了解一下
[00:01:39.160 --> 00:01:41.560]  發覺很多人都有不同的經歷
[00:01:41.560 --> 00:01:44.040]  很多已經結婚有兒有女
[00:01:44.040 --> 00:01:46.120]  所以很忙碌的生活
[00:01:46.120 --> 00:01:49.560]  一些信仰變得很淡
[00:01:49.560 --> 00:01:51.680]  有些正是事業起飛的時候
[00:01:51.680 --> 00:01:53.280]  很多機會發展
[00:01:53.280 --> 00:01:55.720]  因此整個心都放在工作上
