
[00:00:00.000 --> 00:00:02.680]  復活節是一個榮耀
[00:00:02.680 --> 00:00:06.120]  充滿了盼望的日子
[00:00:06.120 --> 00:00:11.320]  因為在耶穌的身上
[00:00:11.320 --> 00:00:15.720]  我們看見歷史一件不可能的事情
[00:00:15.720 --> 00:00:17.360]  是成為可能
[00:00:17.360 --> 00:00:19.260]  人死了
[00:00:19.260 --> 00:00:21.720]  竟然可以復活
[00:00:21.720 --> 00:00:24.440]  這一件歷史的事實
[00:00:24.440 --> 00:00:27.280]  很重要地提醒我們
[00:00:27.280 --> 00:00:31.320]  我們所生活的世界不僅是這麼小的事情
[00:00:31.320 --> 00:00:34.280]  看到、摸到的物質世界
[00:00:34.280 --> 00:00:37.200]  上面還有更大的力量
[00:00:37.200 --> 00:00:39.440]  這就是神自己的存在
[00:00:39.440 --> 00:00:43.280]  並且耶穌的生命顯出一件事實
[00:00:43.280 --> 00:00:45.920]  就是神可以勝過死亡
[00:00:45.920 --> 00:00:50.040]  這件事是轟天動地的
[00:00:50.040 --> 00:00:52.080]  所以我們每一年
[00:00:52.080 --> 00:00:55.680]  都要去紀念這件事
[00:00:56.040 --> 00:00:58.600]  今天我和大家分享的時候
[00:00:58.600 --> 00:01:01.920]  我想和大家從另一個角度去看
[00:01:01.920 --> 00:01:04.520]  這個復活的訊息
[00:01:04.520 --> 00:01:07.680]  很多時候我們復活的主人都會回顧
[00:01:07.680 --> 00:01:10.960]  二千年前我們的主耶穌在墳墓裏面
[00:01:10.960 --> 00:01:12.440]  然後祂復活
[00:01:12.440 --> 00:01:17.040]  但是今天我想和大家向前來看
[00:01:17.040 --> 00:01:20.840]  耶穌基督復活帶給你和我
[00:01:20.840 --> 00:01:25.240]  在永恆裏面將來和今天有什麼意思
[00:01:26.160 --> 00:01:30.440]  所以今天我們看到我們復活節的程序單上面
[00:01:30.440 --> 00:01:31.880]  寫著今天的主題是
[00:01:31.880 --> 00:01:37.000]  「基督復活了,我們也要復活」
[00:01:37.000 --> 00:01:38.640]  就是今天我們的主題
[00:01:38.640 --> 00:01:41.240]  大家如果看我們程序單裏面
[00:01:41.240 --> 00:01:44.800]  我們有一份講章
[00:01:44.800 --> 00:01:47.440]  這個大綱就已經印在這裏
[00:01:47.440 --> 00:01:49.120]  大家可以拿出來
[00:01:49.120 --> 00:01:52.960]  這個大綱就相當長和很多
[00:01:52.960 --> 00:01:56.280]  我們昨晚有一個崇拜的時候
[00:01:56.280 --> 00:02:00.480]  我才發現原來講了一半就已經不夠時間了
[00:02:00.480 --> 00:02:04.040]  所以今天我是講下半段的
[00:02:04.040 --> 00:02:05.480]  不過你不用擔心
[00:02:05.480 --> 00:02:08.040]  是不會說沒有頭沒有尾的
[00:02:08.040 --> 00:02:09.360]  不是
[00:02:09.360 --> 00:02:11.920]  不過無論如何大家拿著這個講義
[00:02:11.920 --> 00:02:13.560]  有些部份我不會再講
[00:02:13.560 --> 00:02:16.600]  就是前面那部份我都不會再講了
[00:02:16.600 --> 00:02:18.640]  不過剛才我們所讀的聖經
[00:02:18.640 --> 00:02:21.400]  我相信你和我都很留意得到
[00:02:21.880 --> 00:02:26.720]  聖經尤其是哥倫多前書15章裏經常提醒我們
[00:02:26.720 --> 00:02:29.160]  開始的時候講了兩次
[00:02:29.160 --> 00:02:30.840]  我們主的復活
[00:02:30.840 --> 00:02:32.280]  耶穌基督的復活
