
[00:00:00.000 --> 00:00:03.000]  為我們訂十字架的竹
[00:00:03.000 --> 00:00:05.000]  我們在這個時候
[00:00:05.000 --> 00:00:09.000]  來到你的十恩寶座前
[00:00:09.000 --> 00:00:14.000]  要用預備好的心來等候你
[00:00:14.000 --> 00:00:16.000]  主啊我們科目尼
[00:00:16.000 --> 00:00:19.000]  好像這一首詩歌所說的
[00:00:19.000 --> 00:00:23.000]  如露科目洗水
[00:00:23.000 --> 00:00:28.000]  有多少時候我們失去了這樣的科目
[00:00:28.000 --> 00:00:30.000]  我們懇求十恩的竹
[00:00:30.000 --> 00:00:36.000]  不斷地把這樣的科目的心眺望起來
[00:00:36.000 --> 00:00:39.000]  重新地賜給我們
[00:00:39.000 --> 00:00:42.000]  讓我們能夠歡歡喜喜地
[00:00:42.000 --> 00:00:44.000]  滿有數天的喜樂
[00:00:44.000 --> 00:00:47.000]  來仰望主跟同主
[00:00:47.000 --> 00:00:50.000]  與主同行
[00:00:50.000 --> 00:00:53.000]  謝謝主用你的愛
[00:00:53.000 --> 00:00:56.000]  把我們吸引到這個地方
[00:00:56.000 --> 00:01:00.000]  成為我們一退未進的地方
[00:01:00.000 --> 00:01:02.000]  讓我們每一個人
[00:01:02.000 --> 00:01:06.000]  在你的面前能夠重新地立
[00:01:06.000 --> 00:01:08.000]  好像我們唱的詩歌
[00:01:08.000 --> 00:01:10.000]  在十字架之下
[00:01:10.000 --> 00:01:14.000]  重新揚力來奔走前程
[00:01:14.000 --> 00:01:17.000]  感謝主在這條路上
[00:01:17.000 --> 00:01:20.000]  你走在我們前頭
[00:01:20.000 --> 00:01:22.000]  也在我們的左右
[00:01:22.000 --> 00:01:24.000]  也在我們的後頭
[00:01:24.000 --> 00:01:27.000]  你在我們的前頭率領我們
[00:01:27.000 --> 00:01:30.000]  在我們的後頭推阻我們
[00:01:30.000 --> 00:01:33.000]  在我們的左右與我們同行
[00:01:33.000 --> 00:01:36.000]  安慰鼓勵我們
[00:01:36.000 --> 00:01:40.000]  我們在這條路上不是孤單的
[00:01:40.000 --> 00:01:43.000]  我們在奔走的時候
[00:01:43.000 --> 00:01:47.000]  我們願意常常記得你對我們的提醒
[00:01:47.000 --> 00:01:50.000]  也是我們的秘訣
[00:01:50.000 --> 00:01:55.000]  我們要注目在你的十字架上
[00:01:55.000 --> 00:01:57.000]  讓你的十架大愛
[00:01:57.000 --> 00:02:01.000]  不斷地重新地激勵我們
[00:02:01.000 --> 00:02:05.000]  讓我們對主的愛有回應
[00:02:05.000 --> 00:02:08.000]  讓我們能夠做主的見證人
[00:02:08.000 --> 00:02:10.000]  也在這個時代裡頭
[00:02:10.000 --> 00:02:14.000]  成為你恩典的出口
[00:02:14.000 --> 00:02:17.000]  我們在這清早的時候
[00:02:17.000 --> 00:02:20.000]  求你與我們同在
[00:02:20.000 --> 00:02:24.000]  向我們彰顯你的榮耀的面
[00:02:24.000 --> 00:02:28.000]  讓我們從你有所領受
[00:02:28.000 --> 00:02:32.000]  求保護的是聖靈
[00:02:32.000 --> 00:02:35.000]  除去我們心理界的攔阻
[00:02:35.000 --> 00:02:38.000]  是給我們孰靈的悟性
[00:02:38.000 --> 00:02:41.000]  我們知道人的話何等有限
[00:02:41.000 --> 00:02:46.000]  人的話不能夠適合每一位的需要
[00:02:46.000 --> 00:02:50.000]  只有聖靈親自工作的時候
[00:02:50.000 --> 00:02:53.000]  就能夠用同意的話
[00:02:53.000 --> 00:02:57.000]  來提醒感動不同的人
[00:02:57.000 --> 00:03:01.000]  所以我們懇求你做這樣的工作
[00:03:01.000 --> 00:03:06.000]  讓今天坐在這裡的每一位弟兄姊妹
[00:03:06.000 --> 00:03:10.000]  仰望你的時候都不落空
[00:03:10.000 --> 00:03:12.000]  也求你幫助你的僕人
[00:03:12.000 --> 00:03:16.000]  能夠把你的話語傳達的清楚
[00:03:16.000 --> 00:03:20.000]  讓我們聽見的不是人的話語
[00:03:20.000 --> 00:03:25.000]  而是主你自己聖經裡的話語
[00:03:25.000 --> 00:03:28.000]  我們這樣的願望交託感謝
[00:03:28.000 --> 00:03:30.000]  奉主耶穌基督的聖名
[00:03:30.000 --> 00:03:32.000]  阿們
[00:03:32.000 --> 00:03:38.000]  感謝主再次給我一次機會
[00:03:38.000 --> 00:03:44.000]  能夠和弟兄姊妹一同來領受主的話語
[00:03:44.000 --> 00:03:46.000]  我們求聖靈
[00:03:46.000 --> 00:03:51.000]  真理的聖靈親自的教導我們
[00:03:51.000 --> 00:03:55.000]  引導我們進入真理
[00:03:55.000 --> 00:03:58.000]  在師徒的時代
[00:03:58.000 --> 00:04:03.000]  基督教的信仰叫做道路
[00:04:03.000 --> 00:04:07.000]  在《師徒行傳》第九章第二節
[00:04:07.000 --> 00:04:09.000]  那裡有這樣一句話說
[00:04:09.000 --> 00:04:12.000]  信奉這道的人
[00:04:12.000 --> 00:04:16.000]  道這個字的原文就是道路
[00:04:16.000 --> 00:04:23.000]  當時的基督徒被認為是奔跑基督的道路的人
[00:04:23.000 --> 00:04:28.000]  這真是基督教一個最好的名稱
[00:04:28.000 --> 00:04:34.000]  我們的道路就是獅子架的道路
[00:04:34.000 --> 00:04:37.000]  這條獅子架的道路
[00:04:37.000 --> 00:04:41.000]  從耶穌基督的獅子架開始
[00:04:41.000 --> 00:04:43.000]  我們在那一個起點上
[00:04:43.000 --> 00:04:48.000]  接受了耶穌基督的獅子架的救贖
[00:04:48.000 --> 00:04:53.000]  然後我們就合著銅釘式的架
[00:04:53.000 --> 00:04:55.000]  銅碑式的架
[00:04:55.000 --> 00:04:58.000]  走這條道路
[00:04:58.000 --> 00:05:00.000]  最後這條道路
[00:05:00.000 --> 00:05:05.000]  帶領我們進入榮耀得到冠冕
[00:05:05.000 --> 00:05:10.000]  獅子架和冠冕永遠連在一起
[00:05:10.000 --> 00:05:14.000]  有的人想把這兩樣分開
[00:05:14.000 --> 00:05:18.000]  要冠冕卻不要獅子架
[00:05:18.000 --> 00:05:22.000]  要這榮耀卻不要走獅子架的道路
[00:05:22.000 --> 00:05:24.000]  結果呢
[00:05:24.000 --> 00:05:26.000]  是空想著冠冕
[00:05:26.000 --> 00:05:29.000]  永遠得不到
[00:05:29.000 --> 00:05:33.000]  在古代
[00:05:33.000 --> 00:05:36.000]  有一個修道院裡面
[00:05:36.000 --> 00:05:39.000]  發現了一個冠冕
[00:05:39.000 --> 00:05:43.000]  他們就來仔細地看這個冠冕
[00:05:43.000 --> 00:05:47.000]  裡外都詳細地來察看
[00:05:47.000 --> 00:05:49.000]  很美麗的冠冕
