
[00:00:00.000 --> 00:00:04.040]  我深信在過去這幾次的聚會當中
[00:00:04.040 --> 00:00:10.120]  神所說的話多多少少都對你有特別的訊息告訴你
[00:00:10.120 --> 00:00:13.480]  每一個人所聽到的是不同
[00:00:13.480 --> 00:00:17.360]  不過最重要的是你知道自己聽到哪一句
[00:00:17.360 --> 00:00:21.040]  哪一個的意念、哪一句神的話
[00:00:21.040 --> 00:00:23.680]  聽神的話是不難的
[00:00:23.680 --> 00:00:25.520]  只要心是打開
[00:00:25.520 --> 00:00:29.120]  你會有一種很自然、很獨特的感應
[00:00:29.120 --> 00:00:31.960]  好像我們的迎歌那樣的一種感應
[00:00:31.960 --> 00:00:34.640]  那種感應就是你聽到一句話之後
[00:00:34.640 --> 00:00:37.440]  始終在你的腦裏面纏繞著纏繞著
[00:00:37.440 --> 00:00:39.440]  不知道為什麼揮不去
[00:00:39.440 --> 00:00:43.240]  那個就是神可能在這幾天要特別對你說的話
[00:00:43.240 --> 00:00:45.560]  求著幫助你、幫助我
[00:00:45.560 --> 00:00:48.960]  在聽到祂很多很多的說話、聖經裏面很多句子裏面
[00:00:48.960 --> 00:00:51.560]  單單就是那幾句打入你的心裏面
[00:00:51.560 --> 00:00:55.280]  帶著那幾句在你的生命裏面一直發芽生長
[00:00:55.280 --> 00:00:58.600]  甚至是決知有一個突破、有一個改變
[00:00:58.600 --> 00:01:02.440]  我相信已經是值得足夠這個東領營
[00:01:02.440 --> 00:01:05.320]  一個東領營裏面整個說話這麼多、這麼豐富
[00:01:05.320 --> 00:01:06.680]  很難完全的消化
[00:01:06.680 --> 00:01:08.600]  也很難全部都能夠感受
[00:01:08.600 --> 00:01:09.960]  不要緊
[00:01:09.960 --> 00:01:13.360]  但是最重要知道神要你聽的是哪一句
[00:01:13.360 --> 00:01:16.760]  不要白白的來、白白的離開
[00:01:16.760 --> 00:01:19.960]  《瑪拉基書》是一本很嚴厲的書
[00:01:19.960 --> 00:01:21.280]  我一直都這麼說
[00:01:21.280 --> 00:01:23.520]  但是《瑪拉基書》的神
[00:01:23.520 --> 00:01:26.120]  並不是只是在乎嚴厲
[00:01:26.120 --> 00:01:29.280]  要罵人、發脾氣
[00:01:29.280 --> 00:01:31.800]  《瑪拉基書》一切的嚴厲背後
[00:01:31.800 --> 00:01:33.920]  是一份很深的愛
[00:01:33.920 --> 00:01:36.840]  是希望每一個屬於祂的人
[00:01:36.840 --> 00:01:39.520]  由2500年前的以色列人
[00:01:39.520 --> 00:01:42.120]  到今天的你和我坐在這裏的人
[00:01:42.120 --> 00:01:44.520]  因為神的嚴厲的緣故
[00:01:44.520 --> 00:01:46.120]  打開自己的生命
[00:01:46.120 --> 00:01:48.720]  讓神再次清洗自己的生命
[00:01:48.720 --> 00:01:53.400]  然後過一個和今以後不再一樣的基督徒的生命
[00:01:53.400 --> 00:01:55.240]  這是一個什麼樣的生活?
[00:01:55.240 --> 00:01:57.600]  就是《瑪拉基書》經常提到的
[00:01:57.600 --> 00:02:00.960]  一個敬虔的生活
[00:02:00.960 --> 00:02:02.880]  在一個這麼世俗化的香港
[00:02:02.880 --> 00:02:07.000]  在這麼現代化的教會的環境當中
[00:02:07.000 --> 00:02:09.640]  敬虔這些字很少人說
[00:02:09.640 --> 00:02:12.240]  但是聖經裏面說完又說
[00:02:12.240 --> 00:02:14.240]  神的挑戰就是
[00:02:14.240 --> 00:02:18.560]  你夠不夠膽繼續過一個敬虔的生活
[00:02:18.560 --> 00:02:22.200]  或者用當日以色列人一種反面的說法就是
[00:02:22.200 --> 00:02:26.040]  過一個敬虔的生活值不值得?
[00:02:26.040 --> 00:02:27.440]  何必呢?
[00:02:27.440 --> 00:02:28.920]  我已經這麼辛苦了
[00:02:28.920 --> 00:02:30.920]  謀生這麼艱難
[00:02:30.920 --> 00:02:34.800]  千斤擔又有家庭又有經濟又有事業壓力
[00:02:34.800 --> 00:02:36.360]  還要上課
[00:02:36.360 --> 00:02:37.640]  又要加班
[00:02:37.640 --> 00:02:39.480]  如果有了子女和父母
[00:02:39.480 --> 00:02:42.080]  這麼多的事情我緊緊應付就好了
[00:02:42.080 --> 00:02:43.600]  我應付之餘
[00:02:43.600 --> 00:02:45.040]  老實說好像以色列人當日
[00:02:45.040 --> 00:02:47.760]  或者我們今天心中很多人心裏亂說
[00:02:47.760 --> 00:02:48.920]  我還去教會了
[00:02:48.920 --> 00:02:50.640]  你想怎樣啊?神
[00:02:50.640 --> 00:02:52.320]  都很給你面子了
[00:02:52.320 --> 00:02:54.600]  我每個星期都來北宣的
[00:02:54.600 --> 00:02:57.200]  一早還早三個字在天橋上排隊
[00:02:57.200 --> 00:02:58.960]  你想怎樣啊?
[00:02:58.960 --> 00:03:00.480]  還要求我做什麼才行?
[00:03:00.480 --> 00:03:01.920]  我每次都有奉獻
[00:03:01.920 --> 00:03:03.920]  我去團契了
[00:03:03.920 --> 00:03:06.400]  為什麼還要求我這麼多東西?
[00:03:06.400 --> 00:03:10.720]  我相信這個是當日以色列人心裏的不滿
[00:03:10.720 --> 00:03:13.400]  也是今天很多弟兄姐妹你沒有說出來
[00:03:13.400 --> 00:03:15.160]  我知道你不夠膽說出來
[00:03:15.160 --> 00:03:17.360]  甚至現在叫你認你都不夠膽認
[00:03:17.360 --> 00:03:18.800]  但是我們苦心自問
[00:03:18.800 --> 00:03:20.800]  多少時候在我們心裏
[00:03:20.800 --> 00:03:22.800]  暗湧有這樣的問題
[00:03:22.800 --> 00:03:24.800]  不服啊
[00:03:24.800 --> 00:03:26.800]  覺得神不是很對得起他
[00:03:26.800 --> 00:03:28.800]  覺得神要求太多
[00:03:28.800 --> 00:03:30.800]  過一個敬虔的生活
[00:03:30.800 --> 00:03:32.800]  何必要這麼做
[00:03:32.800 --> 00:03:34.800]  過一個簡簡單單
[00:03:34.800 --> 00:03:38.320]  平平庸庸的宗教生活容易得多
[00:03:38.320 --> 00:03:41.280]  反正教會也有你能得到的東西
[00:03:41.280 --> 00:03:42.720]  如果從社會學的角度來說
[00:03:42.720 --> 00:03:44.240]  你找到朋友
[00:03:44.240 --> 00:03:46.240]  你甚至找到感情
[00:03:46.240 --> 00:03:48.240]  你找到慰藉
[00:03:48.240 --> 00:03:50.240]  每個星期你來禮拜堂的時候
[00:03:50.240 --> 00:03:52.240]  雖然你付出了錢和時間
[00:03:52.240 --> 00:03:54.240]  但是你有一種生活
[00:03:54.240 --> 00:03:56.240]  是其他你不信耶穌的朋友都沒有的
[00:03:56.240 --> 00:03:58.240]  只是那一點點那麼多
[00:03:58.240 --> 00:04:00.240]  都值得你來
[00:04:00.240 --> 00:04:02.240]  很多時候很多人就為了那一點點
[00:04:02.240 --> 00:04:04.240]  他能夠在教會裏面的生活當中
[00:04:04.240 --> 00:04:06.240]  拿到的東西
[00:04:06.240 --> 00:04:08.240]  為他繼續去教會
