
[00:00:00.000 --> 00:00:03.640]   (music)
[00:00:03.640 --> 00:00:04.540]   Hello brothers and sisters
[00:00:04.540 --> 00:00:05.500]   I am Fr. Cuan Shui-min
[00:00:05.500 --> 00:00:08.100]   teaching at the Church of St. George's
[00:00:08.100 --> 00:00:09.440]   Today I am introducing a book
[00:00:09.440 --> 00:00:11.280]   written by a French theologian
[00:00:11.280 --> 00:00:14.080]   Jean-Luc Nantz
[00:00:14.080 --> 00:00:15.120]   The book is called
[00:00:15.120 --> 00:00:18.780]   "Disenclosure, the Deconstruction of Christianity"
[00:00:18.780 --> 00:00:23.360]   The author is a prominent European theologian
[00:00:23.360 --> 00:00:27.220]   Although this book is about Christianity
[00:00:27.220 --> 00:00:31.000]   it is not a book on the theology of Christ
[00:00:31.000 --> 00:00:34.900]   and it is not a book to defend Christianity
[00:00:34.900 --> 00:00:38.240]   or to oppose Christianity
[00:00:38.240 --> 00:00:40.240]   Nantz's main purpose
[00:00:40.240 --> 00:00:42.580]   is to put Christianity
[00:00:42.580 --> 00:00:44.180]   in the context of Western history
[00:00:44.180 --> 00:00:47.580]   Western culture and civilization
[00:00:47.580 --> 00:00:50.680]   to explore and examine
[00:00:50.680 --> 00:00:53.060]   the characteristics of Christianity
[00:00:53.060 --> 00:00:55.160]   Through these characteristics
[00:00:55.160 --> 00:00:57.020]   we can see that
[00:00:57.020 --> 00:01:00.220]   when Western civilization and modernity
[00:01:00.220 --> 00:01:03.760]   are in a state of closure and disintegration
[00:01:03.760 --> 00:01:05.300]   how can Christianity
[00:01:05.300 --> 00:01:10.200]   open up a new way of thinking?
[00:01:10.200 --> 00:01:14.480]   What does a normal person believe?
[00:01:14.480 --> 00:01:15.740]   A normal person believes that
[00:01:15.740 --> 00:01:17.940]   Christianity is a God
[00:01:17.940 --> 00:01:20.840]   whom we believe to be high above
[00:01:20.840 --> 00:01:23.880]   a God who is extremely high
[00:01:23.880 --> 00:01:27.960]   and worthy of worship
[00:01:27.960 --> 00:01:31.620]   Therefore, I think that for many people
[00:01:31.620 --> 00:01:35.660]   Christianity is a relationship with God
[00:01:35.660 --> 00:01:39.800]   or we follow His words
[00:01:39.800 --> 00:01:41.200]   read the Bible
[00:01:41.200 --> 00:01:45.000]   or follow the Bible
