
[00:00:00.000 --> 00:00:04.000]  各位弟兄姊妹,各位來賓,聖誕快樂!
[00:00:04.000 --> 00:00:08.000]  剛才回來的時候,看到弟兄姊妹
[00:00:08.000 --> 00:00:12.000]  因為很少在晚上看到這麼多弟兄姊妹,隨口說
[00:00:12.000 --> 00:00:16.000]  早晨!弟兄姊妹見到我的時候,要跟我說早晨!
[00:00:16.000 --> 00:00:22.000]  在一個晚上這麼多弟兄姊妹聚集,是一個很少的時刻
[00:00:22.000 --> 00:00:27.000]  第一,看到有三個師班,有大衛師班,有祖堂師班,有五堂師班
[00:00:27.000 --> 00:00:31.000]  在晚上一起獻唱,是很特別的時間
[00:00:31.000 --> 00:00:34.000]  整個教會,我們眾弟兄姊妹,還有很多來賓
[00:00:34.000 --> 00:00:38.000]  一起在平安夜的晚上,一起紀念耶穌基督的降生
[00:00:38.000 --> 00:00:40.000]  是一個很有意思的晚上
[00:00:40.000 --> 00:00:43.000]  我們中間有不同年紀的朋友,弟兄姊妹
[00:00:43.000 --> 00:00:48.000]  剛才主席通知我們,誰在三十歲以下,唱哪些,讀哪些
[00:00:48.000 --> 00:00:50.000]  或者三十歲以上讀哪些
[00:00:50.000 --> 00:00:54.000]  我聽見師班似乎大聲一點,在三十歲以下的時候
[00:00:54.000 --> 00:00:57.000]  就大聲一點,但我見到在當中很多年紀是大的
[00:00:57.000 --> 00:01:00.000]  亦有很多年紀年輕的,小的
[00:01:00.000 --> 00:01:03.000]  的確,在我們的神面前,我們每一個人都要開口
[00:01:03.000 --> 00:01:07.000]  無論我們年紀多大,年幼的,老的,年輕的
[00:01:07.000 --> 00:01:10.000]  我們都應該開口,來讚美這位神
[00:01:10.000 --> 00:01:13.000]  因為耶穌基督降生,將我們整個生命改變了
[00:01:13.000 --> 00:01:16.000]  帶給我們盼望,帶給我們平安
[00:01:16.000 --> 00:01:18.000]  在今晚當我們一起鳥聚集的時候
[00:01:18.000 --> 00:01:23.000]  我們都很想打開聖經,看回聖經裏面給我們講到的訊息
[00:01:23.000 --> 00:01:25.000]  我們想回神對我們的說話
[00:01:25.000 --> 00:01:28.000]  我們彼此來到有勉勵,彼此有提醒
[00:01:28.000 --> 00:01:32.000]  大家知道在我們今早有提過一節經文
[00:01:32.000 --> 00:01:35.000]  亦都是今晚我們再接續會再講
[00:01:35.000 --> 00:01:39.000]  在聖眼之神,我們常常看到路加夫音裏面所提到
[00:01:39.000 --> 00:01:43.000]  一隊天君向一班牧羊人發出他們讚美的呼聲
[00:01:43.000 --> 00:01:46.000]  他們講出兩句很簡單的說話
[00:01:46.000 --> 00:01:49.000]  但卻是意義深長,非常豐富的內容
[00:01:49.000 --> 00:01:51.000]  聖經裏面說,他說
[00:01:51.000 --> 00:01:54.000]  在至高之處,榮耀歸於上帝
[00:01:54.000 --> 00:01:59.000]  在地上平安,歸於他所喜悅的人
[00:01:59.000 --> 00:02:02.000]  我們就思想第二句的說話
[00:02:02.000 --> 00:02:06.000]  聖經很清楚提到,在地上平安,歸於哪些人呢?
[00:02:06.000 --> 00:02:10.000]  歸於他所喜悅的人
[00:02:10.000 --> 00:02:13.000]  在平安夜的晚上,我們每個人都想尋求一種平安
[00:02:13.000 --> 00:02:17.000]  這種平安不單止是今晚一個晚上的平安
[00:02:17.000 --> 00:02:22.000]  而是一種不能被時間環境所影響的平安
[00:02:22.000 --> 00:02:27.000]  一種穩定,一種永恆的平安,在我們心靈的深處
[00:02:27.000 --> 00:02:31.000]  當我們思想的時候,聖經說平安歸於神所喜悅的人
[00:02:31.000 --> 00:02:36.000]  我們就會問一個問題,我們怎樣做一個神所喜悅的人呢?
[00:02:36.000 --> 00:02:39.000]  怎樣讓我們生活是神所喜悅的?
[00:02:39.000 --> 00:02:44.000]  以致我們的平安,神的平安能夠充滿我們的內心
[00:02:44.000 --> 00:02:46.000]  在聖經裏面,保羅很多次這樣說
[00:02:46.000 --> 00:02:52.000]  重複地強調,無論是住在身內,離開身外
[00:02:52.000 --> 00:02:58.000]  無論是在生或離世,他立了志向,要得到主的喜悅
[00:02:58.000 --> 00:03:02.000]  他立定了他人生的目標,無論如何都要得到主的喜悅
[00:03:02.000 --> 00:03:05.000]  讓主喜悅他的人生
[00:03:05.000 --> 00:03:09.000]  這是保羅在聖經裏面很清楚表明的志向
[00:03:09.000 --> 00:03:13.000]  當聖經提到,在地上平安,歸於他所喜悅的人的時候
[00:03:13.000 --> 00:03:16.000]  我們都會問,我們應該怎樣回應呢?
[00:03:16.000 --> 00:03:21.000]  無錯,神的榮耀透過耶穌基督,我們今早所說的,彰顯了出來
[00:03:21.000 --> 00:03:25.000]  他的榮耀透過基督的救恩,很清楚地表明出來
[00:03:25.000 --> 00:03:29.000]  而我們應該有甚麼回應呢?
[00:03:29.000 --> 00:03:32.000]  一個最直接,最簡單的回應就是
[00:03:32.000 --> 00:03:37.000]  我們要藉著信心去接受耶穌基督
[00:03:37.000 --> 00:03:41.000]  我們透過信心去接受神給我們一份的救恩
