
[00:00:00.000 --> 00:00:03.000]  我們常常都會講及「恩典」
[00:00:03.000 --> 00:00:05.000]  大家很多時候在教會唱詩歌
[00:00:05.000 --> 00:00:09.000]  或者彼此分享的時候都提及主的恩典
[00:00:09.000 --> 00:00:11.500]  有時候講得多我們會覺得好像都很平常
[00:00:11.500 --> 00:00:13.000]  沒什麼特別
[00:00:13.000 --> 00:00:14.500]  但當你小心看聖經的時候
[00:00:14.500 --> 00:00:19.000]  你就發覺「恩典」太寶貴了
[00:00:19.000 --> 00:00:20.500]  詩人在聖經裡面說
[00:00:20.500 --> 00:00:25.500]  他說:「如果不是相信在活人之地得見你的恩惠
[00:00:25.500 --> 00:00:28.500]  就早已經喪膽」
[00:00:28.500 --> 00:00:30.500]  如果不是相信有「恩典」
[00:00:30.500 --> 00:00:34.500]  我們就沒有膽量繼續去生活
[00:00:34.500 --> 00:00:36.000]  因為相信有「恩典」
[00:00:36.000 --> 00:00:39.500]  所以仍然可以放膽面對一切
[00:00:39.500 --> 00:00:40.500]  對於很多人來說
[00:00:40.500 --> 00:00:43.500]  我們覺得某些人他們會沒有問題
[00:00:43.500 --> 00:00:46.000]  應該會站得穩
[00:00:46.000 --> 00:00:48.500]  我們常常講信心之父阿伯拉罕
[00:00:48.500 --> 00:00:51.500]  我們講述他的信心的榜樣
[00:00:51.500 --> 00:00:53.500]  但《創世紀》是很真實地
[00:00:53.500 --> 00:00:56.500]  將人的軟弱講述出來
[00:00:56.500 --> 00:00:57.500]  所以阿伯拉罕有些時候
[00:00:57.500 --> 00:01:01.000]  讓我們看到有信心軟弱的時間
[00:01:01.000 --> 00:01:03.500]  甚至他做了一些不應該做的事情
[00:01:03.500 --> 00:01:05.500]  危害了他的家人
[00:01:05.500 --> 00:01:09.500]  也陷別人在罪當中
[00:01:09.500 --> 00:01:11.500]  當看到他的軟弱的時候
[00:01:11.500 --> 00:01:13.500]  我們會覺得很失望
[00:01:13.500 --> 00:01:15.500]  但同時我們看到神自己的「恩典」
[00:01:15.500 --> 00:01:17.500]  何等奇妙
[00:01:17.500 --> 00:01:19.500]  在人諸般的軟弱當中
[00:01:19.500 --> 00:01:22.500]  神的「恩典」介入
[00:01:22.500 --> 00:01:25.500]  去扭轉了整個形勢
[00:01:25.500 --> 00:01:27.500]  也讓我們看到神所應許的
[00:01:27.500 --> 00:01:30.500]  因此就成全了
[00:01:30.500 --> 00:01:31.500]  不是因為我們
[00:01:31.500 --> 00:01:33.500]  而是因為他自己的工作
[00:01:33.500 --> 00:01:34.500]  他的「恩典」
[00:01:34.500 --> 00:01:37.500]  以致他可以將他要賜給人的恩惠
[00:01:37.500 --> 00:01:41.500]  應許成全在我們身上
[00:01:41.500 --> 00:01:43.500]  因此你和我常常思想
