
[00:00:00.000 --> 00:00:02.160]  大家知道今天是一個特別的主日
[00:00:02.160 --> 00:00:04.160]  是三人同土主日
[00:00:04.160 --> 00:00:08.600]  在去年我們一起追求在教會當中
[00:00:08.600 --> 00:00:11.600]  大概三四位弟兄姊妹組成小組
[00:00:11.600 --> 00:00:14.480]  大家同心互相的代禱守望
[00:00:14.480 --> 00:00:17.200]  在昨天教會有一個叫做
[00:00:17.200 --> 00:00:20.040]  第一屆門徒訓練的畢業禮
[00:00:20.040 --> 00:00:22.240]  有差不多七十位弟兄姊妹
[00:00:22.240 --> 00:00:24.640]  他們完成了一年的門徒訓練
[00:00:24.640 --> 00:00:28.320]  他們每兩位有一位師父跟著他們
[00:00:28.480 --> 00:00:30.600]  一年的時間完了之後
[00:00:30.600 --> 00:00:33.600]  他們得到一個結業證書
[00:00:33.600 --> 00:00:36.840]  他們三個人師父加兩個門徒
[00:00:36.840 --> 00:00:39.160]  在上上大家聚集在一起
[00:00:39.160 --> 00:00:40.680]  大家一起研讀聖經
[00:00:40.680 --> 00:00:42.360]  一起彼此的代禱
[00:00:42.360 --> 00:00:44.080]  我看到他們的成長
[00:00:44.080 --> 00:00:45.800]  我很為他們感謝神
[00:00:45.800 --> 00:00:48.000]  我記得有一次有一位弟兄
[00:00:48.000 --> 00:00:49.640]  跟我說及他自己的經歷
[00:00:49.640 --> 00:00:52.240]  他提到他在一次的公幹
[00:00:52.240 --> 00:00:54.120]  去到一個比較遠的地方
[00:00:54.120 --> 00:00:56.600]  一段長的時間不能回家
[00:00:57.080 --> 00:00:59.080]  每天晚上回酒店
[00:00:59.080 --> 00:01:02.120]  但因為那個地方沒有很多晚間的活動
[00:01:02.120 --> 00:01:04.280]  多數自己一個人在酒店裏面
[00:01:04.280 --> 00:01:06.240]  感到很悶
[00:01:06.240 --> 00:01:07.440]  不知做甚麼
[00:01:07.440 --> 00:01:09.280]  在那段時間亦發覺
