
[00:00:00.000 --> 00:00:02.000]  人生有很多事情要等的
[00:00:02.000 --> 00:00:06.000]  不過如果你知道結局的時候
[00:00:06.000 --> 00:00:11.000]  就算等的過程有多辛苦
[00:00:11.000 --> 00:00:14.000]  你都可以忍受得住
[00:00:14.000 --> 00:00:16.000]  因為你知道結局
[00:00:16.000 --> 00:00:20.000]  你等 譬如說現在18號
[00:00:20.000 --> 00:00:22.000]  我30號才出糧
[00:00:22.000 --> 00:00:24.000]  今天19號
[00:00:24.000 --> 00:00:28.000]  30號出糧還要等11天
[00:00:28.000 --> 00:00:32.000]  你忍 逐天撕掉
[00:00:32.000 --> 00:00:34.000]  撕掉11天
[00:00:34.000 --> 00:00:38.000]  月台說還有兩分鐘 地鐵來
[00:00:38.000 --> 00:00:42.000]  兩分鐘而已 安心等
[00:00:42.000 --> 00:00:46.000]  因為你知道結局 所以可以等
[00:00:46.000 --> 00:00:49.000]  你知道今天楊牧師說得多悶
[00:00:49.000 --> 00:00:51.000]  30分鐘就很快過去
[00:00:51.000 --> 00:00:52.000]  你等得到的
[00:00:52.000 --> 00:00:54.000]  等一會就說不要理楊牧師
[00:00:54.000 --> 00:00:56.000]  BBQ 開心
[00:00:56.000 --> 00:00:59.000]  因為你知道結局是這樣的
[00:00:59.000 --> 00:01:02.000]  啟示局18章就是這樣
[00:01:02.000 --> 00:01:04.000]  是同一道理
[00:01:04.000 --> 00:01:09.000]  今季我們很多新朋友第一次來教會
[00:01:09.000 --> 00:01:11.000]  我們今季就說啟示局
[00:01:11.000 --> 00:01:15.000]  啟示局是史陶若翰寫給第一世紀的眾聖徒
[00:01:15.000 --> 00:01:18.000]  在說末世 現在這個世代
[00:01:18.000 --> 00:01:20.000]  世界快要終結了
[00:01:20.000 --> 00:01:22.000]  究竟會發生什麼事
[00:01:22.000 --> 00:01:28.000]  第18章就是說到一個中國最終的結局是怎樣
[00:01:28.000 --> 00:01:30.000]  以至到第一世紀的信徒
[00:01:30.000 --> 00:01:32.000]  或者我們現在的信徒
[00:01:32.000 --> 00:01:36.000]  可以怎樣等候忍耐
[00:01:36.000 --> 00:01:38.000]  因為你已經看到
[00:01:38.000 --> 00:01:39.000]  史陶若翰告訴你
[00:01:39.000 --> 00:01:41.000]  這個結局就是這樣
[00:01:41.000 --> 00:01:43.000]  你們現在艱難
[00:01:43.000 --> 00:01:46.000]  要做信徒不容易
[00:01:46.000 --> 00:01:49.000]  又要面對家庭 工作
[00:01:49.000 --> 00:01:53.000]  社會大氣候 很多環境的挑戰
[00:01:53.000 --> 00:01:58.000]  甚至過去幾年疫情等等
[00:01:58.000 --> 00:02:00.000]  你知道結局的時候
[00:02:00.000 --> 00:02:01.000]  繼續等
[00:02:01.000 --> 00:02:04.000]  因為那樣東西 神會實現
[00:02:04.000 --> 00:02:06.000]  所以等得有價值
[00:02:06.000 --> 00:02:09.000]  史陶若翰就是給我們這樣的鼓勵
[00:02:09.000 --> 00:02:14.000]  我們知道第一世紀是充滿很多挑戰
[00:02:14.000 --> 00:02:16.000]  我都說過
[00:02:16.000 --> 00:02:22.000]  第一世紀的羅馬帝國政府是容許多元宗教
[00:02:22.000 --> 00:02:25.000]  好像香港一樣多元
[00:02:25.000 --> 00:02:28.000]  你可以拜黃大仙
[00:02:28.000 --> 00:02:30.000]  你可以拜天后
[00:02:30.000 --> 00:02:32.000]  也可以信佛教
[00:02:32.000 --> 00:02:33.000]  也可以信基督教
[00:02:33.000 --> 00:02:34.000]  沒有問題
[00:02:34.000 --> 00:02:37.000]  不過有一樣東西一定要拜
[00:02:37.000 --> 00:02:40.000]  一定要朝聖
[00:02:40.000 --> 00:02:44.000]  就是羅馬 凱撒的大帝 君王
[00:02:44.000 --> 00:02:46.000]  一定要跪拜我
[00:02:46.000 --> 00:02:49.000]  因為我是整個大地的遺尊
[00:02:49.000 --> 00:02:51.000]  我是至高的
[00:02:51.000 --> 00:02:54.000]  你跪拜我 其他信什麼都沒有問題
[00:02:54.000 --> 00:02:57.000]  但是你不跪拜我
[00:02:57.000 --> 00:03:00.000]  你信那樣東西就有問題
[00:03:00.000 --> 00:03:03.000]  因為那樣東西難了你去跪拜我
[00:03:03.000 --> 00:03:09.000]  所以我作為至高的對付那些不跪拜我的人
[00:03:09.000 --> 00:03:14.000]  第一世紀很多人都是能夠生存的
[00:03:14.000 --> 00:03:16.000]  除了基督徒
[00:03:16.000 --> 00:03:23.000]  因為基督徒知道我們要跪拜獨一的真神
[00:03:23.000 --> 00:03:31.000]  我們要盡心盡性盡意盡力愛主我們的神
[00:03:31.000 --> 00:03:36.000]  所以第一世紀留下的是很多宣道仔的血
[00:03:36.000 --> 00:03:41.000]  因為他們堅決反對跪拜凱撒大帝
[00:03:41.000 --> 00:03:44.000]  所以在這樣的背景下
[00:03:44.000 --> 00:03:46.000]  你就知道啟示獄帶來很多張力
[00:03:46.000 --> 00:03:48.000]  信徒堅守信仰
[00:03:48.000 --> 00:03:50.000]  但付出沉重的代價
[00:03:50.000 --> 00:03:55.000]  所以為什麼有七災 七號 七碗
[00:03:55.000 --> 00:03:57.000]  這些是象徵性的
[00:03:57.000 --> 00:04:02.000]  信徒在那個世代面對很難的挑戰
[00:04:02.000 --> 00:04:04.000]  很艱難
[00:04:04.000 --> 00:04:10.000]  要生存唯有做妥協
