
[00:00:00.000 --> 00:00:05.400]  大家會記得我們今個季度一直思想著愛神和愛人的訊息
[00:00:05.400 --> 00:00:07.400]  來到三月的第一個主日
[00:00:07.400 --> 00:00:12.200]  我們會思想在愛當中必須有的一種基礎
[00:00:12.200 --> 00:00:13.800]  真理
[00:00:13.800 --> 00:00:15.600]  沒有了真理的基礎
[00:00:15.600 --> 00:00:19.200]  愛就不是真正的愛
[00:00:19.200 --> 00:00:24.000]  我記得在幾年前第一次接觸到網上的日誌
[00:00:24.000 --> 00:00:25.400]  當時有人問我
[00:00:25.400 --> 00:00:27.600]  你有沒有看過那些聲架
[00:00:27.600 --> 00:00:31.000]  我就問他什麼叫聲架
[00:00:31.000 --> 00:00:35.800]  我在網上很多人寫自己的日記公開給別人看
[00:00:35.800 --> 00:00:40.000]  我就問什麼日記是公開給別人看的
[00:00:40.000 --> 00:00:41.400]  他說是呀 大家都是這樣做的
[00:00:41.400 --> 00:00:45.800]  你有沒有看過你女兒的那些
[00:00:45.800 --> 00:00:48.400]  我那時開始知道原來很多人都很歡喜
[00:00:48.400 --> 00:00:52.000]  將自己很多的經歷或者他們的高見
[00:00:52.000 --> 00:00:55.200]  在網上寫出來是任何人都可以看
[00:00:55.200 --> 00:00:58.600]  或者任何人都可以成為一個作者
[00:00:58.600 --> 00:01:01.200]  有他自己的看法
[00:01:01.200 --> 00:01:05.200]  可以擺出來大家一起去看
[00:01:05.200 --> 00:01:08.600]  一個多元化的社會強調一件事情
[00:01:08.600 --> 00:01:11.000]  在多元論的觀念裏面就是說
[00:01:11.000 --> 00:01:15.000]  所有人的觀念都可以是正確的
[00:01:15.000 --> 00:01:17.600]  如果你說哪一個人的觀念不正確呢
[00:01:17.600 --> 00:01:20.000]  你就不正確了
[00:01:20.000 --> 00:01:21.600]  從信仰角度看
[00:01:21.600 --> 00:01:24.000]  很多人就說有不同的信仰
[00:01:24.000 --> 00:01:28.000]  如果你說別人的信仰有一些偏差
[00:01:28.000 --> 00:01:31.200]  你判斷他有些地方出問題
[00:01:31.200 --> 00:01:36.000]  那你的信仰就很偏窄 很固執
[00:01:36.000 --> 00:01:38.000]  因此你不可以隨便去判斷
[00:01:38.000 --> 00:01:42.000]  你一判斷的時候你就被認為是偏窄的
[00:01:42.000 --> 00:01:46.000]  因此在這個時代沒有人敢去提出一些客觀的判斷
