
[00:00:00.000 --> 00:00:04.000]  而今天我要和大家一同領受的信息
[00:00:04.000 --> 00:00:08.000]  還是關於侍奉方面的真理
[00:00:08.000 --> 00:00:12.000]  我們要看一看侍奉的價值觀
[00:00:12.000 --> 00:00:16.000]  一個人的價值觀非常的重要
[00:00:16.000 --> 00:00:20.000]  能夠決定他工作中的先後的次序
[00:00:20.000 --> 00:00:23.000]  他認為什麼是最重要
[00:00:23.000 --> 00:00:25.000]  他就先去做
[00:00:25.000 --> 00:00:28.000]  把它放在一個重要的位置上
[00:00:28.000 --> 00:00:31.000]  專心地去完成它
[00:00:31.000 --> 00:00:34.000]  如果他認為某一件事是次要的
[00:00:34.000 --> 00:00:37.000]  他就會放在後面
[00:00:37.000 --> 00:00:43.000]  所以價值觀決定一個人追求的目標路線方向
[00:00:43.000 --> 00:00:47.000]  我們侍奉族必須有正確的價值觀
[00:00:47.000 --> 00:00:50.000]  才能夠有正確的追求
[00:00:50.000 --> 00:00:53.000]  正確的成就
[00:00:53.000 --> 00:00:57.000]  現在我們要一同打開族的話語
[00:00:57.000 --> 00:01:00.000]  和聖經在裡面看
[00:01:00.000 --> 00:01:03.000]  我們侍奉的價值觀是什麼
[00:01:03.000 --> 00:01:06.000]  我要按照時間所許可的
[00:01:06.000 --> 00:01:09.000]  來看其中的一部分
[00:01:09.000 --> 00:01:11.000]  首先
[00:01:11.000 --> 00:01:15.000]  我們的主親自地告訴我們
[00:01:15.000 --> 00:01:19.000]  愛主的心比工作更重要
[00:01:19.000 --> 00:01:23.000]  愛主比工作更重要
[00:01:23.000 --> 00:01:28.000]  請大家翻到《騎士錄》第二章
[00:01:28.000 --> 00:01:32.000]  先看第三節然後看四節
[00:01:32.000 --> 00:01:34.000]  我讀給大家聽
[00:01:34.000 --> 00:01:37.000]  《騎士錄》第二章第三節
[00:01:37.000 --> 00:01:40.000]  主耶穌在這一封書信裡面
[00:01:40.000 --> 00:01:43.000]  稱讚依附所的弟兄姊妹
[00:01:43.000 --> 00:01:51.000]  說他們能忍耐成位主的名勞苦並不乏倦
[00:01:51.000 --> 00:01:54.000]  依附所的弟兄姊妹
[00:01:54.000 --> 00:01:58.000]  他們為主工作而受勞苦
