
[00:00:00.000 --> 00:00:02.000]  沒錯,神很愛這個世界
[00:00:02.000 --> 00:00:04.000]  但最重要的,祂不單是愛這個世界
[00:00:04.000 --> 00:00:06.000]  祂愛你,愛我
[00:00:06.000 --> 00:00:09.000]  我們今天是一個福音主人
[00:00:09.000 --> 00:00:12.000]  有機會將基督教信仰
[00:00:12.000 --> 00:00:16.000]  從某些角度講解清楚
[00:00:16.000 --> 00:00:19.000]  當然我們當中很多都是基督教徒
[00:00:19.000 --> 00:00:22.000]  當然我們都已經相信耶穌
[00:00:22.000 --> 00:00:25.000]  但我們中間可能有些是
[00:00:25.000 --> 00:00:27.000]  你曾經來過禮拜堂
[00:00:27.000 --> 00:00:30.000]  你的親友帶你來
[00:00:30.000 --> 00:00:32.000]  祂很想你認識基督教
[00:00:32.000 --> 00:00:34.000]  你來了,聽了一段時間
[00:00:34.000 --> 00:00:36.000]  但你還是有些掙扎
[00:00:36.000 --> 00:00:38.000]  有些猶豫,還未做決定的話
[00:00:38.000 --> 00:00:40.000]  我們很希望今天
[00:00:40.000 --> 00:00:44.000]  我將基督教的信仰再一次陳述清楚
[00:00:44.000 --> 00:00:47.000]  希望你今天能夠做出這個決定
[00:00:47.000 --> 00:00:49.000]  可以成為一個基督徒
[00:00:49.000 --> 00:00:52.000]  你不用說很緊張,又來叫我信教
[00:00:52.000 --> 00:00:54.000]  沒有的,害你嗎?
[00:00:54.000 --> 00:00:58.000]  又不是邪教,光光瓦瓦
[00:00:58.000 --> 00:01:00.000]  剛才小朋友彈琴的時候
[00:01:00.000 --> 00:01:02.000]  你覺得他很壞嗎?
[00:01:02.000 --> 00:01:05.000]  禮拜堂多你一個不多,少你一個不少
[00:01:05.000 --> 00:01:08.000]  又不是來湊夠人數
[00:01:08.000 --> 00:01:10.000]  最主要你明白為什麼
[00:01:10.000 --> 00:01:13.000]  你的親友,你身邊的朋友
[00:01:13.000 --> 00:01:15.000]  基督徒,祂很想你來
[00:01:15.000 --> 00:01:18.000]  祂很求你來
[00:01:18.000 --> 00:01:20.000]  又軟硬兼施
[00:01:20.000 --> 00:01:22.000]  又說待會請你喝茶
[00:01:22.000 --> 00:01:24.000]  什麼都做了
[00:01:24.000 --> 00:01:26.000]  對祂沒有什麼好處
