
[00:00:00.000 --> 00:00:02.240]  按照我定出來的題目
[00:00:02.240 --> 00:00:06.340]  我會用兩次和大家討論教會學
[00:00:06.340 --> 00:00:08.340]  Ecclesiology
[00:00:08.340 --> 00:00:10.740]  用兩次討論聖禮
[00:00:10.740 --> 00:00:12.740]  Sacraments
[00:00:12.740 --> 00:00:18.140]  然後用兩次討論末世Eschatology
[00:00:18.140 --> 00:00:20.140]  正如以往一樣
[00:00:20.140 --> 00:00:23.140]  我並沒有擔保我所討論的
[00:00:23.140 --> 00:00:25.940]  是這個範圍內所有的問題
[00:00:25.940 --> 00:00:27.940]  不過我覺得我想抽出來
[00:00:27.940 --> 00:00:29.940]  認為最有神學意義
[00:00:29.940 --> 00:00:31.940]  亦有具體意義的問題
[00:00:31.940 --> 00:00:33.940]  不是太多人討論的
[00:00:33.940 --> 00:00:35.940]  我就抽出來討論
[00:00:35.940 --> 00:00:37.940]  教會的神學
[00:00:37.940 --> 00:00:41.940]  無論如何我們都要比較全面來看看
[00:00:41.940 --> 00:00:43.940]  教會究竟是一回什麼的事
[00:00:43.940 --> 00:00:48.940]  然後我想從一個歷史神學的角度來看看
[00:00:48.940 --> 00:00:51.940]  亦從一個較為社會學的角度來看看
[00:00:51.940 --> 00:00:53.940]  在歷史當中
[00:00:53.940 --> 00:00:57.940]  出現過不同教會形態結構的類型
[00:00:57.940 --> 00:00:59.940]  究竟有什麼特別
[00:00:59.940 --> 00:01:04.940]  背後的神學觀念長處和弱點
[00:01:04.940 --> 00:01:06.940]  給大家參考
[00:01:06.940 --> 00:01:08.940]  首先第一部分
[00:01:08.940 --> 00:01:12.940]  先和大家看看我們不能離開聖經來看教會
[00:01:12.940 --> 00:01:15.940]  因為教會如果離開了聖經的資料
[00:01:15.940 --> 00:01:22.940]  只會成為一個社會學群眾的機構
[00:01:22.940 --> 00:01:26.940]  一個社會機構
[00:01:26.940 --> 00:01:29.940]  這不是我們應該的起始點
[00:01:29.940 --> 00:01:31.940]  所以我想花一點時間
[00:01:31.940 --> 00:01:33.940]  和大家溫習一下
[00:01:33.940 --> 00:01:38.940]  聖經裏面對教會的觀念和形象是怎樣描述的
[00:01:38.940 --> 00:01:40.940]  我借助了教會
[00:01:40.940 --> 00:01:45.940]  在新約聖經裏面對教會一些象徵性的描述
[00:01:45.940 --> 00:01:48.940]  大家都會記得
[00:01:48.940 --> 00:01:51.940]  新約聖經裏面對教會的描述
[00:01:51.940 --> 00:01:53.940]  很多時候用圖像式的描述
[00:01:53.940 --> 00:01:55.940]  Historia的Imagery
[00:01:55.940 --> 00:01:57.940]  或者叫Symbolism的描述
[00:01:57.940 --> 00:01:59.940]  在這個描述裏面
[00:01:59.940 --> 00:02:02.940]  我們可以看出其實在這個描述的圖畫當中
[00:02:02.940 --> 00:02:07.940]  是表達了新約聖經對教會一些很重要的觀念
[00:02:07.940 --> 00:02:10.940]  和本質的要求
[00:02:10.940 --> 00:02:12.940]  那些形象呢
[00:02:12.940 --> 00:02:18.940]  我們可以將它最主要的歸結為有四個圖像
[00:02:18.940 --> 00:02:20.940]  第一個圖像
[00:02:20.940 --> 00:02:24.940]  聖經稱教會是神的子民
[00:02:24.940 --> 00:02:26.940]  The people of God
[00:02:26.940 --> 00:02:28.940]  第二個圖像是稱它為基督的身體
[00:02:28.940 --> 00:02:30.940]  The body of Christ
[00:02:30.940 --> 00:02:33.940]  第三個圖像是基督的身父
[00:02:33.940 --> 00:02:35.940]  就是新娘
[00:02:35.940 --> 00:02:37.940]  The bride of Christ
[00:02:37.940 --> 00:02:40.940]  第四個圖像是屬靈的奠禮
[00:02:40.940 --> 00:02:42.940]  Spiritual Temple
[00:02:42.940 --> 00:02:45.940]  我相信這個對大家來說不是新鮮的
[00:02:45.940 --> 00:02:49.940]  所以我也不需要詳細解釋每一樣東西是怎樣
[00:02:49.940 --> 00:02:54.940]  只不過很快的引申一些可能大家沒有留意的總結
[00:02:54.940 --> 00:02:57.940]  首先我們看看神的子民
[00:02:57.940 --> 00:02:59.940]  要讀的聖經必然都需要的
[00:02:59.940 --> 00:03:04.940]  因為可能大家都會模模糊糊記得是甚麼
[00:03:04.940 --> 00:03:06.940]  不過我也需要讀出來給大家
[00:03:06.940 --> 00:03:08.940]  大家可以回到聖經來看
[00:03:08.940 --> 00:03:12.940]  神的子民最明顯說得清楚的
