
[00:00:00.000 --> 00:00:02.000]  主耶穌說:你對我們每一個人說話
[00:00:02.000 --> 00:00:04.000]  今天是猜拳主日
[00:00:04.000 --> 00:00:06.000]  你是猜拳的主
[00:00:06.000 --> 00:00:08.000]  有沒有什麼我們要聽的呢?
[00:00:08.000 --> 00:00:10.000]  主啊 求你對我們每一個人說話
[00:00:10.000 --> 00:00:13.000]  祈禱奉主耶穌得勝命之祈求
[00:00:13.000 --> 00:00:15.000]  阿門
[00:00:15.000 --> 00:00:17.000]  約翰一書
[00:00:17.000 --> 00:00:19.000]  我們熟悉吧
[00:00:19.000 --> 00:00:21.000]  我們愛
[00:00:21.000 --> 00:00:23.000]  因為神先愛我們
[00:00:23.000 --> 00:00:25.000]  二書呢
[00:00:25.000 --> 00:00:27.000]  我們熟悉
[00:00:27.000 --> 00:00:29.000]  因為神先愛我們
[00:00:29.000 --> 00:00:31.000]  二書呢
[00:00:31.000 --> 00:00:33.000]  沒什麼印象
[00:00:33.000 --> 00:00:35.000]  三書
[00:00:35.000 --> 00:00:37.000]  看都沒看過
[00:00:37.000 --> 00:00:39.000]  今天我們說這本書
[00:00:39.000 --> 00:00:41.000]  當然要配合猜拳的主題
[00:00:41.000 --> 00:00:43.000]  你剛才讀已經發覺
[00:00:43.000 --> 00:00:45.000]  約翰三書最突出的主題
[00:00:45.000 --> 00:00:47.000]  其中就是接待這兩個字
[00:00:47.000 --> 00:00:49.000]  Hospitality
[00:00:49.000 --> 00:00:51.000]  這個呢
[00:00:51.000 --> 00:00:53.000]  接待或者Hospitality
[00:00:53.000 --> 00:00:55.000]  是我們早期基督教已經有的美德
[00:00:55.000 --> 00:00:57.000]  其實都是源自於
[00:00:57.000 --> 00:00:59.000]  猶太人的傳統
[00:00:59.000 --> 00:01:01.000]  接待遠行的弟兄
[00:01:01.000 --> 00:01:03.000]  說起接待或者好客
[00:01:03.000 --> 00:01:05.000]  你可能想起上個星期
[00:01:05.000 --> 00:01:07.000]  有一則新聞
[00:01:07.000 --> 00:01:09.000]  經濟日報的標題
[00:01:09.000 --> 00:01:11.000]  旅客下跌感失望
[00:01:11.000 --> 00:01:13.000]  特首點兩點
[00:01:13.000 --> 00:01:15.000]  不容破壞好客城市
[00:01:15.000 --> 00:01:17.000]  特首表示旅遊業
[00:01:17.000 --> 00:01:19.000]  對香港重要呼籲
[00:01:19.000 --> 00:01:21.000]  要維持好客城市的形象
[00:01:21.000 --> 00:01:23.000]  他說趕客容易請客難
[00:01:23.000 --> 00:01:25.000]  不容許任何破壞
[00:01:25.000 --> 00:01:27.000]  香港好客的形象
