
[00:00:00.000 --> 00:00:02.640]  不知道我們會不會很多時候都覺得
[00:00:02.640 --> 00:00:07.000]  人越大就越掛念從前
[00:00:07.000 --> 00:00:09.540]  或者會不會我們有些人會覺得
[00:00:09.540 --> 00:00:14.220]  因為過去的一些遺憾和傷口
[00:00:14.220 --> 00:00:19.520]  走不出來之後就好像總是活在過去一樣
[00:00:19.520 --> 00:00:22.600]  又或者我們會不會有些人會覺得
[00:00:22.600 --> 00:00:25.940]  好像經常都被未來追趕
[00:00:25.940 --> 00:00:29.720]  經常都充滿著焦慮和不安
[00:00:29.720 --> 00:00:32.180]  又或者我們會不會有些人會覺得
[00:00:32.180 --> 00:00:34.940]  自己人生好像卡住了
[00:00:34.940 --> 00:00:39.100]  每天就只是在這裡捱著、撐著過日子
[00:00:39.100 --> 00:00:43.820]  好像活在一個很麻木的當下一樣
[00:00:43.820 --> 00:00:46.280]  今天想跟大家看一本書
[00:00:46.280 --> 00:00:50.440]  就是James K. Smith的《How to Inhibit Time》
[00:00:50.440 --> 00:00:53.200]  中文翻譯為《時間神學》
[00:00:53.200 --> 00:00:58.160]  承繼過去盼望未來信實地回應此刻
[00:00:58.160 --> 00:01:01.920]  英文書名叫做《How to Inhibit Time》
[00:01:01.920 --> 00:01:05.300]  我們可以理解它是叫我們學習
[00:01:05.300 --> 00:01:08.500]  如何好好活在時間裏面
[00:01:08.500 --> 00:01:12.180]  不過這本書並不是教我們如何更有效率
[00:01:12.180 --> 00:01:16.800]  亦不是教我們如何排好每天的行程
[00:01:16.800 --> 00:01:21.100]  其實這本書是處理一個更深的問題
[00:01:21.100 --> 00:01:24.980]  就是我們究竟應該如何面對過去
[00:01:24.980 --> 00:01:26.980]  應該如何活在當下
[00:01:26.980 --> 00:01:29.980]  應該如何影響未來呢?
[00:01:29.980 --> 00:01:32.200]  這本書開始的時候
[00:01:32.200 --> 00:01:34.200]  作者就跟我們講一個故事
[00:01:34.200 --> 00:01:38.280]  他就講到他自己曾經有一段時間是很低落
[00:01:38.280 --> 00:01:41.280]  甚至去到depression這樣的程度
[00:01:41.280 --> 00:01:43.280]  他就去了一間輔導
[00:01:43.280 --> 00:01:46.780]  之後輔導就叫他做一件很簡單的事
[00:01:46.780 --> 00:01:49.460]  是甚麼呢?就是叫他畫畫
[00:01:49.460 --> 00:01:55.220]  就是叫他畫自己童年時候住過的這個家
[00:01:55.220 --> 00:01:58.760]  他起初以為是畫地圖
[00:01:58.760 --> 00:02:02.140]  但畫著畫著他就明白了
[00:02:02.140 --> 00:02:05.020]  其實他不是在畫家那麼簡單
[00:02:05.020 --> 00:02:08.020]  而是他在發掘自己的內心
[00:02:08.020 --> 00:02:11.020]  他童年時候的那間屋
[00:02:11.020 --> 00:02:13.020]  裝著很多的記憶
[00:02:13.020 --> 00:02:14.600]  亦有很多的傷痕
[00:02:14.600 --> 00:02:18.520]  亦裝著很多影響到他今時今日的事
[00:02:18.520 --> 00:02:22.520]  甚至時不時都會觸發到他的情緒
[00:02:22.520 --> 00:02:25.020]  作者其實想講的是甚麼呢?
[00:02:25.020 --> 00:02:29.020]  就是我們不是住在一個時間裏面那麼簡單
[00:02:29.020 --> 00:02:34.020]  而是我們會將時間吸入我們的心裏面
[00:02:34.020 --> 00:02:37.520]  過去就不只是過去了就算了
[00:02:37.520 --> 00:02:40.020]  而是我們走過的這條路
[00:02:40.020 --> 00:02:42.020]  受過的傷害
[00:02:42.020 --> 00:02:44.520]  我們習慣了的一些反應
[00:02:44.520 --> 00:02:49.020]  我們小時候學到的恐懼
[00:02:49.020 --> 00:02:51.020]  或者學到的一些期待
[00:02:51.020 --> 00:02:53.020]  其實都會留在我們裏面
[00:02:53.020 --> 00:02:56.020]  影響到我們今天究竟怎樣思想
[00:02:56.020 --> 00:02:58.020]  我們今天怎樣去愛
[00:02:58.020 --> 00:03:01.020]  甚至怎樣去信靠上帝
[00:03:01.020 --> 00:03:05.020]  所以作者就提出了一個頗有意思的問題
[00:03:05.020 --> 00:03:07.020]  他就說我們經常都會問
[00:03:07.020 --> 00:03:10.020]  Who am I? 究竟我們是誰?
[00:03:10.020 --> 00:03:13.020]  但他就叫我們不只是問Who那麼簡單
[00:03:13.020 --> 00:03:16.020]  其實都要學習問When
[00:03:16.020 --> 00:03:21.020]  他就說我們應該要問When are we?
[00:03:21.020 --> 00:03:25.020]  究竟我們現在是一個甚麼時刻呢?
[00:03:25.020 --> 00:03:28.020]  亦都是說是問
[00:03:28.020 --> 00:03:31.020]  我們要知道我們自己的生命
[00:03:31.020 --> 00:03:34.020]  究竟現在是處於一個甚麼的階段
[00:03:34.020 --> 00:03:37.020]  我們今天的狀態是怎樣
[00:03:37.020 --> 00:03:41.020]  亦都是怎樣一步一步走到這裏
[00:03:41.020 --> 00:03:44.020]  因為這樣我們問這個問題
[00:03:44.020 --> 00:03:47.020]  才會更加明白上帝在我們生命裏面
[00:03:47.020 --> 00:03:49.020]  究竟在做甚麼
[00:03:49.020 --> 00:03:51.020]  作者繼續說
