
[00:00:00.000 --> 00:00:04.000]  當耶穌講財主和拉薩路比喻之前
[00:00:04.000 --> 00:00:06.320]  其實是講一個主題
[00:00:06.320 --> 00:00:10.880]  一個關於人如何看待在生的錢財
[00:00:10.880 --> 00:00:12.800]  什麼是生命的豐富
[00:00:12.800 --> 00:00:15.040]  什麼是生命的貧窮
[00:00:15.040 --> 00:00:17.680]  在之前耶穌講的比喻
[00:00:17.680 --> 00:00:19.040]  講到不義的管家
[00:00:19.040 --> 00:00:23.040]  藉著一個比喻去講出人應該善用在世的錢財
[00:00:23.040 --> 00:00:26.560]  去慰問將來的生命的籌算
[00:00:26.560 --> 00:00:31.360]  接著耶穌講當時的一群宗教領袖
[00:00:31.360 --> 00:00:33.440]  伯利賽人和一群文士
[00:00:33.440 --> 00:00:35.440]  他們貪愛錢財
[00:00:35.440 --> 00:00:36.640]  接著耶穌講
[00:00:36.640 --> 00:00:39.840]  「一個僕人不能侍奉兩個主
[00:00:39.840 --> 00:00:42.240]  不是惡者個就是愛那個
[00:00:42.240 --> 00:00:44.480]  不是重者個就是輕那個
[00:00:44.480 --> 00:00:46.080]  你們不能侍奉神
[00:00:46.080 --> 00:00:48.160]  又侍奉馬門」
[00:00:48.160 --> 00:00:52.320]  當時有一群猶太人的宗教領袖
[00:00:52.320 --> 00:00:55.280]  他們相信
[00:00:55.280 --> 00:00:57.840]  如果一個人越有財富
[00:00:57.840 --> 00:01:00.400]  他越健康
[00:01:00.400 --> 00:01:04.000]  他就是越蒙上帝的祝賜福
[00:01:04.000 --> 00:01:07.600]  但耶穌在此指責他們一件事
[00:01:07.600 --> 00:01:10.160]  「你們在人面前自稱為異
[00:01:10.160 --> 00:01:13.120]  你們的心神卻是知道的
[00:01:13.120 --> 00:01:16.000]  因為人所稱讚的
[00:01:16.000 --> 00:01:18.960]  在神面前是可憎惡的」
[00:01:18.960 --> 00:01:21.040]  耶穌指出一件事
[00:01:21.040 --> 00:01:23.280]  就是一個很重要的真理
[00:01:23.280 --> 00:01:26.320]  人在生中財物有多豐富
[00:01:26.320 --> 00:01:28.000]  他的生活有多順利
[00:01:28.000 --> 00:01:29.120]  有多健康
[00:01:29.120 --> 00:01:35.600]  都不代表他蒙上帝賜福的記號
[00:01:35.600 --> 00:01:38.240]  所以耶穌在此繼續討論
[00:01:38.240 --> 00:01:42.640]  或再講關於錢財的道理
[00:01:42.640 --> 00:01:47.120]  一個在世享受榮華富貴的人
[00:01:47.120 --> 00:01:49.120]  不等於在上帝面前
[00:01:49.120 --> 00:01:51.280]  佔有一個特別的地位
[00:01:51.280 --> 00:01:55.120]  相反,人如果在今生貪愛錢財
[00:01:55.120 --> 00:01:57.520]  如果人心中沒有上帝
[00:01:57.520 --> 00:02:00.880]  在末日必會受上帝的審判
[00:02:00.880 --> 00:02:03.840]  在此一開始講了兩個人物
[00:02:03.840 --> 00:02:07.120]  一個是財主,一個是拉薩路
[00:02:07.120 --> 00:02:11.040]  形容財主幾句簡單的說話
[00:02:11.040 --> 00:02:16.480]  幾句說話已經講出他在世的生活
[00:02:16.480 --> 00:02:19.120]  有多富有和有多權勢
[00:02:19.120 --> 00:02:24.880]  形容他穿著紫色袍和細麻布的衣服
[00:02:24.880 --> 00:02:27.120]  這兩種衣服在當時來說
[00:02:27.120 --> 00:02:29.120]  不是一般人可以擁有
[00:02:29.120 --> 00:02:32.560]  是一些很有權勢、很有地位的人
[00:02:32.560 --> 00:02:36.400]  才能擁有和穿著
[00:02:36.400 --> 00:02:38.640]  紫色袍不單代表有錢
[00:02:38.640 --> 00:02:41.840]  是代表一個地位上的尊崇
[00:02:41.840 --> 00:02:44.960]  在人來看,一個人、一個財主
[00:02:44.960 --> 00:02:47.440]  是很有錢、很有權勢
[00:02:47.440 --> 00:02:50.000]  然後再形容他的生活是怎樣的
[00:02:50.000 --> 00:02:51.600]  幾個字就交代了
[00:02:51.600 --> 00:02:54.160]  就是天天奢華賢樂
[00:02:54.160 --> 00:02:57.840]  這裡用了一個負面的形容
[00:02:57.840 --> 00:03:00.800]  去形容財主的生活
[00:03:00.800 --> 00:03:04.640]  從整個故事去看財主
[00:03:04.640 --> 00:03:06.240]  這幾句說話他講了
[00:03:06.240 --> 00:03:09.600]  財主在生命當中沒有上帝
[00:03:09.600 --> 00:03:12.240]  他只是貪圖個人的享樂
[00:03:12.240 --> 00:03:14.080]  在他的心目中他只是想
[00:03:14.080 --> 00:03:15.840]  這些錢既然是我擁有
[00:03:15.840 --> 00:03:19.200]  為什麼我不能夠用我擁有的錢
[00:03:19.200 --> 00:03:22.880]  去享受生活呢?
[00:03:22.880 --> 00:03:27.120]  他的生命當中沒有理會他人的生死
[00:03:27.120 --> 00:03:30.880]  沒有理會拉薩路的處境
[00:03:30.880 --> 00:03:33.280]  沒有去幫助拉薩路
[00:03:33.280 --> 00:03:34.000]  可以這樣說
[00:03:34.000 --> 00:03:37.680]  他整個人都是自私自利的情況
[00:03:37.680 --> 00:03:41.120]  心中只有自己,沒有上帝
[00:03:41.120 --> 00:03:42.480]  幾句簡單的說話
[00:03:42.480 --> 00:03:46.320]  就形容了他整個生活的狀況
[00:03:46.320 --> 00:03:48.640]  然後再去形容另一個人
[00:03:48.640 --> 00:03:50.480]  叫做拉薩路
[00:03:50.480 --> 00:03:52.160]  拉薩路這個名字叫做
[00:03:52.160 --> 00:03:54.560]  上帝幫助我的意思
[00:03:54.560 --> 00:03:56.480]  耶穌在講這個事蹟的時候
[00:03:56.480 --> 00:03:58.240]  沒有講財主的名字
[00:03:58.240 --> 00:04:01.040]  但就講了這個土犯
[00:04:01.040 --> 00:04:04.160]  這個黑衣的名字叫拉薩路
[00:04:04.160 --> 00:04:05.280]  其實都很有意思
[00:04:05.280 --> 00:04:07.120]  和耶穌的心意在裡面
[00:04:07.120 --> 00:04:10.640]  拉薩路是一個無權無勢的人
[00:04:10.640 --> 00:04:14.000]  也是一個身體極度虛弱的人
[00:04:14.000 --> 00:04:16.320]  他連每一天的每一餐
[00:04:16.320 --> 00:04:19.600]  能不能夠有得吃都不知道
[00:04:19.600 --> 00:04:22.800]  可以說他是一個沒有人幫助
[00:04:22.800 --> 00:04:24.080]  沒有人憐憫的人
[00:04:24.080 --> 00:04:27.280]  但這個名字他提醒讀者
[00:04:27.280 --> 00:04:28.560]  一個很重要的道理
[00:04:28.560 --> 00:04:31.360]  一個無權無勢的一個人
[00:04:31.360 --> 00:04:33.360]  但上帝會顧念他
[00:04:33.360 --> 00:04:34.640]  沒有人去紀念他
[00:04:34.640 --> 00:04:37.120]  但上帝會紀念他
[00:04:37.120 --> 00:04:39.680]  這個拉薩路是一個出身貧窮的人
[00:04:39.680 --> 00:04:40.640]  很窮
[00:04:40.640 --> 00:04:42.000]  他不單止貧窮
[00:04:42.000 --> 00:04:43.520]  他還有很多病
[00:04:43.520 --> 00:04:47.680]  所以形容他滿身都是山左滄
[00:04:47.680 --> 00:04:50.640]  可以說拉薩路是被當時的人
[00:04:50.640 --> 00:04:52.960]  鄙視的一些人
[00:04:52.960 --> 00:04:54.960]  當時的社會
[00:04:54.960 --> 00:04:56.400]  和我們社會很不同
[00:04:56.400 --> 00:04:59.680]  當時不是有福利的救濟
[00:04:59.680 --> 00:05:00.640]  我們現在香港的社會
[00:05:00.640 --> 00:05:03.680]  都有一個相當不錯的保障
[00:05:03.680 --> 00:05:06.240]  我們沒有人會在香港餓死
[00:05:06.240 --> 00:05:09.760]  我們沒有人有病而沒有醫生看
[00:05:09.760 --> 00:05:12.640]  我們有一個很基本的保障
[00:05:12.640 --> 00:05:16.400]  但當時如果一個人無權無勢
[00:05:16.400 --> 00:05:17.520]  又出身病的時候
[00:05:17.520 --> 00:05:19.840]  基本上是不會有人去照顧
[00:05:19.840 --> 00:05:22.000]  所以他們唯有去到一些財主
[00:05:22.000 --> 00:05:23.360]  有錢的門口
[00:05:23.360 --> 00:05:27.760]  就希望可以得到財主的救濟
[00:05:27.760 --> 00:05:30.880]  在這段經文裏面
