
[00:00:00.000 --> 00:00:07.280]  啟示錄第20章被稱為新約聖經中幾段最多不同解釋亦最難解釋的聖經
[00:00:07.280 --> 00:00:13.560]  今天我們沒有時間慢慢將所有不同的解法思想
[00:00:13.560 --> 00:00:18.880]  大家讀了剛才的經文,我假設大家知道裡面的內容,我們不會再重複
[00:00:18.880 --> 00:00:23.920]  為何有這麼多不同的解說和這麼困難呢?
[00:00:23.920 --> 00:00:28.800]  因為歷代不同的學者去看啟示錄的時候
[00:00:28.800 --> 00:00:31.040]  啟示錄是一本很獨特的書
[00:00:31.040 --> 00:00:36.400]  因為約翰看到的是永恆將來要發生的事
[00:00:36.400 --> 00:00:40.000]  是超過他自己當時所發生的事
[00:00:40.000 --> 00:00:42.480]  而且啟示錄他這樣寫的時候
[00:00:42.480 --> 00:00:46.200]  用了不少象徵表達的方式
[00:00:46.200 --> 00:00:52.600]  但亦記錄了約翰他親眼所看見的情況
[00:00:52.600 --> 00:00:56.360]  所以很多時候我們解釋的時候落在兩種難處
[00:00:56.360 --> 00:00:59.240]  究竟這句說話當啟示錄這樣說的時候
[00:00:59.240 --> 00:01:01.920]  他是用了一種象徵的說法呢?
[00:01:01.920 --> 00:01:05.720]  還是用了一種字面直接的表達方法?
[00:01:05.720 --> 00:01:11.440]  不同的學者去解釋的時候,你解釋的時候是有不同的理解的
[00:01:11.440 --> 00:01:13.880]  這兩樣東西哪樣是對的呢?
[00:01:13.880 --> 00:01:16.880]  兩種都有它的根據和對的
[00:01:16.880 --> 00:01:20.800]  不是說哪一種一定是不合聖經、異端
[00:01:20.800 --> 00:01:23.120]  不是,是一種解釋上的困難
[00:01:23.120 --> 00:01:27.320]  因為在啟示錄裡面肯定是有用象徵式的表達的
[00:01:27.320 --> 00:01:31.080]  他不可能每句都是字面描述如此的
[00:01:31.080 --> 00:01:40.320]  你看這個當第六章記載到書卷被剪開的時候
[00:01:40.320 --> 00:01:43.200]  很明顯這個卷軸你不會想著
[00:01:43.200 --> 00:01:47.640]  有一天你在天空看到一個很大的卷一直撐開
[00:01:47.640 --> 00:01:49.040]  好像科幻片那樣
[00:01:49.040 --> 00:01:50.360]  應該就不會了
[00:01:50.360 --> 00:01:55.160]  我相信你也會想到將來歷史的展開
[00:01:55.160 --> 00:01:58.240]  然後呢,聖經繼續記載說
[00:01:58.240 --> 00:02:04.240]  在卷軸被剪開之前,一個一個風的印揭開的時候
[00:02:04.240 --> 00:02:06.720]  就有一匹馬飛出來
[00:02:06.720 --> 00:02:10.360]  馬飛出來的時候,有白色的馬、有紅色的馬
[00:02:10.360 --> 00:02:12.760]  有黑色的馬、有灰色的馬
[00:02:12.760 --> 00:02:14.280]  陸陸續續地飛出來
[00:02:14.280 --> 00:02:16.080]  我相信大家也不會想到
[00:02:16.080 --> 00:02:23.000]  或者相信當時歷史將會有真的在天空的雲飛一匹馬出來
[00:02:23.000 --> 00:02:26.080]  大家很自然會用一個象徵式的解釋
[00:02:26.080 --> 00:02:28.280]  白色代表福音的騙傳
[00:02:28.280 --> 00:02:29.920]  黑色代表死亡
[00:02:29.920 --> 00:02:31.920]  紅色代表戰爭的血
[00:02:31.920 --> 00:02:34.880]  這就是象徵式的表達
[00:02:34.880 --> 00:02:39.200]  無可厚非,也是很合理自然的解釋
[00:02:39.200 --> 00:02:43.720]  但是我也相信在啟示錄裡面也有字面的表達
[00:02:43.720 --> 00:02:46.320]  因為其實約翰也很困難的
[00:02:46.320 --> 00:02:50.000]  他看到將來的事情,在天上的角度看的時候
[00:02:50.000 --> 00:02:52.480]  他看到的事情,他不知道怎麼去描述
[00:02:52.480 --> 00:02:54.480]  他也不知道怎麼去寫給你聽
[00:02:54.480 --> 00:02:58.680]  因為他當時也沒有這些描述的表達的字眼
[00:02:58.680 --> 00:03:02.920]  譬如我們可以看到第九章那裡說到
[00:03:02.920 --> 00:03:05.760]  那個表達的方式
[00:03:05.760 --> 00:03:11.720]  第九章說到將來約翰所看到的戰爭的場面
[00:03:11.720 --> 00:03:16.840]  將來見到的戰爭場面,他說地上有很多無底坑打開了
[00:03:16.840 --> 00:03:21.440]  煙有些火流黃噴上來,然後有些蝗蟲在裡面飛出來
[00:03:21.440 --> 00:03:24.680]  可以殺死很多人,我想他在說飛彈
[00:03:24.680 --> 00:03:26.280]  (笑聲)
[00:03:26.280 --> 00:03:27.560]  是不是?
[00:03:27.560 --> 00:03:29.840]  他沒有飛彈這個字眼
[00:03:29.840 --> 00:03:31.840]  我們很明白,我們很容易接受
[00:03:31.840 --> 00:03:34.160]  二千年前他怎麼說的呢?
[00:03:34.160 --> 00:03:38.320]  他唯有告訴你飛出來的蝗蟲可以殺很多人
[00:03:38.320 --> 00:03:40.960]  他說有蝗蟲在空中飛
