
[00:00:00.000 --> 00:00:06.000]  天父,我們感謝您在繁忙的生活裡面
[00:00:06.000 --> 00:00:12.000]  您賜給我們這個安靜的時間來領受您的話語
[00:00:12.000 --> 00:00:16.000]  謝謝您把七十路賜給我們
[00:00:16.000 --> 00:00:20.000]  使我們知道將來必成的事
[00:00:20.000 --> 00:00:26.000]  讓我們能夠警醒預備迎接主的再來
[00:00:26.000 --> 00:00:34.000]  求主這個時候借著七十路的內容來教導我們
[00:00:34.000 --> 00:00:36.000]  裝備我們
[00:00:36.000 --> 00:00:40.000]  幫助我們知道如何的預備
[00:00:40.000 --> 00:00:45.000]  如何的藉著傳播音等候您的再來
[00:00:45.000 --> 00:00:49.000]  求您這個時間與我們同在
[00:00:49.000 --> 00:00:57.000]  使我們每一個人都從您的話語裡面有所領受得著
[00:00:57.000 --> 00:01:00.000]  求主祝福這個時間
[00:01:00.000 --> 00:01:04.000]  幫助我們每一個人用安靜的心
[00:01:04.000 --> 00:01:09.000]  謙卑的心和和睦的心來一同領受
[00:01:09.000 --> 00:01:12.000]  我們這樣的仰望教託
[00:01:12.000 --> 00:01:14.000]  奉祝耶穌基督的名
[00:01:14.000 --> 00:01:16.000]  阿們
[00:01:18.000 --> 00:01:25.000]  我們看過肖亞西亞當時的七堅教會
[00:01:25.000 --> 00:01:27.000]  七十路告訴我們
[00:01:27.000 --> 00:01:32.000]  那七堅教會是一個奧秘
[00:01:32.000 --> 00:01:36.000]  為什麼說是奧秘呢
[00:01:36.000 --> 00:01:41.000]  第一因為七堅教會有代表性
[00:01:41.000 --> 00:01:45.000]  代表歷史歷代的教會
[00:01:45.000 --> 00:01:48.000]  那七堅教會的需要
[00:01:48.000 --> 00:01:53.000]  也就是歷史歷代宗教會的需要
[00:01:53.000 --> 00:01:57.000]  也是我們今天教會的需要
[00:01:57.000 --> 00:02:01.000]  祝對那七堅教會的心意
[00:02:01.000 --> 00:02:05.000]  也就是他對宗教會的心意
[00:02:05.000 --> 00:02:08.000]  讓我們能夠體會
[00:02:08.000 --> 00:02:13.000]  讓我們能夠知道今天我們自己的需要在哪裡
[00:02:13.000 --> 00:02:15.000]  第二
[00:02:15.000 --> 00:02:18.000]  有的學者 聖經的學者
[00:02:18.000 --> 00:02:22.000]  認為這七堅的教會
[00:02:22.000 --> 00:02:29.000]  也代表教會歷史裡面七個時代的情況
[00:02:29.000 --> 00:02:34.000]  雖然我們不能夠絕對的確定是如此
[00:02:34.000 --> 00:02:39.000]  但是有相當明顯的理由
[00:02:39.000 --> 00:02:44.000]  來支持這種的解釋和看法
[00:02:44.000 --> 00:02:52.000]  我個人是覺得這種的看法有相當的理由
[00:02:52.000 --> 00:02:58.000]  我們現在一同看第九頁
[00:02:58.000 --> 00:03:01.000]  E的第四
[00:03:01.000 --> 00:03:04.000]  AVC E的第四頁
[00:03:04.000 --> 00:03:08.000]  在這裡把七個教會的情形
[00:03:08.000 --> 00:03:13.000]  和教會歷史裡面七個時代做一個對比
[00:03:13.000 --> 00:03:17.000]  讓我們來看一看是不是有理由
[00:03:17.000 --> 00:03:22.000]  讓我們接受這一個看法
[00:03:22.000 --> 00:03:24.000]  第一個時代
[00:03:24.000 --> 00:03:26.000]  依附所的教會
[00:03:26.000 --> 00:03:30.000]  這是第一個教會被提到
[00:03:30.000 --> 00:03:37.000]  也正好是代表教會歷史的第一個時代
[00:03:37.000 --> 00:03:41.000]  在這個時代裡頭
[00:03:41.000 --> 00:03:44.000]  依附所的教會
[00:03:44.000 --> 00:03:48.000]  慰助勞苦 信仰純正
[00:03:48.000 --> 00:03:51.000]  而且特別提到使徒
[00:03:51.000 --> 00:03:57.000]  別的六堅教會都沒有提使徒
[00:03:57.000 --> 00:04:02.000]  唯獨第一堅教會 依附所的教會提到使徒
[00:04:02.000 --> 00:04:07.000]  所以用這個教會來代表使徒時代
[00:04:07.000 --> 00:04:10.000]  是相當的適合
[00:04:10.000 --> 00:04:12.000]  使徒時代的教會
[00:04:12.000 --> 00:04:16.000]  也實在是信仰純正的教會
[00:04:16.000 --> 00:04:20.000]  因為他們是聽過主自己講道
[00:04:20.000 --> 00:04:23.000]  也聽過使徒講
[00:04:23.000 --> 00:04:29.000]  在信仰純正的使徒的帶領之下
[00:04:29.000 --> 00:04:33.000]  他們有純正的信仰
[00:04:33.000 --> 00:04:37.000]  第二個教會 施梅拿的教會
[00:04:37.000 --> 00:04:43.000]  施梅拿這個名字是墨藥
[00:04:43.000 --> 00:04:46.000]  是一種香料
[00:04:46.000 --> 00:04:52.000]  在被火燒的時候發出香氣
[00:04:52.000 --> 00:04:56.000]  是代表教會受苦
[00:04:56.000 --> 00:05:03.000]  這個教會的名字和教會這封書信的內容
[00:05:03.000 --> 00:05:10.000]  很適合教會受大逼迫的那段時間
[00:05:10.000 --> 00:05:13.000]  有兩三個世紀之久
[00:05:13.000 --> 00:05:17.000]  教會受大逼迫
[00:05:17.000 --> 00:05:20.000]  在這封書信裡頭提到
[00:05:20.000 --> 00:05:23.000]  受患難十日
[00:05:23.000 --> 00:05:28.000]  這個數字我們一看就感覺
[00:05:28.000 --> 00:05:32.000]  是有象徵性的意義在裡頭
[00:05:32.000 --> 00:05:35.000]  講經性的意義在裡頭
[00:05:35.000 --> 00:05:37.000]  為什麼呢
[00:05:37.000 --> 00:05:40.000]  因為十天的逼迫
[00:05:40.000 --> 00:05:42.000]  一下子就過去了
[00:05:42.000 --> 00:05:47.000]  十天很短很快就過去
[00:05:47.000 --> 00:05:52.000]  如果一個教會要受十天的難處壓制
[00:05:52.000 --> 00:05:53.000]  迫害
[00:05:53.000 --> 00:05:56.000]  我想他們不會太擔心太懼怕
[00:05:56.000 --> 00:06:00.000]  那麼短的時間一會兒就過去了
[00:06:00.000 --> 00:06:03.000]  所以這個十天很明顯
[00:06:03.000 --> 00:06:08.000]  不是按字面的意義來解釋
[00:06:08.000 --> 00:06:12.000]  有的聖經的學者認為
[00:06:12.000 --> 00:06:16.000]  這個十天可以代表
[00:06:16.000 --> 00:06:23.000]  教會歷史裡面的十次的大迫害
[00:06:23.000 --> 00:06:26.000]  就是在師徒時代以後
[00:06:26.000 --> 00:06:32.000]  從保羅在諸侯第一世紀六十年代
[00:06:32.000 --> 00:06:36.000]  被斬首殉道開始
[00:06:36.000 --> 00:06:42.000]  一連有二百五十年左右的迫害
[00:06:42.000 --> 00:06:50.000]  而且其中可以很明顯的分作十次的大迫害
[00:06:50.000 --> 00:06:52.000]  所以第二封書信
[00:06:52.000 --> 00:06:55.000]  給師妹娜教會的書信提到的
[00:06:55.000 --> 00:06:58.000]  十天的迫害
[00:06:58.000 --> 00:07:03.000]  剛好對應那個教會歷史史記裡面的
[00:07:03.000 --> 00:07:06.000]  十次的大迫害
[00:07:06.000 --> 00:07:12.000]  這種的負荷也是很值得我們注意的
[00:07:12.000 --> 00:07:17.000]  同時師妹娜的教會在這封書信裡說
[00:07:17.000 --> 00:07:21.000]  他們物質上是貧窮的
[00:07:21.000 --> 00:07:25.000]  但是靈性上是豐富的
[00:07:25.000 --> 00:07:32.000]  這也是很符合這個教會歷史的時代的情況
[00:07:32.000 --> 00:07:34.000]  基督徒受迫害
[00:07:34.000 --> 00:07:40.000]  他們的家產常常被奪去被充公
[00:07:40.000 --> 00:07:45.000]  他們流浪漂流失所
[00:07:45.000 --> 00:07:50.000]  他們的情況實在是物質上貧窮的
[00:07:50.000 --> 00:07:54.000]  但是我們讀教會歷史
[00:07:54.000 --> 00:07:58.000]  深深的感受到他們的靈性
[00:07:58.000 --> 00:08:02.000]  卻是非常堅強非常的富足
[00:08:02.000 --> 00:08:08.000]  他們是站立的住為主座見證
[00:08:08.000 --> 00:08:12.000]  傳福音得勝的基督徒
[00:08:12.000 --> 00:08:18.000]  所以很符合教會歷史的這個時代的實際情況
[00:08:18.000 --> 00:08:20.000]  第三個教會
[00:08:20.000 --> 00:08:21.000]  別加摩
[00:08:21.000 --> 00:08:27.000]  在這封書信裡頭提到他們是既偶像的物
[00:08:27.000 --> 00:08:30.000]  和形兼應的事
[00:08:30.000 --> 00:08:32.000]  那麼這兩件事呢
[00:08:32.000 --> 00:08:34.000]  我們從兩個角度來看
[00:08:34.000 --> 00:08:39.000]  第一個角度是當時實際的情況
[00:08:39.000 --> 00:08:41.000]  第二個角度是
[00:08:41.000 --> 00:08:44.000]  它所代表的教會歷史的裡面
[00:08:44.000 --> 00:08:48.000]  那一個時代的情況
[00:08:48.000 --> 00:08:52.000]  這兩個角度都是很真實的
[00:08:52.000 --> 00:08:57.000]  你看從當時的情況的角度來看
[00:08:57.000 --> 00:09:03.000]  在別加摩城裡有第一座的皇帝廟
[00:09:03.000 --> 00:09:10.000]  羅馬皇帝受白信的敬拜
[00:09:10.000 --> 00:09:15.000]  把他當作神來敬拜
[00:09:15.000 --> 00:09:18.000]  有四個大的神廟
[00:09:18.000 --> 00:09:21.000]  是一般的宗教
[00:09:21.000 --> 00:09:24.000]  所謂希臘的宗教的神廟
[00:09:24.000 --> 00:09:26.000]  所以有皇帝廟
[00:09:26.000 --> 00:09:29.000]  另外有四個其他的神廟
[00:09:29.000 --> 00:09:32.000]  在每年的宗教節氣裡面
[00:09:32.000 --> 00:09:35.000]  在這四個大的神廟裡面
[00:09:35.000 --> 00:09:38.000]  一般的居民在廟中
[00:09:38.000 --> 00:09:41.000]  縱慾行淫
[00:09:41.000 --> 00:09:47.000]  這是歷史很清楚的記載給我們看的
[00:09:47.000 --> 00:09:49.000]  那麼第二個角度呢
[00:09:49.000 --> 00:09:51.000]  就是在教會歷史裡面
[00:09:51.000 --> 00:09:54.000]  第四世紀到第八世紀
[00:09:54.000 --> 00:09:58.000]  這個一段時間裡頭
[00:09:58.000 --> 00:10:01.000]  因為政教合一了
[00:10:01.000 --> 00:10:08.000]  就是基督教變成羅馬帝國的國教
[00:10:08.000 --> 00:10:11.000]  因此教會在政治上
[00:10:11.000 --> 00:10:15.000]  在社會上就有很高的地位
[00:10:15.000 --> 00:10:20.000]  就和政府裡面的人員就聯合起來了
[00:10:20.000 --> 00:10:23.000]  政教合一
[00:10:23.000 --> 00:10:29.000]  這樣教會裡面一有了政治的作風
[00:10:29.000 --> 00:10:32.000]  裡面有了地位
[00:10:32.000 --> 00:10:36.000]  有了做官的人
[00:10:36.000 --> 00:10:40.000]  就開始有靈性的復化
[00:10:40.000 --> 00:10:48.000]  開始和世界脫險
