
[00:00:00.000 --> 00:00:05.240]  生命當中有好消息和不好的消息
[00:00:05.240 --> 00:00:06.880]  不知道有沒有聽過
[00:00:06.880 --> 00:00:08.680]  有人說我有兩件事要告訴你
[00:00:08.680 --> 00:00:10.280]  一個是不好的消息
[00:00:10.280 --> 00:00:11.080]  一個是好消息
[00:00:11.080 --> 00:00:13.080]  通常你會先聽哪一件事
[00:00:13.080 --> 00:00:13.920]  (沒有)
[00:00:13.920 --> 00:00:17.280]  那我先說一件不好的消息給大家聽
[00:00:17.280 --> 00:00:23.600]  前幾天我們教育會有好幾位肢體染疫
[00:00:23.600 --> 00:00:27.720]  我們執事會知道之後
[00:00:27.720 --> 00:00:30.920]  我們請了一個不好的消息
[00:00:30.920 --> 00:00:32.280]  染疫就好
[00:00:32.280 --> 00:00:34.280]  因為也是在教會出現過的
[00:00:34.280 --> 00:00:35.040]  就不是
[00:00:35.040 --> 00:00:40.120]  所以星期五我一個人留守教會
[00:00:40.120 --> 00:00:41.840]  一個人叫所有人不要回來
[00:00:41.840 --> 00:00:44.280]  風險管理
[00:00:44.280 --> 00:00:45.560]  我一個人留守教會
[00:00:45.560 --> 00:00:49.880]  請了一個消毒公司來當中
[00:00:49.880 --> 00:00:51.360]  全程的消毒
[00:00:51.360 --> 00:00:52.840]  這是非常好的消息
[00:00:52.840 --> 00:00:54.840]  所以大家現在是很安全的
[00:00:54.840 --> 00:00:56.840]  我相信這麼多年以來
[00:00:56.840 --> 00:00:59.840]  教會是沒有這麼清新
[00:00:59.840 --> 00:01:02.560]  沒有這麼潔淨的
[00:01:02.560 --> 00:01:04.240]  所以大家很安心
[00:01:04.240 --> 00:01:06.240]  浴坊也很辛勞
[00:01:06.240 --> 00:01:07.840]  消毒完之後
[00:01:07.840 --> 00:01:09.520]  洗了杯碗
[00:01:09.520 --> 00:01:10.720]  抹了東西
[00:01:10.720 --> 00:01:13.120]  大家很安心崇拜
[00:01:13.120 --> 00:01:16.920]  說到好消息和壞消息
[00:01:16.920 --> 00:01:17.880]  教會也是
[00:01:17.880 --> 00:01:20.400]  教會也有好消息和壞消息
[00:01:20.400 --> 00:01:23.080]  教會的成長
[00:01:23.080 --> 00:01:25.280]  健康的運作也是
[00:01:25.720 --> 00:01:27.640]  我先說不好的消息
[00:01:27.640 --> 00:01:31.240]  教會的發展
[00:01:31.240 --> 00:01:33.240]  最不好的消息是什麼呢
[00:01:33.240 --> 00:01:39.760]  就不是來自於教會以外的一些因素
[00:01:39.760 --> 00:01:41.760]  不是政治因素
[00:01:41.760 --> 00:01:45.360]  也不是社會的氣候環境
[00:01:45.360 --> 00:01:52.200]  也不是屬於人們的基督
[00:01:52.200 --> 00:01:53.920]  或者是敵黨真理
[00:01:53.920 --> 00:01:55.360]  不是這些因素
[00:01:56.360 --> 00:02:00.160]  教會是否能夠成長
[00:02:00.160 --> 00:02:02.160]  是否能夠好好的發展
[00:02:02.160 --> 00:02:04.160]  是在教會內部
[00:02:04.160 --> 00:02:07.160]  或者說得更差一點
[00:02:07.160 --> 00:02:08.360]  最不好的消息是什麼呢
[00:02:08.360 --> 00:02:10.360]  是在你裡面
[00:02:10.360 --> 00:02:12.760]  是在你裡面
[00:02:12.760 --> 00:02:18.960]  是你和我構成教會不能夠好好的成長和發展
[00:02:18.960 --> 00:02:22.160]  因為我們每個人都有罪
[00:02:22.160 --> 00:02:24.560]  我們每個人都有罪
[00:02:25.160 --> 00:02:28.960]  內在的罪成為我們構成的
[00:02:28.960 --> 00:02:31.360]  影響著教會健康的發展
[00:02:31.360 --> 00:02:34.160]  所以我們最大的敵人
[00:02:34.160 --> 00:02:37.560]  或者說最大的威脅
[00:02:37.560 --> 00:02:39.960]  是自己裡面的罪
[00:02:39.960 --> 00:02:41.360]  不過有一個好消息
[00:02:41.360 --> 00:02:42.960]  好消息是什麼呢
[00:02:42.960 --> 00:02:44.160]  就是今天經文
[00:02:44.160 --> 00:02:47.760]  這個罪的處理是有出路的
[00:02:47.760 --> 00:02:51.360]  聖經給了我們一個很明確的出路
[00:02:51.360 --> 00:02:53.960]  讓我們靠著這個出路
[00:02:53.960 --> 00:02:55.760]  幫助我們個人生命成長
[00:02:55.760 --> 00:03:00.160]  帶動整間教會的健康正常發展
[00:03:00.160 --> 00:03:02.360]  去宣揚榮耀主的名
[00:03:02.360 --> 00:03:03.360]  好不好
[00:03:03.360 --> 00:03:08.560]  我們一季十至十二月會講約翰一書
[00:03:08.560 --> 00:03:10.760]  特別選這個課題
[00:03:10.760 --> 00:03:12.160]  因為約翰一書是講
[00:03:12.160 --> 00:03:15.760]  我們如何成為一個真正的耶穌基督的門徒
[00:03:15.760 --> 00:03:19.960]  在當中我們如何能夠活出主的樣式
[00:03:19.960 --> 00:03:21.560]  勝過罪惡
[00:03:21.560 --> 00:03:24.760]  並且在日常生活當中行出主的心意
[00:03:24.760 --> 00:03:29.560]  使徒約翰寫約翰一書的時候
[00:03:29.560 --> 00:03:31.160]  已經是年老的
[00:03:31.160 --> 00:03:34.360]  大家如果看過不同的著色書都知道
[00:03:34.360 --> 00:03:35.160]  是年老的
[00:03:35.160 --> 00:03:39.760]  差不多跟寫啟示錄的年代差不多
[00:03:39.760 --> 00:03:40.960]  在北魔島上
[00:03:40.960 --> 00:03:45.960]  他臨終的時候就寫了這篇約翰一書
[00:03:45.960 --> 00:03:50.760]  主要是針對當時亞細亞地區
[00:03:50.760 --> 00:03:54.160]  也是土耳其地區的一個哲學思想
[00:03:54.160 --> 00:03:56.760]  就是洛斯底主義
[00:03:56.760 --> 00:03:59.360]  又或者幻影學說
[00:03:59.360 --> 00:04:02.160]  這個學說真的很複雜
[00:04:02.160 --> 00:04:06.760]  Ling Bee 和 Sharon 都帶了一次課題
[00:04:06.760 --> 00:04:07.760]  講約翰一書
[00:04:07.760 --> 00:04:09.760]  很多的要點
[00:04:09.760 --> 00:04:13.160]  我最簡單的告訴大家
[00:04:13.160 --> 00:04:14.560]  洛斯底主義是講什麼的
[00:04:15.160 --> 00:04:17.560]  就是屬世的東西
[00:04:17.560 --> 00:04:19.160]  物質的東西是邪惡的
[00:04:19.160 --> 00:04:21.760]  唯有屬靈的東西才是美善的
[00:04:21.760 --> 00:04:24.960]  所以耶穌基督到成肉身
[00:04:24.960 --> 00:04:28.760]  活在世上的耶穌是不好的
[00:04:28.760 --> 00:04:32.160]  為什麼他能夠有這麼多行蹤
[00:04:32.160 --> 00:04:33.160]  這麼多神蹟騎士
[00:04:33.160 --> 00:04:35.160]  就因為他在世的時候
[00:04:35.160 --> 00:04:36.560]  有聖靈淋在他身上
[00:04:36.560 --> 00:04:38.560]  但是他釘十字架的時候
[00:04:38.560 --> 00:04:41.960]  聖靈的能力就離開了他
[00:04:42.560 --> 00:04:46.160]  以致敗壞的身體就完結了
[00:04:46.160 --> 00:04:52.160]  這就是當時很盛行的洛斯底主義思想
[00:04:52.160 --> 00:04:55.760]  而且洛斯底主義注重的不是信心
[00:04:55.760 --> 00:04:58.160]  也不是講行為
[00:04:58.160 --> 00:04:59.160]  而是講知識
[00:04:59.160 --> 00:05:03.160]  所以你要達到一個美善的境界
[00:05:03.160 --> 00:05:04.760]  你要知道很多東西
[00:05:04.760 --> 00:05:06.760]  希臘的哲學思想
[00:05:06.760 --> 00:05:09.960]  當時的一些文化等等
[00:05:11.360 --> 00:05:15.360]  從這個思潮出道
[00:05:15.360 --> 00:05:16.360]  你可以知道
