
[00:00:00.000 --> 00:00:01.920]  有一次我去到一間書局
[00:00:01.920 --> 00:00:04.640]  在書局隨意地看書
[00:00:04.640 --> 00:00:06.320]  發現他有一張海報
[00:00:06.320 --> 00:00:09.040]  海報上有很多書疊高
[00:00:09.040 --> 00:00:11.560]  一張圖畫的海報
[00:00:11.560 --> 00:00:14.400]  他講述到在不同的年代
[00:00:14.400 --> 00:00:17.320]  人的渴慕是不同的
[00:00:17.320 --> 00:00:20.760]  從不同當時流行的書本可以反映出
[00:00:20.760 --> 00:00:25.280]  當時的年代重點的尋索是甚麼
[00:00:25.280 --> 00:00:27.600]  他講到例如在七十年代
[00:00:27.600 --> 00:00:31.520]  很多人不斷有很多生命的反思
[00:00:31.520 --> 00:00:36.200]  到了八十年代時就強調追求精神生活
[00:00:36.200 --> 00:00:38.000]  物質不能滿足人
[00:00:38.000 --> 00:00:41.800]  因此很多書本講關於精神生活的滿足
[00:00:41.800 --> 00:00:43.720]  到了九十年代就提及
[00:00:43.720 --> 00:00:46.640]  這個時代他們開始體會到
[00:00:46.640 --> 00:00:49.280]  個體價值的重要性
[00:00:49.280 --> 00:00:50.600]  individualism
[00:00:50.600 --> 00:00:53.800]  開始強調人有個體性的價值
[00:00:53.800 --> 00:00:56.960]  不單止有整體政治的價值
[00:00:56.960 --> 00:00:58.360]  到了二十一世紀
[00:00:58.360 --> 00:01:00.560]  我留意到最後的時候
[00:01:00.560 --> 00:01:03.680]  究竟甚麼代表二十一世紀呢?
[00:01:03.680 --> 00:01:07.040]  有四個字令我啼笑皆非
[00:01:07.040 --> 00:01:12.400]  這四個字就是娛樂至死
[00:01:12.400 --> 00:01:14.760]  這個世代太多人尋求的
[00:01:14.760 --> 00:01:19.280]  未必是甚麼哲理、個人主義或其他享受
[00:01:19.280 --> 00:01:21.960]  最重要的就是娛樂
[00:01:21.960 --> 00:01:24.240]  甚至至死
[00:01:24.240 --> 00:01:26.240]  大家會知道
[00:01:26.240 --> 00:01:29.080]  在世界上,特別是一些發達國家
[00:01:29.080 --> 00:01:32.360]  娛樂事業是蓬勃發展的
[00:01:32.360 --> 00:01:36.600]  是數億元、數十億元的生意
[00:01:36.600 --> 00:01:39.760]  因此不斷有很多人告訴你很忙很忙
[00:01:39.760 --> 00:01:43.400]  但同時他有很多時間會放在娛樂上
[00:01:43.400 --> 00:01:46.120]  當然人的內心很想尋求快樂
[00:01:46.120 --> 00:01:49.560]  甚麼是真正的快樂呢?
[00:01:49.560 --> 00:01:50.840]  當我們讀聖經的時候
[00:01:50.840 --> 00:01:54.000]  聖經很直接、很坦誠地說
[00:01:54.000 --> 00:01:58.200]  「我有神的道,叫人真正的快樂」
[00:01:58.200 --> 00:02:03.240]  我們快樂的源頭來自聖經神的道
[00:02:03.240 --> 00:02:06.240]  所以你讀到詩篇,特別是一百一十九篇的時候
[00:02:06.240 --> 00:02:08.280]  聖經上講到,詩人就說
[00:02:08.280 --> 00:02:14.360]  「我喜悅你的道路,過於一切世上的財寶」
[00:02:14.360 --> 00:02:20.360]  「我在你的律例當中自樂,以致我不忘記你的道」
[00:02:20.360 --> 00:02:24.920]  很多時候提到神的話,和喜樂的關係
[00:02:24.920 --> 00:02:28.480]  有些人有自己最喜歡的娛樂
[00:02:28.480 --> 00:02:30.440]  或者樂趣
[00:02:30.440 --> 00:02:34.200]  有些姐妹告訴我,最喜歡的是做蛋糕
[00:02:34.200 --> 00:02:37.080]  如果能夠成功做出一個漂亮的蛋糕
[00:02:37.080 --> 00:02:41.440]  很開心的,感受很滿足的
[00:02:41.440 --> 00:02:45.560]  有些時候我們會透過某些事情尋求滿足
[00:02:45.560 --> 00:02:51.680]  但詩人就說,當我去明白神的道的時候
[00:02:51.680 --> 00:02:53.680]  我的心就快樂
[00:02:53.680 --> 00:02:56.440]  以致我在你的律例當中自樂
[00:02:56.440 --> 00:02:59.440]  我不會忘記你的說話
[00:02:59.440 --> 00:03:01.640]  當我們這樣去理解的時候,就會明白
[00:03:01.640 --> 00:03:04.280]  讀聖經不是一些苦差
[00:03:04.280 --> 00:03:06.320]  要逼自己做的事情
[00:03:06.320 --> 00:03:08.880]  而是幫自己如何能夠在當中
[00:03:08.880 --> 00:03:12.800]  去享受到聖經給你生命的滿足
[00:03:12.800 --> 00:03:16.360]  而在當中不斷不斷地讓那種喜樂
[00:03:16.360 --> 00:03:20.680]  成為你生命的動力或者說能力
[00:03:20.680 --> 00:03:24.400]  去做你自己每一天要做的事情
[00:03:24.400 --> 00:03:25.880]  因此我們回到聖經的時候
[00:03:25.880 --> 00:03:27.120]  從這個角度去思想
[00:03:27.120 --> 00:03:31.880]  尼西米第八章就會更深切地明白
[00:03:31.880 --> 00:03:33.800]  在第八章一開始的時候提到
[00:03:33.800 --> 00:03:36.080]  當時尼西米建造城牆
[00:03:36.080 --> 00:03:40.800]  和百姓已經一起完成了城牆的工程
[00:03:40.800 --> 00:03:42.320]  過了大概一個星期
[00:03:42.320 --> 00:03:46.600]  他就邀請了經學家以斯拉做一件事
[00:03:46.600 --> 00:03:47.880]  做什麼事情呢?
[00:03:47.880 --> 00:03:51.840]  是召集全部猶太人聚集在廣場上
[00:03:51.840 --> 00:03:57.040]  一起去聽律法書的說話
[00:03:57.040 --> 00:04:01.120]  大家看看第八章第一節
[00:04:01.120 --> 00:04:02.960]  「到你七月以斯利人都在
[00:04:02.960 --> 00:04:05.680]  住在自己的城裡
[00:04:05.680 --> 00:04:07.360]  那時眾民如同一人
[00:04:07.360 --> 00:04:10.520]  在水門前的廣場聚集
[00:04:10.520 --> 00:04:12.520]  請經學家以斯拉把耶和華
[00:04:12.520 --> 00:04:14.640]  籍摩西命令以色列人
[00:04:14.640 --> 00:04:17.520]  遵守的律法書帶來」
[00:04:17.520 --> 00:04:20.960]  然後他們就向所有男女
[00:04:20.960 --> 00:04:23.520]  包括一切年少年幼
[00:04:23.520 --> 00:04:25.920]  但是聽了能夠明白的
[00:04:25.920 --> 00:04:29.480]  各個猶太人一起來說
[00:04:29.480 --> 00:04:30.880]  各位電視姊妹
[00:04:30.880 --> 00:04:32.600]  你會留意到
[00:04:32.600 --> 00:04:37.000]  尼西米他不會滿足於建造城牆
[00:04:37.000 --> 00:04:41.160]  他更加知道要建造人心靈的城牆
[00:04:41.160 --> 00:04:44.560]  要重新毀身於神的道
[00:04:44.560 --> 00:04:47.280]  要重新毀身於神
[00:04:47.280 --> 00:04:51.160]  是他很清楚知道要做的事情
[00:04:51.160 --> 00:04:55.560]  如果神給你有環境的保障
[00:04:55.560 --> 00:04:57.440]  你要感謝上帝
[00:04:57.440 --> 00:05:00.840]  但是環境不會給你真正的保障
[00:05:00.840 --> 00:05:03.320]  真正的保障是你心靈裡面
[00:05:03.320 --> 00:05:06.000]  神的道帶給你的保障
[00:05:06.000 --> 00:05:08.960]  因此建立心靈的城牆
[00:05:08.960 --> 00:05:12.400]  是你可以有的追求
[00:05:12.400 --> 00:05:15.080]  而當時的尼西米就很清楚知道
[00:05:15.080 --> 00:05:18.160]  要帶領百姓再次來到神的面前
