
[00:00:00.000 --> 00:00:03.440]  有聖經,沒有powerpoint就打開聖經了
[00:00:03.440 --> 00:00:07.200]  原本我昨天花了很多時間
[00:00:07.200 --> 00:00:08.820]  做一個很好的powerpoint
[00:00:08.820 --> 00:00:12.280]  不要緊,神的心意高過我們的心意
[00:00:12.280 --> 00:00:15.900]  唯有看著我講一章講
[00:00:15.900 --> 00:00:19.780]  那就是《屬靈恩賜》
[00:00:19.780 --> 00:00:23.580]  這章三節八節肯定是講述屬靈恩賜的
[00:00:23.580 --> 00:00:28.920]  因為有很多經文講了裡面有關恩賜的經文
[00:00:28.920 --> 00:00:33.320]  恩賜不單止是在羅馬書十二章講的
[00:00:33.320 --> 00:00:36.660]  比起前書四章,以弗所書四章
[00:00:36.660 --> 00:00:39.680]  甚至我稍後會引用很多經文
[00:00:39.680 --> 00:00:42.660]  前書第十二章都有講恩賜的
[00:00:42.660 --> 00:00:47.380]  在這些恩賜當中,保羅給我們六個大點要注意
[00:00:47.380 --> 00:00:48.240]  有關恩賜的
[00:00:48.240 --> 00:00:53.400]  第一,每一個凡是相信跟從耶穌基督的人
[00:00:53.400 --> 00:00:56.120]  都有恩賜的,每一個都有
[00:00:56.120 --> 00:01:00.720]  妹妹,你有屬靈恩賜嗎?
[00:01:00.720 --> 00:01:05.740]  可以點頭的,點頭就當你點頭了
[00:01:05.740 --> 00:01:07.740]  一百歲的婆婆都有恩賜的
[00:01:07.740 --> 00:01:09.460]  每一個都有屬靈恩賜的
[00:01:09.460 --> 00:01:11.200]  凡是相信耶穌基督的人
[00:01:11.200 --> 00:01:14.520]  因為在《光陰多情書》十二章第八節講
[00:01:14.520 --> 00:01:17.900]  「這人蒙聖靈,次他有不同的恩賜
[00:01:17.900 --> 00:01:20.260]  隨己以分級各人」
[00:01:20.260 --> 00:01:21.900]  每一個人都有恩賜的
[00:01:21.900 --> 00:01:28.660]  第二,這個恩賜肯定是聖靈賜給我們的
[00:01:28.660 --> 00:01:30.660]  是超自然的工作
[00:01:30.660 --> 00:01:32.660]  是人不可以製造的
[00:01:32.660 --> 00:01:34.300]  亦不可以賺取的
[00:01:34.300 --> 00:01:35.800]  更加不可以購買的
[00:01:35.800 --> 00:01:39.940]  是上帝給我們的恩賜,是一份禮物
[00:01:39.940 --> 00:01:43.100]  第二,每一個恩賜都要用的
[00:01:43.100 --> 00:01:45.240]  神給的恩賜都要用的
[00:01:45.240 --> 00:01:47.720]  在臨前十二章第四到第六節
[00:01:47.720 --> 00:01:52.600]  祂說要在眾人運行一切的事
[00:01:52.600 --> 00:01:55.060]  記不記得在《馬達荒》第二十五章
[00:01:55.060 --> 00:01:56.800]  有一個比喻
[00:01:56.800 --> 00:01:59.020]  有一個主人去遠方
[00:01:59.020 --> 00:02:00.520]  受託那三個僕人
[00:02:00.520 --> 00:02:03.980]  一個五千、二千、一千
[00:02:03.980 --> 00:02:10.000]  主人都是期望他們拿了一些資源去運用
[00:02:10.000 --> 00:02:13.000]  成為忠心又良善的僕人
[00:02:13.000 --> 00:02:14.840]  不要做又惡又冷的僕人
[00:02:14.840 --> 00:02:18.040]  有恩賜你不用,那就很應盡了
[00:02:18.040 --> 00:02:21.880]  第三,恩賜有很多種
[00:02:21.880 --> 00:02:25.520]  在第六、第八節可以列舉七種恩賜
[00:02:25.520 --> 00:02:28.400]  每個恩賜的功能不同
[00:02:28.400 --> 00:02:30.760]  有些是在公開的場合使用
[00:02:30.760 --> 00:02:33.560]  有些是私下環境的
[00:02:33.560 --> 00:02:36.880]  有些是群體性的,有些是個別性的
[00:02:36.880 --> 00:02:39.320]  但是都要運用的
[00:02:39.320 --> 00:02:40.640]  有很多種形式
[00:02:40.640 --> 00:02:44.600]  第四,這些恩賜運用是為了對方的好處
[00:02:44.600 --> 00:02:46.000]  造就聖徒
[00:02:46.000 --> 00:02:49.720]  在臨前十二章第七節是要叫人得益處的
[00:02:49.720 --> 00:02:53.440]  十四章十二節要造就教會的
[00:02:53.440 --> 00:02:56.000]  運用恩賜成為別人的祝福
[00:02:56.000 --> 00:03:00.000]  學習施比受更為有福的真理
[00:03:00.000 --> 00:03:03.200]  這是一個很獨特的恩賜
[00:03:03.200 --> 00:03:04.800]  不是舉為己有的
[00:03:04.800 --> 00:03:07.320]  是要不斷運用、分享的
[00:03:07.320 --> 00:03:09.480]  成為身邊的人的祝福
