
[00:00:00.000 --> 00:00:16.200]  感謝神每次能夠到神的家中和弟兄姊妹一齊敬拜都是恩典來的
[00:00:16.200 --> 00:00:19.800]  我想到很久之前曾經寫了一篇文章
[00:00:19.800 --> 00:00:21.900]  說到在冬天的時候
[00:00:21.900 --> 00:00:25.100]  我自己的手很多時候都會冷
[00:00:25.100 --> 00:00:27.300]  所以崇拜之後和弟兄姊妹握手
[00:00:27.300 --> 00:00:30.400]  我不太好意思伸手出來
[00:00:30.400 --> 00:00:32.100]  因為她一摸我的手就說
[00:00:32.100 --> 00:00:34.800]  嘩 你怎麼這麼冷
[00:00:34.800 --> 00:00:38.000]  但後來有弟兄姊妹就鼓勵我握手
[00:00:38.000 --> 00:00:40.600]  我就握了
[00:00:40.600 --> 00:00:41.800]  握了一段時間之後
[00:00:41.800 --> 00:00:44.800]  突然間發覺有弟兄姊妹跟我說
[00:00:44.800 --> 00:00:48.400]  施牧師你的手很暖
[00:00:48.400 --> 00:00:50.000]  她就馬上說
[00:00:50.000 --> 00:00:53.800]  嘩 是你們給我的溫暖
[00:00:53.800 --> 00:00:55.400]  然後第二個就說
[00:00:55.400 --> 00:00:58.900]  嘩 你給我很多溫暖
[00:00:58.900 --> 00:01:02.900]  我很清楚知道那些溫暖是大家給我的
[00:01:02.900 --> 00:01:05.100]  所以我繼續握手
[00:01:05.100 --> 00:01:10.500]  也繼續享受弟兄姊妹那種溫暖的接納
[00:01:10.500 --> 00:01:11.900]  在冬天的時候
[00:01:11.900 --> 00:01:15.400]  我們很多時候都會穿多一點衣服
[00:01:15.400 --> 00:01:18.300]  就會覺得好像比較
[00:01:18.300 --> 00:01:20.700]  自己要顧著自己多一點
[00:01:20.700 --> 00:01:22.500]  但你知道你今天
[00:01:22.500 --> 00:01:25.600]  是和你的弟兄姊妹一齊來敬拜
[00:01:25.600 --> 00:01:28.200]  他們是你的弟兄和姊妹
[00:01:28.200 --> 00:01:29.400]  不如你也
[00:01:29.400 --> 00:01:31.100]  或者你不一定要握手
[00:01:31.100 --> 00:01:33.200]  用你溫暖的笑容
[00:01:33.200 --> 00:01:35.100]  向他們打招呼
[00:01:35.100 --> 00:01:37.400]  將一些溫暖帶給他們
[00:01:37.400 --> 00:01:38.900]  大家彼此有民安
[00:01:38.900 --> 00:01:50.600]  求主耶穌的愛
[00:01:50.600 --> 00:01:52.000]  溫暖我們的心
[00:01:52.000 --> 00:01:55.400]  也體會到弟兄姊妹對我們的關係
[00:01:55.400 --> 00:01:57.500]  對我們的幫助
[00:01:57.500 --> 00:01:58.500]  我們一起再祈禱
[00:01:58.500 --> 00:02:00.200]  仰望主帶領我們
[00:02:00.200 --> 00:02:08.000]  天上的主
[00:02:08.000 --> 00:02:09.100]  滿有恩慈
[00:02:09.100 --> 00:02:11.900]  滿有憐憫的上帝
[00:02:11.900 --> 00:02:13.600]  我們何等有福
[00:02:13.600 --> 00:02:17.000]  能夠被稱為神的兒女
[00:02:17.000 --> 00:02:19.500]  主我們一個趁早所做
[00:02:19.500 --> 00:02:22.500]  曾經犯罪跌倒得罪你的人
[00:02:22.500 --> 00:02:24.300]  竟然被稱為
[00:02:24.300 --> 00:02:28.300]  天地的主的孩子
[00:02:28.300 --> 00:02:30.600]  主我們知道一切都是因典
[00:02:30.600 --> 00:02:33.500]  是主耶穌基督莫大的恩惠
[00:02:33.500 --> 00:02:36.200]  為我們犧牲自己的生命
[00:02:36.200 --> 00:02:39.500]  為要還回我們的生命
[00:02:39.500 --> 00:02:40.800]  如今我們到祢面前來
[00:02:40.800 --> 00:02:42.000]  我們敬拜祢
[00:02:42.000 --> 00:02:43.800]  我們讚美祢
[00:02:43.800 --> 00:02:46.900]  也感謝祢賜給我們有弟兄姊妹
[00:02:46.900 --> 00:02:48.100]  在人生的路上
[00:02:48.100 --> 00:02:49.700]  可以彼此的父慈
[00:02:49.700 --> 00:02:52.100]  一同來跟隨祢
[00:02:52.100 --> 00:02:53.700]  主在我們很怨言的時候
[00:02:53.700 --> 00:02:55.200]  我們敬拜祢
[00:02:55.200 --> 00:02:58.200]  亦渴望當我們敬拜祢的時候
[00:02:58.200 --> 00:03:01.200]  主在祢賜下祢聖經的恩賢
[00:03:01.200 --> 00:03:03.200]  進入我們的內心
[00:03:03.200 --> 00:03:05.100]  承蒙我們生命的力量
[00:03:05.100 --> 00:03:08.100]  我們可以行在光明的路上
[00:03:08.100 --> 00:03:09.800]  主我願今我們在祢面前
[00:03:09.800 --> 00:03:11.600]  同心等候祢
[00:03:11.600 --> 00:03:14.500]  求祢賜下祢的說話
[00:03:14.500 --> 00:03:16.600]  賜下祢寶貴的聖靈
[00:03:16.600 --> 00:03:19.400]  在我們心中工作
[00:03:19.400 --> 00:03:20.300]  我們感謝
[00:03:20.300 --> 00:03:22.100]  仰望奉耶穌基督
[00:03:22.100 --> 00:03:23.300]  成名祈求
[00:03:23.300 --> 00:03:26.800]  (大會完畢)
[00:03:26.800 --> 00:03:29.700]  我們今天會思想聖經創世紀第四章
[00:03:29.700 --> 00:03:32.800]  談及到罪的問題
[00:03:32.800 --> 00:03:35.600]  我想先講就是在這段時間
[00:03:35.600 --> 00:03:37.900]  我們會比較深刻地體會
[00:03:37.900 --> 00:03:41.000]  罪的那種凶險
[00:03:41.000 --> 00:03:43.400]  特別是最近有很多消息關於
[00:03:43.400 --> 00:03:46.000]  在緬甸的騙詐園區
[00:03:46.000 --> 00:03:48.300]  所發生的事情
[00:03:48.300 --> 00:03:49.300]  看到報道的時候
[00:03:49.300 --> 00:03:53.500]  發覺這種情況不是很小型
[00:03:53.500 --> 00:03:56.800]  有些估計在緬甸東部
[00:03:56.800 --> 00:04:00.300]  最少有二十多個這些騙詐園區
[00:04:00.300 --> 00:04:02.300]  裡面有幾千個人
[00:04:02.300 --> 00:04:05.900]  上萬人受到虐打
[00:04:05.900 --> 00:04:08.200]  受到控制
[00:04:08.200 --> 00:04:09.300]  看到這些報道的時候
[00:04:09.300 --> 00:04:11.900]  說到有些人被拐帶
[00:04:11.900 --> 00:04:14.700]  騙拐進入這些園區的時候
[00:04:14.700 --> 00:04:19.600]  被迫要去做一些電訊欺騙的工作
[00:04:19.600 --> 00:04:21.000]  他們很多不肯做
[00:04:21.000 --> 00:04:23.600]  但是接著就會有毒打
[00:04:23.600 --> 00:04:28.000]  有虐待發生在他們身上
[00:04:28.000 --> 00:04:29.500]  我發覺當我這段時間
[00:04:29.500 --> 00:04:31.000]  聽到這些消息的時候
[00:04:31.000 --> 00:04:32.800]  我都收到一些特別電話
[00:04:32.800 --> 00:04:34.200]  大家都收到
[00:04:34.200 --> 00:04:36.100]  久不久一些奇怪的電話打來的時候
[00:04:36.100 --> 00:04:37.900]  當然我不聽
[00:04:37.900 --> 00:04:41.200]  但是最近當我發現有電話打進來的時候
[00:04:41.200 --> 00:04:43.400]  突然間心有種感動
[00:04:43.400 --> 00:04:46.200]  我要為這個人祈禱
[00:04:46.200 --> 00:04:49.700]  可能他現在只是有一個騙詐園區裡面
[00:04:49.700 --> 00:04:51.700]  有人拿著棍子在旁邊
[00:04:51.700 --> 00:04:54.500]  你快點做
[00:04:54.500 --> 00:04:57.800]  他都是被壓榨
[00:04:57.800 --> 00:05:01.400]  也是被罪傷害的人
[00:05:01.400 --> 00:05:03.500]  你會看到在整個世界裡面
[00:05:03.500 --> 00:05:05.900]  周圍有很多罪惡的事情
[00:05:05.900 --> 00:05:09.400]  但是你發覺罪惡的發生
[00:05:09.400 --> 00:05:15.000]  其實也引申了其他人犯罪
[00:05:15.000 --> 00:05:17.500]  被罪的人也犯罪
[00:05:17.500 --> 00:05:19.300]  傷害人
[00:05:19.300 --> 00:05:21.500]  而這種情況是不斷延伸
[00:05:21.500 --> 00:05:24.300]  不斷擴大
[00:05:24.300 --> 00:05:27.000]  你同學問我是領受神救恩的人
[00:05:27.000 --> 00:05:29.900]  我們領受神給我們赦罪的恩惠
[00:05:29.900 --> 00:05:32.800]  但是今天我們仍然面對著很多罪
[00:05:32.800 --> 00:05:34.100]  對我們的試探
[00:05:34.100 --> 00:05:36.000]  對我們的衝擊
[00:05:36.000 --> 00:05:39.900]  各位弟兄姊妹 留心聖經創世的第四章
[00:05:39.900 --> 00:05:41.800]  神給我們的提醒
[00:05:41.800 --> 00:05:44.000]  聖經告訴我們
[00:05:44.000 --> 00:05:51.100]  罪要在你的附近去控制你
[00:05:51.100 --> 00:05:54.100]  你要去制伏它
[00:05:54.100 --> 00:06:02.300]  你要去靠著神制伏它
[00:06:02.300 --> 00:06:07.000]  我們弟兄姊妹有一些事情發生
[00:06:07.000 --> 00:06:10.000]  我們大家不如一起為它祈禱
[00:06:10.000 --> 00:06:16.900]  我們先繼續來去敬拜
[00:06:16.900 --> 00:06:19.500]  親愛的主我們感謝祢
[00:06:19.500 --> 00:06:21.800]  知道祢在我們中間
[00:06:21.800 --> 00:06:23.500]  我們中間有弟兄姊妹
[00:06:23.500 --> 00:06:24.700]  有身體不適
[00:06:24.700 --> 00:06:27.500]  有一些特別的狀況
[00:06:27.500 --> 00:06:30.500]  求主施恩保守
[00:06:30.500 --> 00:06:33.400]  求祢親自去看顧她
[00:06:33.400 --> 00:06:35.500]  賜她有平安
