
[00:00:00.000 --> 00:00:05.000]  我發現我在兩難之間
[00:00:05.000 --> 00:00:07.000]  一方面呢
[00:00:07.000 --> 00:00:15.000]  我不曉得是否應該把我在講義裡面的每一點都講到
[00:00:15.000 --> 00:00:17.000]  另外一方面呢
[00:00:17.000 --> 00:00:23.000]  我不知道是否應該加強某些點
[00:00:23.000 --> 00:00:27.000]  而跳過某些其他的點
[00:00:27.000 --> 00:00:30.000]  兩難之間
[00:00:30.000 --> 00:00:33.000]  我最後的決定
[00:00:33.000 --> 00:00:38.000]  就是靠著主盡量的兩樣兼顧
[00:00:38.000 --> 00:00:41.000]  不容易
[00:00:41.000 --> 00:00:45.000]  但是求主幫助我
[00:00:45.000 --> 00:00:48.000]  聖經說
[00:00:48.000 --> 00:00:50.000]  無論什麼事情啊
[00:00:50.000 --> 00:00:52.000]  都尤其是
[00:00:52.000 --> 00:00:54.000]  這是傳道說的話
[00:00:54.000 --> 00:00:59.000]  栽種有始 法處有始
[00:00:59.000 --> 00:01:04.000]  孰靈的知識的灌樹有始
[00:01:04.000 --> 00:01:06.000]  靈的興起有始
[00:01:06.000 --> 00:01:09.000]  生靈的感動有始
[00:01:09.000 --> 00:01:12.000]  我們向主說求的
[00:01:12.000 --> 00:01:20.000]  就是當孰靈的知識灌樹在我們心裡的時候
[00:01:20.000 --> 00:01:25.000]  同時生靈感動
[00:01:25.000 --> 00:01:29.000]  兩個時間合在一起
[00:01:29.000 --> 00:01:31.000]  那是何等的美好
[00:01:31.000 --> 00:01:35.000]  那是我們所需要的
[00:01:35.000 --> 00:01:38.000]  當我們讀主的話
[00:01:38.000 --> 00:01:40.000]  講主的話
[00:01:40.000 --> 00:01:42.000]  聽主的話的時候
[00:01:42.000 --> 00:01:47.000]  保衛使聖靈就在其中動過
[00:01:47.000 --> 00:01:50.000]  讓我們直接的
[00:01:50.000 --> 00:01:52.000]  清楚的
[00:01:52.000 --> 00:01:53.000]  確定的
[00:01:53.000 --> 00:01:57.000]  領受主的生命之道
[00:01:57.000 --> 00:02:00.000]  讀經聽到
[00:02:00.000 --> 00:02:03.000]  好像一個人看地圖
[00:02:03.000 --> 00:02:06.000]  每一個看地圖的人
[00:02:06.000 --> 00:02:10.000]  不是為了看地圖而看地圖
[00:02:10.000 --> 00:02:14.000]  是為了找出來道路
[00:02:14.000 --> 00:02:17.000]  為的是要走這條路
[00:02:17.000 --> 00:02:20.000]  到他的目的地去
