
[00:00:00.000 --> 00:00:06.720]  (主持人:好,弟兄姊妹平安,我們上次說不完,這次就下集吧)
[00:00:06.720 --> 00:00:14.560]  (主持人:好,先說一個,剛剛這個星期看到一個,也不算新聞,一個節目的一個個案報導)
[00:00:14.560 --> 00:00:17.840]  (主持人:不知道有沒有聽,或者甚至看過那個報導,就是說)
[00:00:17.840 --> 00:00:22.960]  (主持人:在港鐵有一個伯伯被一對情侶撞跌了,暈暈的)
[00:00:22.960 --> 00:00:31.920]  (主持人:暈的時候,有好心的一位小姐,還是女士照顧他,扶他)
[00:00:31.920 --> 00:00:39.360]  (主持人:故事發展就是說,伯伯醒了之後就控告這個女士)
[00:00:39.360 --> 00:00:47.440]  (主持人:還有索償五萬元,我就沒有再追究這個事件,是去年發生的)
[00:00:47.440 --> 00:00:51.920]  (主持人:不過今年有一個節目就報導了這樣的事情)
[00:00:51.920 --> 00:00:57.360]  (主持人:好,今天聚會完結了,大家都按你們的節奏,搭車回家)
[00:00:57.360 --> 00:01:06.000]  (主持人:剛好你又搭地鐵,剛好在大堂你又看到有一個老人家跌在地上)
[00:01:06.000 --> 00:01:12.080]  (主持人:被人撞跌了,暈暈的,剛好你今早,記得劉牧師說過你的例子)
[00:01:12.080 --> 00:01:18.880]  (主持人:那一刻你會怎樣做呢?正常可能你說扶他)
[00:01:18.880 --> 00:01:25.920]  (主持人:但剛好今早聽完這樣的個案之後,你會怎樣做呢?)
[00:01:25.920 --> 00:01:30.400]  (主持人:視而不見,就像薩馬利亞的故事)
[00:01:30.400 --> 00:01:39.840]  (主持人:還是,你們中間都會很聰明的,找港鐵職員)
[00:01:39.840 --> 00:01:46.320]  (主持人:還是,都不知道哪裡找,突然間這麼大,但你有良心有感受)
[00:01:46.320 --> 00:01:54.320]  (主持人:跌了你當然扶他,正常,專家說找多個隔壁有沒有同行或人一起幫忙)
[00:01:54.320 --> 00:02:00.720]  (主持人:有什麼事這麼不幸,就有證人的,不要像伯伯所說的情況)
[00:02:00.720 --> 00:02:09.360]  (主持人:可能會這樣,但幫人而已,有點愛心,但這個世界為什麼變成這樣)
[00:02:09.360 --> 00:02:16.720]  (主持人:我還記得你上次說到段落的經文,他其實是說)
[00:02:16.720 --> 00:02:23.600]  (主持人:有時候傳說中要有智慧,我當然要有智慧判斷)
[00:02:23.600 --> 00:02:31.440]  (主持人:大家都要保護自己,不要做好心,還要被人告或索償,這樣就很慘了)
[00:02:31.440 --> 00:02:38.400]  (主持人:但他說有智慧其實是有用的,但也有限制)
[00:02:38.400 --> 00:02:43.520]  (主持人:所以今次繼續延續的段落,是7至10章的段落)
[00:02:43.520 --> 00:02:49.680]  (主持人:他肯定是有智慧,但也有說有智慧是有不足的地方)
[00:02:49.680 --> 00:02:54.000]  (主持人:不是上帝不足,是人有限制)
[00:02:54.000 --> 00:03:00.880]  (主持人:神的主權下,上次說了第7章15節至29節)
[00:03:00.880 --> 00:03:12.720]  (主持人:整個結構,7章15及8章14,他提出人生的疑難)
[00:03:12.720 --> 00:03:20.720]  (主持人:顛倒報應,有些例子,做好心做什麼,不是好報嗎,不是多謝我還要反過來)
[00:03:20.720 --> 00:03:27.360]  (主持人:他在說有時候人生會遇到的現象,所以第7章是說教訓)
[00:03:27.360 --> 00:03:32.160]  (主持人:不要行惡過分,上次解釋過,大家記得)
[00:03:32.160 --> 00:03:37.920]  (主持人:不要以為中文翻譯是誤會,我們不要做好事做得太多)
[00:03:37.920 --> 00:03:45.600]  (主持人:不要行惡過分,做惡也難免,做少少就好,不要太過分,中庸之道)
[00:03:45.600 --> 00:03:51.760]  (主持人:他不是說這件事,他在說正確的事我們要分辨,要做)
[00:03:51.760 --> 00:04:05.840]  (主持人:不是因為我行義過分,我希望做多些善有善報,做好事就應該會換取福氣,換取多些好處)
[00:04:05.840 --> 00:04:15.840]  (主持人:反過來,第7章14節前的上半章也提到有些人得不到,就用自己的方法去勒索賄賂)
[00:04:15.840 --> 00:04:21.600]  (主持人:或者去做些不好的事,靈性也出現問題,想滿足得到一些東西)
[00:04:21.600 --> 00:04:28.560]  (主持人:其實19-29節講檢視也是,不要行惡過分,或者17節那個不要行惡過分)
[00:04:28.560 --> 00:04:41.280]  (主持人:也不應該行惡去換取好處,所以19-29節是講行義與智慧都是好的)
[00:04:41.280 --> 00:04:47.840]  (主持人:但是不代表你能解決所有問題)
[00:04:47.840 --> 00:04:59.360]  (主持人:所以包含了第15節,7章和8章14節是講有異人行義,反之滅亡,有惡人行惡,倒向長壽,在虛空之日中所見)
[00:04:59.360 --> 00:05:07.200]  (主持人:其實上次提到的14節也是一樣講相似的東西,再重溫一下想講什麼)
[00:05:07.200 --> 00:05:15.120]  (主持人:第8章14節也是講異人所遭遇,反照惡人所行,又有惡人所遭遇,又反照異人所行)
[00:05:15.120 --> 00:05:24.400]  (主持人:他覺得有時候一個現象很虛空,所以今天你跟我生活都是要繼續面對做抉擇的時間)
[00:05:24.400 --> 00:05:35.680]  (主持人:究竟我們的信仰、價值觀、善惡的觀念如何去對應即使有時候是顛倒的是非)
[00:05:35.680 --> 00:05:44.320]  (主持人:所以他提醒到我們18節是要敬畏神)
[00:05:44.320 --> 00:05:50.080]  (主持人:其實5章整個傳道書的中心都是提醒我們心裡有神要敬畏神)
[00:05:50.080 --> 00:05:57.600]  (主持人:去面向這個世界即使有時候不公平,有時候出現一些問題)
