
[00:00:00.000 --> 00:00:02.000]  大家好,我是Daniel
[00:00:02.000 --> 00:00:04.000]  今日就介紹一本書給大家
[00:00:04.000 --> 00:00:06.000]  叫做《透視保羅》
[00:00:06.000 --> 00:00:08.000]  這本書其實有一個很清晰
[00:00:08.000 --> 00:00:11.000]  亦都幾具挑戰性的目標
[00:00:11.000 --> 00:00:13.000]  就是跟我們說
[00:00:13.000 --> 00:00:15.000]  其實我們怎樣
[00:00:15.000 --> 00:00:17.000]  真是可以認識保羅呢
[00:00:17.000 --> 00:00:19.000]  就不只是純粹
[00:00:19.000 --> 00:00:22.000]  思考保羅、研究保羅這麼簡單
[00:00:22.000 --> 00:00:24.000]  而是學會怎樣
[00:00:24.000 --> 00:00:26.000]  透過保羅去思考
[00:00:26.000 --> 00:00:28.000]  作者提出其實
[00:00:28.000 --> 00:00:30.000]  研究保羅就分兩個層面
[00:00:30.000 --> 00:00:32.000]  第一個層面就是
[00:00:32.000 --> 00:00:34.000]  關於保羅的思考
[00:00:34.000 --> 00:00:35.000]  Thinking about Paul
[00:00:35.000 --> 00:00:37.000]  就是我們平時一般都會經常做的
[00:00:37.000 --> 00:00:39.000]  在這個層面來說就很簡單
[00:00:39.000 --> 00:00:43.000]  就是將保羅當成一個研究對象
[00:00:43.000 --> 00:00:45.000]  即是我們會問
[00:00:45.000 --> 00:00:49.000]  例如保羅當時的歷史處境究竟是怎樣
[00:00:49.000 --> 00:00:51.000]  他寫信的對象是誰
[00:00:51.000 --> 00:00:54.000]  當時發生什麼
[00:00:54.000 --> 00:00:57.000]  這些都是我們經常查經都會問的東西
[00:00:57.000 --> 00:00:58.000]  很簡單的
[00:00:58.000 --> 00:01:01.000]  作者就用了幾步的方法
[00:01:01.000 --> 00:01:04.000]  我們首先要定位
[00:01:04.000 --> 00:01:06.000]  即是要Center 聚焦
[00:01:06.000 --> 00:01:08.000]  即是要Track 去追蹤
[00:01:08.000 --> 00:01:10.000]  舉個例子很簡單
[00:01:10.000 --> 00:01:12.000]  就好像我們讀哥倫多前書
[00:01:12.000 --> 00:01:15.000]  我們首先要定位
[00:01:15.000 --> 00:01:17.000]  就是了解原來哥倫多
[00:01:17.000 --> 00:01:21.000]  是一個很重視榮譽和地位的城市
[00:01:21.000 --> 00:01:24.000]  我們就會明白為什麼在哥倫多教會裏
[00:01:24.000 --> 00:01:27.000]  經常都會分高低 分黨派
[00:01:27.000 --> 00:01:30.000]  第二就是要去Center 聚焦
[00:01:30.000 --> 00:01:36.000]  這封信的核心是說原來十字架是顛覆了人對榮耀的理解
[00:01:36.000 --> 00:01:39.000]  第三就是去Track 去追蹤
[00:01:39.000 --> 00:01:41.000]  我們就會慢慢一步一步
[00:01:41.000 --> 00:01:44.000]  看到保羅是由教會分裂
[00:01:44.000 --> 00:01:46.000]  講到愛 講到身體
[00:01:46.000 --> 00:01:49.000]  他整個邏輯是連貫的
[00:01:49.000 --> 00:01:52.000]  這個就是作者說的第一個層面
[00:01:52.000 --> 00:01:55.000]  Thinking about Paul 關於保羅的思考
[00:01:55.000 --> 00:02:00.000]  但作者在書裏想提出最重要的是第二個層面
[00:02:00.000 --> 00:02:02.000]  就是Thinking in a Pauline manner
[00:02:02.000 --> 00:02:06.000]  即是如何學習用保羅式的思考
[00:02:06.000 --> 00:02:11.000]  這也是全本書最重要和最深的地方
[00:02:11.000 --> 00:02:16.000]  保羅說其實保羅不單止是一個研究對象這麼簡單
[00:02:16.000 --> 00:02:19.000]  他是一個catalyst 是一個催化劑
[00:02:19.000 --> 00:02:24.000]  教導我們如何學習用一個新的方式去看待這個世界
[00:02:24.000 --> 00:02:27.000]  什麼叫做保羅式的思考呢?
[00:02:27.000 --> 00:02:29.000]  其實核心有一個概念
[00:02:29.000 --> 00:02:31.000]  就是一個啟示性的敘事
[00:02:31.000 --> 00:02:37.000]  是一個apocalyptic narrative
[00:02:37.000 --> 00:02:39.000]  即是怎樣說呢?
[00:02:39.000 --> 00:02:42.000]  保羅說的不單止是道德教訓
[00:02:42.000 --> 00:02:44.000]  而是他相信一件事
[00:02:44.000 --> 00:02:50.000]  就是神已經透過基督的死和復活介入了這個世界
[00:02:50.000 --> 00:02:53.000]  甚至是改變了這個世界
[00:02:53.000 --> 00:02:58.000]  所以所有問題無論是自由、權力、人際關係
[00:02:58.000 --> 00:03:02.000]  都要放入這個大敘事裏去理解
[00:03:02.000 --> 00:03:07.000]  例如是權力軟弱的關係
[00:03:07.000 --> 00:03:15.000]  當時的羅馬世界純粹是成功、強調權力
[00:03:15.000 --> 00:03:18.000]  但保羅就在哥倫多書信裏說
[00:03:18.000 --> 00:03:21.000]  他最誇口的是什麼呢?就是他的軟弱
[00:03:21.000 --> 00:03:27.000]  其實他想說的是神的能力反而是在最軟弱的當中顯露出來
[00:03:27.000 --> 00:03:29.000]  又例如說到自由
[00:03:29.000 --> 00:03:33.000]  很多時候我們想自由就是我想做什麼都可以
[00:03:33.000 --> 00:03:39.000]  但保羅卻說真正的自由是為愛而限制自己
[00:03:39.000 --> 00:03:42.000]  亦都說到人際關係的問題
[00:03:42.000 --> 00:03:44.000]  我們看到例如菲利滿書
[00:03:44.000 --> 00:03:47.000]  保羅沒有直接推翻奴隸制度
[00:03:47.000 --> 00:03:50.000]  但他做了一個更加radical的事
[00:03:50.000 --> 00:03:51.000]  更加顛覆性的事
[00:03:51.000 --> 00:03:58.000]  就是他叫菲利滿將奴隸亞歷西姆當作兄弟
[00:03:58.000 --> 00:04:03.000]  即是用福音重寫整個人際關係
[00:04:03.000 --> 00:04:05.000]  所以最後總結
[00:04:05.000 --> 00:04:08.000]  剛才提到作者提出這兩個層面
[00:04:08.000 --> 00:04:11.000]  這兩個層面其實都是互相影響的
[00:04:11.000 --> 00:04:14.000]  我們越理解保羅說什麼
[00:04:14.000 --> 00:04:16.000]  就是thinking about Paul
[00:04:16.000 --> 00:04:19.000]  其實我們就越學會如何think in a Pauline manner
[00:04:19.000 --> 00:04:22.000]  學會如何用保羅式的思考
[00:04:22.000 --> 00:04:29.000]  當我們越開始用保羅的眼光去看世界
[00:04:29.000 --> 00:04:33.000]  其實我們真正對保羅的書信會認識更加深
[00:04:33.000 --> 00:04:38.000]  所以這本書其實想帶出的重點
[00:04:38.000 --> 00:04:41.000]  不是想我們純粹學更加多的知識
[00:04:41.000 --> 00:04:45.000]  而是想我們重新塑造一種生命
[00:04:45.000 --> 00:04:49.000]  是一種以基督為中心的生命
[00:04:49.000 --> 00:04:54.000]  所以他想我們不單止去讀保羅這麼簡單
[00:04:54.000 --> 00:04:59.000]  而是透過保羅或者讓保羅帶我們進入一種
[00:04:59.000 --> 00:05:04.000]  被基督更新的思考和生命
[00:05:04.000 --> 00:05:05.000]  多謝大家
[00:05:05.000 --> 00:05:07.000]  我們今天分享就到這裡
[00:05:07.000 --> 00:05:09.000]  我們下次再見
