
[00:00:00.000 --> 00:00:01.840]  今日跟大家思想的題目是
[00:00:01.840 --> 00:00:05.440]  穿上謙卑 清醒 堅定
[00:00:05.440 --> 00:00:08.920]  特別講到信心的堅定方面
[00:00:08.920 --> 00:00:11.800]  當然我們基督徒弟兄姊妹都會體會
[00:00:11.800 --> 00:00:16.520]  基督人生有重要的追求方向
[00:00:16.520 --> 00:00:19.280]  我想其中一個很重要的方向
[00:00:19.280 --> 00:00:22.240]  就是我們一生的基督人生
[00:00:22.240 --> 00:00:26.480]  是學習伏在神大能的手下
[00:00:26.480 --> 00:00:30.440]  謙卑的伏在祂大能的手下
[00:00:30.440 --> 00:00:32.920]  當主耶穌快離開世界的時候
[00:00:32.920 --> 00:00:33.840]  大家會記得
[00:00:33.840 --> 00:00:37.320]  祂和祂的門徒很清楚地說了一句話
[00:00:37.320 --> 00:00:42.240]  祂說:你們在世上有苦難
[00:00:42.240 --> 00:00:44.080]  但你們可以放心
[00:00:44.080 --> 00:00:47.840]  因為我已經得勝世界
[00:00:47.840 --> 00:00:51.040]  主耶穌很清楚地直接地說
[00:00:51.040 --> 00:00:57.520]  每一個屬神的人在地上是會有苦難的
[00:00:57.520 --> 00:00:59.160]  我們都有不同的經歷
[00:00:59.160 --> 00:01:01.840]  或者我們都會經歷過一些病患
[00:01:01.840 --> 00:01:04.840]  帶給我們的辛苦痛苦
[00:01:04.840 --> 00:01:09.000]  又或者是一些人他們做錯事情
[00:01:09.000 --> 00:01:12.320]  但是卻是帶給我們傷害
[00:01:12.320 --> 00:01:13.920]  未必是你的責任
[00:01:13.920 --> 00:01:18.120]  但是別人的錯失帶給你傷害
[00:01:18.120 --> 00:01:21.760]  我們也會經歷到在我們所身處的社會
[00:01:21.760 --> 00:01:25.560]  整個社會政治經濟的轉變情況下
[00:01:25.560 --> 00:01:28.360]  帶給我們一些困擾
[00:01:28.360 --> 00:01:29.960]  也都會體會到有些時候
[00:01:29.960 --> 00:01:32.680]  因為我們堅守我們的信仰
[00:01:32.680 --> 00:01:35.840]  道德的立場原則生活
[00:01:35.840 --> 00:01:38.080]  而因此受到一些排斥
[00:01:38.080 --> 00:01:41.720]  或者是甚至毀謗的事情
[00:01:41.720 --> 00:01:44.920]  這些事情我們或多或少都會經歷到
[00:01:44.920 --> 00:01:46.560]  但是你一定要記住
[00:01:46.560 --> 00:01:50.640]  當主說你們在世上有苦難的時候
[00:01:50.640 --> 00:01:55.040]  接著祂就說你們要放心
[00:01:55.040 --> 00:01:57.560]  放心去面對這些事情
[00:01:57.560 --> 00:02:02.640]  原因是因為主已經得勝了這個世界
[00:02:02.640 --> 00:02:04.120]  當我們讀到彼得前書的時候
[00:02:04.120 --> 00:02:06.800]  你會發覺彼得前書是說到很多
[00:02:06.800 --> 00:02:07.920]  在末世的時候
[00:02:07.920 --> 00:02:11.760]  教徒要面對著各種不同的苦難
[00:02:11.760 --> 00:02:13.960]  在上個星期大家記得
[00:02:13.960 --> 00:02:16.160]  在聖經第四節
[00:02:16.160 --> 00:02:18.440]  四章其中的十二節
[00:02:18.440 --> 00:02:20.480]  一路開始說到
[00:02:20.480 --> 00:02:25.960]  教徒群體如何在苦難當中去面對、試煉
[00:02:25.960 --> 00:02:29.280]  神透告苦難成為了我們的磨練
[00:02:29.280 --> 00:02:31.800]  煉淨了我們的人生
[00:02:31.800 --> 00:02:34.200]  然後今天我們再思想的
[00:02:34.200 --> 00:02:36.760]  提到在五章的五至十四節
[00:02:36.760 --> 00:02:39.920]  同樣是說一些在苦難當中的信徒
[00:02:39.920 --> 00:02:43.640]  如何面對著苦難的挑戰
[00:02:43.640 --> 00:02:47.920]  而我們應該持什麼樣的態度去面對
[00:02:47.920 --> 00:02:49.480]  首先我們要思想
[00:02:49.480 --> 00:02:51.520]  聖經一開始就會提及到
[00:02:51.520 --> 00:02:55.040]  在苦難當中有一件事是很危險的
[00:02:55.040 --> 00:02:58.880]  但是這個危險最大是什麼樣的危險呢?
[00:02:58.880 --> 00:03:01.680]  剛才我們說到有一些可能不同的危險
[00:03:01.680 --> 00:03:07.840]  或者當中會面對著有苦難、有壓迫、有傷害
[00:03:07.840 --> 00:03:10.840]  或者又面對著有惡人
[00:03:10.840 --> 00:03:14.640]  又或者是面對著一些絕症
[00:03:14.640 --> 00:03:16.320]  這些苦難出現的時候
[00:03:16.320 --> 00:03:18.840]  你會發覺很多時候我們會覺得
[00:03:18.840 --> 00:03:22.920]  這些問題正是危險的地方
[00:03:22.920 --> 00:03:23.960]  但當你讀聖經的時候
[00:03:23.960 --> 00:03:25.040]  你會發覺聖經說
[00:03:25.040 --> 00:03:28.320]  最大的危險並不是這些
[00:03:28.320 --> 00:03:33.200]  最大的危險是失去了對神的信心
[00:03:33.200 --> 00:03:35.200]  在困難、患難當中
[00:03:35.200 --> 00:03:37.080]  不再能夠去信靠神
[00:03:37.080 --> 00:03:39.040]  甚至離開神
[00:03:39.040 --> 00:03:42.440]  聖經所說被撒旦吞吃了
[00:03:42.440 --> 00:03:45.800]  這個是最大的危險
[00:03:45.800 --> 00:03:49.040]  當我們讀到聖經五章第八節的時候
[00:03:49.040 --> 00:03:51.600]  聖經特別提到這件事情
[00:03:51.600 --> 00:03:53.960]  它說你們要頭腦清醒
[00:03:53.960 --> 00:03:57.120]  要警醒你們的仇敵魔鬼
[00:03:57.120 --> 00:03:59.920]  好像咆哮的獅子走來走去
