
[00:00:00.000 --> 00:00:04.260]  我記得有幾次到中國內地
[00:00:04.260 --> 00:00:06.680]  特別是華東一帶的地方
[00:00:06.680 --> 00:00:08.680]  有機會探訪一些教會
[00:00:08.680 --> 00:00:11.080]  亦在當中服侍
[00:00:11.080 --> 00:00:14.680]  過程中很多弟兄姊妹會請我們出去吃飯
[00:00:14.680 --> 00:00:17.400]  好幾次當我和他們一起吃飯時
[00:00:17.400 --> 00:00:18.920]  有少許不習慣
[00:00:18.920 --> 00:00:21.680]  他們叫了很多菜來
[00:00:21.680 --> 00:00:26.880]  我以為接著會有飯一起吃
[00:00:27.440 --> 00:00:30.120]  但他們很快祈禱後便說「吃飯了」
[00:00:30.120 --> 00:00:32.920]  但其實準確地說是「吃餸」
[00:00:32.920 --> 00:00:37.240]  我見到這情況便吃餸
[00:00:37.240 --> 00:00:39.440]  吃完餸後已很飽
[00:00:39.440 --> 00:00:42.000]  他們便說「現在吃飯了」
[00:00:42.000 --> 00:00:45.200]  或者飯或麵條
[00:00:45.200 --> 00:00:46.880]  在那時拿上來
[00:00:46.880 --> 00:00:48.120]  還有湯
[00:00:48.120 --> 00:00:51.600]  所以對著他們很飽的情況下吃飯
[00:00:51.600 --> 00:00:54.520]  後來見了幾次後便發覺
[00:00:54.520 --> 00:00:56.520]  這是他們的習慣
[00:00:56.520 --> 00:00:59.160]  先吃餸後補上飯
[00:00:59.160 --> 00:01:01.160]  就一定飽
[00:01:01.160 --> 00:01:07.560]  在這些習慣中體會不同地方的風俗
[00:01:07.560 --> 00:01:09.560]  不同的習慣
[00:01:09.560 --> 00:01:13.160]  亦享受他們的風俗習慣
[00:01:13.160 --> 00:01:16.520]  當然和我們廣東人吃飯的方式不同
[00:01:16.520 --> 00:01:20.040]  但這似乎不是一個很關鍵的問題
[00:01:20.200 --> 00:01:23.400]  亦知道生活的習慣
[00:01:23.400 --> 00:01:26.040]  不必有一個絕對的標準
[00:01:26.040 --> 00:01:30.120]  只是學習去欣賞、學習去接納
[00:01:30.120 --> 00:01:33.400]  當然我們很多時候在社會當中
[00:01:33.400 --> 00:01:35.400]  很多不同生活的方式
[00:01:35.400 --> 00:01:39.560]  亦包括了一些道德性的行為
[00:01:39.560 --> 00:01:42.360]  在這些道德性的行為上
[00:01:42.360 --> 00:01:45.800]  包括了一些家庭倫理
[00:01:45.800 --> 00:01:48.520]  有一些兩性的關係
[00:01:48.840 --> 00:01:51.800]  甚至涉及了生育等問題
[00:01:51.800 --> 00:01:55.880]  這些行為不單是吃東西那麼簡單
[00:01:55.880 --> 00:01:59.480]  而是有道德的因素在裏面
[00:01:59.480 --> 00:02:04.520]  沒錯我們也學習去尊重別人有不同的選擇
[00:02:04.520 --> 00:02:09.000]  他可以按照自己的判斷作出他的選擇
[00:02:09.000 --> 00:02:13.000]  但尊重別人不等於我們不可以
[00:02:13.000 --> 00:02:17.640]  或不應該將我們自己的立場表明出來
[00:02:18.600 --> 00:02:23.400]  尊重不等於不可以表明自己的立場
[00:02:23.400 --> 00:02:25.960]  而當我們表明我們的立場的時候
[00:02:25.960 --> 00:02:29.000]  亦不等於我們不寬容
[00:02:29.000 --> 00:02:32.520]  因為在道德的議題上
[00:02:32.520 --> 00:02:34.520]  在很多倫理的事上
[00:02:34.520 --> 00:02:36.760]  我們有自己的立場
