
[00:00:00.000 --> 00:00:02.520]  我相信大家在不同的場合
[00:00:02.520 --> 00:00:06.000]  曾經都經歷過一些人的說話
[00:00:06.000 --> 00:00:11.120]  是來得很尖銳 甚至是惡言相向
[00:00:11.120 --> 00:00:13.040]  大家有些時候會看到一些報道
[00:00:13.040 --> 00:00:15.920]  關於在不同的地方有些公開的論壇
[00:00:15.920 --> 00:00:18.040]  就好像我們隔離維多利亞公園
[00:00:18.040 --> 00:00:20.880]  有些時候會有一些公開的論壇
[00:00:20.880 --> 00:00:22.960]  從傳媒的報道當中你會看到
[00:00:22.960 --> 00:00:26.360]  有些時候一些講者講完之後
[00:00:26.360 --> 00:00:30.880]  有一些在場的人群就會有一些很尖銳的說話
[00:00:30.880 --> 00:00:36.640]  甚至是惡言對待來批評講者剛才所表達的
[00:00:36.640 --> 00:00:38.480]  我想像一下如果我或者大家
[00:00:38.480 --> 00:00:41.120]  在當中是其中一個的講者
[00:00:41.120 --> 00:00:45.640]  面對著這些說話的時候會怎樣反應呢?
[00:00:45.640 --> 00:00:50.200]  當然我們會感受到人的怒氣會激動我們的情緒
[00:00:50.200 --> 00:00:53.400]  但如果我們要能夠講一些合適的
[00:00:53.400 --> 00:00:57.040]  正直的平和的說話
[00:00:57.040 --> 00:01:01.200]  必須要首先自己能夠可以情緒安定下來
[00:01:01.200 --> 00:01:04.400]  我們才能夠講到一些合適的說話
[00:01:04.400 --> 00:01:08.800]  當然其中要留心納住自己的舌頭
[00:01:08.800 --> 00:01:12.000]  才能夠可以講當講的說話
[00:01:12.000 --> 00:01:15.520]  像你見到聖經在詩篇的三十九篇
[00:01:15.520 --> 00:01:18.320]  詩人大衛就這樣講第一節
[00:01:18.320 --> 00:01:21.120]  「我曾說我要謹慎我的言行
[00:01:21.120 --> 00:01:23.480]  免得我的舌頭犯罪
[00:01:23.480 --> 00:01:25.120]  惡人在我面前的時候
[00:01:25.120 --> 00:01:28.760]  我要用爪環納住我的口」
[00:01:28.760 --> 00:01:30.880]  大衛很深刻感受一些情況之下
[00:01:30.880 --> 00:01:33.360]  面對著惡人要特別小心
