
[00:00:00.000 --> 00:00:02.640]  我們今天繼續思想約書亞記的經文
[00:00:02.640 --> 00:00:06.400]  「竭力保守信仰的純正」
[00:00:06.400 --> 00:00:08.560]  說到純正,我很快想到一件事情
[00:00:08.560 --> 00:00:11.480]  就是好幾年之前我有機會去印度
[00:00:11.480 --> 00:00:15.440]  參與了一些探孫教士的服事
[00:00:15.440 --> 00:00:18.920]  在當中,去到印度的時候,天氣很炎熱
[00:00:18.920 --> 00:00:22.000]  我記得四十三、四十四度
[00:00:22.000 --> 00:00:23.520]  是我從沒試過
[00:00:23.520 --> 00:00:26.760]  一下飛機就好像進了火爐一樣
[00:00:26.760 --> 00:00:29.280]  很熱,因此很想喝水
[00:00:29.280 --> 00:00:31.080]  經常想喝水
[00:00:31.080 --> 00:00:35.080]  但在街上的時候,看到很多人賣水
[00:00:35.080 --> 00:00:39.920]  一大罐,只要一點錢就可以買到一大瓶水
[00:00:39.920 --> 00:00:42.840]  但孫教士就嚴厲警惕我們
[00:00:42.840 --> 00:00:45.520]  切忌喝這些水
[00:00:45.520 --> 00:00:48.160]  我們不以為意,就說不要緊
[00:00:48.160 --> 00:00:51.880]  後來就說去買瓶裝水
[00:00:51.880 --> 00:00:57.000]  一喝,很快就吐瀉了
[00:00:57.000 --> 00:00:59.520]  就算是瓶裝也好,也不能保證
[00:00:59.520 --> 00:01:05.400]  真的能夠經過一個比較安全、衛生的製作過程
[00:01:05.400 --> 00:01:07.080]  所以不敢喝
[00:01:07.080 --> 00:01:11.920]  後來只在家裡煲水,然後隨身帶備
[00:01:11.920 --> 00:01:15.840]  才可以有一些飲用水
[00:01:15.840 --> 00:01:17.960]  我想到在一個城市裡面
[00:01:17.960 --> 00:01:21.320]  可以到處都是污染的水
[00:01:21.320 --> 00:01:23.200]  去到行河的時候
[00:01:23.200 --> 00:01:27.520]  更加發現行河所謂聖河的水
[00:01:27.520 --> 00:01:31.720]  裡面的含菌量是高到你放手下去
[00:01:31.720 --> 00:01:35.640]  可以立刻感染細菌
[00:01:35.640 --> 00:01:37.560]  周圍有很多的感染
[00:01:37.560 --> 00:01:39.920]  但我想回到香港
[00:01:39.920 --> 00:01:43.160]  很多人都說香港比較衛生,的確相對來說是
[00:01:43.160 --> 00:01:45.240]  但我們也要很小心防範
[00:01:45.240 --> 00:01:47.040]  有些空氣的污染
[00:01:47.040 --> 00:01:50.200]  或者其他食物的感染等等
[00:01:50.200 --> 00:01:54.720]  這個世界是有很多感染的事實
[00:01:54.720 --> 00:01:57.600]  但有些時候我們更加要警覺
[00:01:57.600 --> 00:02:00.160]  不單是物質上的污染
[00:02:00.160 --> 00:02:03.640]  更加是心靈的污染
[00:02:03.640 --> 00:02:07.440]  一些沒有留意到的傳媒的信息
