
[00:00:00.000 --> 00:00:04.500]  教會的主題是警醒禱告,同行天路
[00:00:04.500 --> 00:00:08.300]  希望藉著今天保羅這一段訊息
[00:00:08.300 --> 00:00:10.540]  去看看究竟保羅教導我們
[00:00:10.540 --> 00:00:12.840]  如何存在一個祈禱的心態
[00:00:12.840 --> 00:00:14.480]  去和基督同行
[00:00:14.480 --> 00:00:19.020]  也和弟兄姊妹同行走這條人生的天路
[00:00:19.020 --> 00:00:20.760]  在這段經文記載在
[00:00:20.760 --> 00:00:23.220]  《非牙秘書》第四章一至二十三節
[00:00:23.220 --> 00:00:25.320]  第四章一至第三節這樣說
[00:00:25.320 --> 00:00:28.360]  我所親愛所想念的弟兄們
[00:00:28.360 --> 00:00:29.900]  你們就是我的喜樂
[00:00:29.900 --> 00:00:30.960]  我的冠冕
[00:00:30.960 --> 00:00:32.700]  我親愛的弟兄
[00:00:32.700 --> 00:00:35.400]  你們應當靠主站立得穩
[00:00:35.400 --> 00:00:39.140]  我勸有爹和秦都記要在主裡同心
[00:00:39.140 --> 00:00:41.800]  我也求你這真實同父恩厄的
[00:00:41.800 --> 00:00:43.600]  幫助這兩個女人
[00:00:43.600 --> 00:00:46.820]  因為她們在福音上曾與我一同勞苦
[00:00:46.820 --> 00:00:47.820]  還有給你面
[00:00:47.820 --> 00:00:50.120]  並其餘和我一同作供的
[00:00:50.120 --> 00:00:53.580]  她們的名字都在生命冊上
[00:00:53.580 --> 00:00:56.920]  保羅在第四章第一節說
[00:00:56.920 --> 00:01:02.720]  他勸弟兄姊妹要在主裡站立得穩
[00:01:02.720 --> 00:01:03.620]  在這裡
[00:01:03.620 --> 00:01:05.400]  保羅為什麼這樣說呢
[00:01:05.400 --> 00:01:07.900]  在《非牙秘書》第一章已經說到
[00:01:07.900 --> 00:01:11.600]  在教會裡有不少人
[00:01:11.600 --> 00:01:14.900]  存在一些不好的動機去傳福音
[00:01:14.900 --> 00:01:17.900]  導致教會裡有很多的不和
[00:01:17.900 --> 00:01:19.840]  接著在第三章裡
[00:01:19.840 --> 00:01:22.080]  教會中也有些人提倡
[00:01:22.080 --> 00:01:23.940]  一些猶大教的主義
[00:01:23.940 --> 00:01:27.680]  就是說你要遵守猶大人的規矩
[00:01:27.680 --> 00:01:28.780]  習慣
[00:01:28.780 --> 00:01:30.320]  跟著律法
[00:01:30.320 --> 00:01:33.220]  你才可以成為一個基督徒
[00:01:33.220 --> 00:01:35.780]  你才可以得到上帝的救音
[00:01:35.780 --> 00:01:37.120]  保羅在這裡說
[00:01:37.120 --> 00:01:38.420]  這些都是錯誤
[00:01:38.420 --> 00:01:42.220]  我們不要跟隨錯誤的道路去走
[00:01:42.220 --> 00:01:43.900]  所以要站立得穩
[00:01:43.900 --> 00:01:46.400]  接著在下面他繼續說
[00:01:46.400 --> 00:01:50.800]  站立得穩的其中一個例子是怎樣呢
[00:01:50.800 --> 00:01:53.740]  在第四章第二第三節那裡
