
[00:00:00.000 --> 00:00:06.520]  我們一起來思想提摩太後書第二章這段聖經
[00:00:06.520 --> 00:00:11.640]  我們給一個主題叫做「失控的世界」的遺囑
[00:00:11.640 --> 00:00:14.880]  因為這本書是保羅臨死之前
[00:00:14.880 --> 00:00:18.800]  大概不夠一個月在監獄裏所寫的書信
[00:00:18.800 --> 00:00:21.880]  他寫給這位在困難當中
[00:00:21.880 --> 00:00:24.280]  他屬靈的兒子提摩太
[00:00:24.280 --> 00:00:26.760]  他年紀輕輕 三十出頭
[00:00:26.760 --> 00:00:30.600]  就要肩負起整個教會的很沉重的責任
[00:00:30.600 --> 00:00:34.680]  內憂外患有很多的困難
[00:00:34.680 --> 00:00:37.800]  「失控的世界」是可以描述當時的世界
[00:00:37.800 --> 00:00:40.760]  也可以描述我們今天21世紀的世界
[00:00:40.760 --> 00:00:43.680]  「失控的世界」這個名稱是來自英國
[00:00:43.680 --> 00:00:47.120]  一位當代最著名的社會學家Anthony Giddens
[00:00:47.120 --> 00:00:49.440]  他是倫敦經濟學院的院長
[00:00:49.440 --> 00:00:52.080]  也是英國首相Tony Blair
[00:00:52.080 --> 00:00:57.760]  最重要的一個社會學和政治的顧問
[00:00:57.760 --> 00:01:00.040]  他所寫的這本書也是來自
[00:01:00.040 --> 00:01:05.120]  他在英國廣播電台的一連串演講的記錄
[00:01:05.120 --> 00:01:06.760]  英文叫做《Runaway World》
[00:01:06.760 --> 00:01:10.840]  他形容到在21世紀開始整個世界變得瘋狂
[00:01:10.840 --> 00:01:13.480]  人根本沒有任何的安全感
[00:01:13.480 --> 00:01:15.720]  從經濟到我們的生活
[00:01:15.720 --> 00:01:17.960]  從生活到我們的身體和健康
[00:01:17.960 --> 00:01:20.360]  每一樣東西是人可以控制
[00:01:20.360 --> 00:01:24.320]  走到一個可以說是瘋狂失控的地步
[00:01:24.320 --> 00:01:26.920]  首先我們領事的姐妹也提到這方面
[00:01:26.920 --> 00:01:28.360]  這也是事實
[00:01:28.360 --> 00:01:31.040]  當時也是普羅所面對的
[00:01:31.040 --> 00:01:33.760]  提摩塔塔所面對的一個瘋狂
[00:01:33.760 --> 00:01:36.120]  羅馬政府壓迫基督教
[00:01:36.120 --> 00:01:40.400]  基督教信仰的人在他自己個人的生命的安危
[00:01:40.400 --> 00:01:44.240]  和所面對的前景裏面完全沒有把握的日子
[00:01:44.240 --> 00:01:48.000]  普羅這位基督徒怎樣在他臨死之前
[00:01:48.000 --> 00:01:52.880]  寫了這個屬靈的遺囑給他的屬靈兒子呢
[00:01:52.880 --> 00:01:57.920]  就是我們一起慢慢思想的課題
[00:01:57.920 --> 00:02:01.560]  今早我們第二章給了他一個題目
[00:02:01.560 --> 00:02:07.320]  叫做更大的能力有更重的責任
[00:02:07.320 --> 00:02:10.480]  心水清的頂姐妹知道這句話不是我說的
[00:02:10.480 --> 00:02:11.840]  借回來的
[00:02:11.840 --> 00:02:13.240]  是借來自甚麼呢
[00:02:13.240 --> 00:02:14.240]  是一齣電影的
[00:02:14.240 --> 00:02:16.240]  叫做Spiderman
[00:02:16.240 --> 00:02:18.240]  蜘蛛俠
[00:02:18.240 --> 00:02:21.640]  蜘蛛俠的主角最後說了這幾句
[00:02:21.640 --> 00:02:22.840]  他說
[00:02:22.840 --> 00:02:28.440]  With great power comes with great responsibilities
[00:02:28.440 --> 00:02:31.520]  更大的能力有更大的責任
[00:02:31.520 --> 00:02:32.480]  還有幾句
[00:02:32.480 --> 00:02:33.160]  接著他說
[00:02:33.160 --> 00:02:34.960]  This is my deep, my curse
[00:02:34.960 --> 00:02:36.720]  Who am I? I am Spiderman
[00:02:36.720 --> 00:02:38.080]  這樣就完了
[00:02:38.080 --> 00:02:40.960]  你不相信的話可以回去看一下
[00:02:40.960 --> 00:02:42.640]  我沒有背錯的
[00:02:42.640 --> 00:02:43.640]  我很記性的
[00:02:43.640 --> 00:02:45.640]  看電影都記住了
[00:02:45.640 --> 00:02:47.840]  但是其實這句話也挺有意思的
[00:02:47.840 --> 00:02:51.000]  甚至在我們世界上的人都知道這件事
[00:02:51.000 --> 00:02:54.280]  其實在這個21世紀很動盪的時代
[00:02:54.280 --> 00:02:56.280]  沒有把握的時間裡面
[00:02:56.280 --> 00:02:58.440]  我們所需要的就是power
[00:02:58.440 --> 00:02:59.120]  當然
[00:02:59.120 --> 00:03:00.920]  我們需要有能力
[00:03:00.920 --> 00:03:02.160]  才可以站得穩
[00:03:02.160 --> 00:03:05.280]  好像一個大海翻騰裡面的錨
[00:03:05.280 --> 00:03:07.720]  無論怎樣吹它都可以站得穩
[00:03:07.720 --> 00:03:08.800]  這個power很重要
[00:03:08.800 --> 00:03:09.960]  所以今天我們知道
[00:03:09.960 --> 00:03:12.000]  我們周圍的世界都告訴我們要有power
[00:03:12.000 --> 00:03:12.760]  有這個能力
[00:03:12.760 --> 00:03:13.800]  有這個權能
[00:03:13.800 --> 00:03:15.080]  政治的能力
[00:03:15.080 --> 00:03:16.440]  我們有經濟的實力
[00:03:16.440 --> 00:03:17.000]  是吧
[00:03:17.000 --> 00:03:20.120]  我們要有人際關係的把握
[00:03:20.120 --> 00:03:23.520]  於是我們就可以在這種衝擊下
[00:03:23.520 --> 00:03:25.520]  我們屹立不倒
[00:03:25.520 --> 00:03:29.680]  那麼基督徒有沒有什麼power呢?
[00:03:29.680 --> 00:03:30.640]  有
[00:03:30.640 --> 00:03:32.800]  其實基督徒的能力
[00:03:32.800 --> 00:03:33.800]  那個權能
[00:03:33.800 --> 00:03:35.200]  在聖經裡面告訴我們
[00:03:35.200 --> 00:03:39.080]  是遠超過我們世界上的人所給到我們的權能
[00:03:39.080 --> 00:03:41.720]  不是說我們基督徒信了耶穌之後
[00:03:41.720 --> 00:03:43.560]  我們自然就會一帆風順
[00:03:43.560 --> 00:03:46.120]  我們做生意又春風得意
[00:03:46.120 --> 00:03:49.120]  我們賺錢投資就每次都有賺
[00:03:49.120 --> 00:03:49.800]  不是
[00:03:49.800 --> 00:03:51.640]  神從來都沒有應許這件事
[00:03:51.640 --> 00:03:54.080]  正如保羅說什麼power
[00:03:54.080 --> 00:03:56.640]  白,你坐在監獄裡面就死了
[00:03:56.640 --> 00:03:57.600]  說什麼power呢?
[00:03:57.600 --> 00:03:58.560]  很奇怪
[00:03:58.560 --> 00:04:00.120]  兩個完全不同的角度
[00:04:00.120 --> 00:04:02.440]  但是竟然出自一個這樣的白
[00:04:02.440 --> 00:04:04.560]  在監獄裡面臨死
[00:04:04.560 --> 00:04:06.240]  寫出一個很重要的
[00:04:06.240 --> 00:04:09.320]  在信仰而來的能力
[00:04:09.320 --> 00:04:12.240]  那麼這個信仰而來的能力的根源在哪裡?
[00:04:12.240 --> 00:04:15.400]  在聖經裡面提到有三個很重要的根源
[00:04:15.400 --> 00:04:18.960]  一個是來自我們所相信的耶穌
[00:04:18.960 --> 00:04:22.440]  第二是來自我們所相信的神的復活
[00:04:22.440 --> 00:04:23.920]  和他的信實
[00:04:23.920 --> 00:04:26.680]  第三是來自神的說話
[00:04:26.680 --> 00:04:27.600]  神的真理
[00:04:27.600 --> 00:04:29.320]  這三樣東西
[00:04:29.320 --> 00:04:30.840]  如果你是熟悉基督教信仰
[00:04:30.840 --> 00:04:33.920]  你知道這三樣東西代表了我們基督教的三位一體的神
[00:04:33.920 --> 00:04:34.720]  三方面
[00:04:34.720 --> 00:04:35.400]  聖子
[00:04:35.400 --> 00:04:36.160]  耶穌
[00:04:36.160 --> 00:04:38.400]  聖父的信實
[00:04:38.400 --> 00:04:39.400]  聖靈
[00:04:39.400 --> 00:04:40.880]  藉著他的說話
[00:04:40.880 --> 00:04:43.320]  能夠收集出來的能力
[00:04:43.320 --> 00:04:46.080]  那麼這些二千年前的東西有沒有用呢?
[00:04:46.080 --> 00:04:48.200]  很重要
[00:04:48.200 --> 00:04:50.920]  因為當時所面對的
[00:04:50.920 --> 00:04:51.920]  你看下去
[00:04:51.920 --> 00:04:55.800]  原來正是今天你和我在二千年之後同樣繼續面對的
[00:04:55.800 --> 00:04:58.280]  首先關於耶穌
[00:04:58.280 --> 00:05:00.360]  聖經怎麼記載呢?
[00:05:00.360 --> 00:05:05.400]  第八節說你要紀念耶穌基督乃是大位的後裔
[00:05:05.400 --> 00:05:07.760]  他從死裡復活正合乎
[00:05:07.760 --> 00:05:10.360]  我所傳的福音
[00:05:10.360 --> 00:05:12.440]  保羅說我們所傳的福音
[00:05:12.440 --> 00:05:14.920]  福音英文叫做Gospel或者叫Good News
[00:05:14.920 --> 00:05:16.160]  就是好消息
[00:05:16.160 --> 00:05:17.880]  有什麼好消息給這個世界
