
[00:00:00.000 --> 00:00:04.320]  可能你會問為什麼要去研究馬拉基書呢?
[00:00:04.320 --> 00:00:07.240]  當然我有我的理由在這裡
[00:00:07.240 --> 00:00:09.680]  不過我先和大家看看
[00:00:09.680 --> 00:00:12.680]  其實我們從馬拉基書這五個講
[00:00:12.680 --> 00:00:16.920]  可以看到馬拉基書其實很全面的提醒我們
[00:00:16.920 --> 00:00:20.600]  屬靈上五方面很重要的
[00:00:20.600 --> 00:00:25.720]  甚至是今天我們北宣家的頂傳媒很需要的信職
[00:00:25.720 --> 00:00:27.640]  我自己心裡面有感動
[00:00:27.640 --> 00:00:29.240]  我自己等候的時候
[00:00:29.240 --> 00:00:32.560]  神給我這樣的感動來研讀馬拉基書
[00:00:32.560 --> 00:00:36.400]  馬拉基書不是一本很多人喜歡說的書
[00:00:36.400 --> 00:00:40.720]  我不知道你有沒有在其他的令會或者是教會裡面
[00:00:40.720 --> 00:00:44.240]  或者是其他時間研讀過馬拉基書
[00:00:44.240 --> 00:00:46.000]  我自己一邊研讀的時候
[00:00:46.000 --> 00:00:47.680]  心裡面很得著
[00:00:47.680 --> 00:00:49.200]  提醒和幫助
[00:00:49.200 --> 00:00:52.560]  我很想將這些我所得著的和大家一起分享
[00:00:52.560 --> 00:00:57.160]  所以今天開始和大家一起走這個旅程
[00:00:57.160 --> 00:01:02.040]  這個旅程不是我預備料子煮好了
[00:01:02.040 --> 00:01:02.880]  餵你們吃
[00:01:02.880 --> 00:01:03.480]  不是的
[00:01:03.480 --> 00:01:06.800]  我和你一起去發掘聖經裡面的話
[00:01:06.800 --> 00:01:09.160]  所以第一個很小的要求
[00:01:09.160 --> 00:01:10.360]  就是最基本的要求
[00:01:10.360 --> 00:01:12.760]  請你每次帶一本聖經來行不行?
[00:01:12.760 --> 00:01:15.480]  馬拉基書是舊約的
[00:01:15.480 --> 00:01:17.160]  所以一定要帶新舊約
[00:01:17.160 --> 00:01:18.280]  不好意思
[00:01:18.280 --> 00:01:20.080]  輕一點也不行
