
[00:00:00.000 --> 00:00:02.600]  我們今天是講主耶穌的十字架
[00:00:02.600 --> 00:00:05.600]  我們今天是講主耶穌基督的十字架
[00:00:05.600 --> 00:00:09.200]  很多人不清楚十字架的重要
[00:00:09.200 --> 00:00:12.300]  很多人不清楚十字架的重要
[00:00:12.300 --> 00:00:15.200]  不知道十字架的功效
[00:00:15.200 --> 00:00:17.300]  不知道十字架的功效
[00:00:17.300 --> 00:00:20.400]  願主幫助我們今天所講的道
[00:00:20.400 --> 00:00:23.200]  求主幫助我們今天所講的道
[00:00:23.200 --> 00:00:25.200]  請我們看路加福音第九章
[00:00:25.200 --> 00:00:27.700]  請各位看路加福音第九章
[00:00:27.700 --> 00:00:30.000]  二十二到二十六節
[00:00:30.000 --> 00:00:32.500]  二十二到二十六節
[00:00:32.500 --> 00:00:34.600]  再請我們看第五十一節
[00:00:34.600 --> 00:00:37.500]  再看同一章的五十一節
[00:00:37.500 --> 00:00:40.300]  主耶穌的目標就是葛國瑭
[00:00:40.300 --> 00:00:43.100]  主耶穌的目標就是葛國瑭
[00:00:43.100 --> 00:00:45.900]  祂生在世界就是為此
[00:00:45.900 --> 00:00:49.000]  祂生在這個世界就是為此
[00:00:49.000 --> 00:00:53.300]  我們今天一般人的思想
[00:00:53.300 --> 00:00:55.300]  我們今天一般人的思想
[00:00:55.300 --> 00:00:58.300]  都貫通了人文主義
[00:00:58.300 --> 00:01:01.300]  都是貫通了人文主義
[00:01:01.300 --> 00:01:03.000]  他們來信耶穌
[00:01:03.000 --> 00:01:06.000]  也抱著一個人文主義的思想
[00:01:06.000 --> 00:01:07.200]  他們來信耶穌
[00:01:07.200 --> 00:01:10.200]  都是抱著這個人本主義的思想
[00:01:10.200 --> 00:01:12.400]  他認為人為至上
[00:01:12.400 --> 00:01:14.300]  他們以為人是為至上的
[00:01:14.300 --> 00:01:17.400]  神不過是人的思想而造的
[00:01:17.400 --> 00:01:20.800]  神不過是人的思想所造出來的
[00:01:20.800 --> 00:01:24.900]  在聖父基督沒有絕對的對象
[00:01:24.900 --> 00:01:28.400]  在聖父基督沒有絕對的對象
[00:01:28.400 --> 00:01:30.400]  沒有他的實在的存在
[00:01:30.400 --> 00:01:32.500]  沒有他的實在的存在
[00:01:32.500 --> 00:01:38.100]  你思想他你的心理在他身上有作用
[00:01:38.100 --> 00:01:39.600]  你就有這樣的效應
[00:01:39.600 --> 00:01:42.200]  你思想他在你的心裏面有作用
[00:01:42.200 --> 00:01:43.700]  你就有效應
[00:01:43.700 --> 00:01:45.800]  各位這是完全錯的
[00:01:45.800 --> 00:01:47.600]  各位這是完全錯的
[00:01:47.600 --> 00:01:51.900]  我們中了這個人文主義的毒
[00:01:51.900 --> 00:01:54.400]  我們中了這個人本主義的毒
[00:01:54.400 --> 00:01:57.200]  就有很多人認為我要來信耶穌
[00:01:57.200 --> 00:01:59.400]  就有很多人認為我要來信耶穌
[00:01:59.400 --> 00:02:02.200]  信耶穌能夠教我做一個好人
[00:02:02.200 --> 00:02:04.600]  信耶穌能夠教我做一個好人
[00:02:04.600 --> 00:02:07.200]  並且我能夠做一個成功的人
[00:02:07.200 --> 00:02:09.300]  並且我能夠做一個成功的人
[00:02:09.300 --> 00:02:11.700]  能夠教我心裏的快樂
[00:02:11.700 --> 00:02:14.300]  能夠教我心裏的快樂
[00:02:14.300 --> 00:02:16.900]  他好像是在耶穌基督裏
[00:02:16.900 --> 00:02:20.200]  找到了自己能夠成功的一個方法
[00:02:20.200 --> 00:02:21.900]  好像他是在基督耶穌裏
[00:02:21.900 --> 00:02:24.600]  找到了自己能夠成功的一個方法
[00:02:24.600 --> 00:02:25.900]  各位這是錯的
[00:02:25.900 --> 00:02:27.300]  各位這是錯的
[00:02:27.300 --> 00:02:29.800]  當然我們信耶穌可以蒙恩
[00:02:29.800 --> 00:02:31.800]  當然我們信耶穌可以蒙恩
[00:02:31.800 --> 00:02:33.000]  可以心裏快樂
[00:02:33.000 --> 00:02:34.400]  可以心裏快樂
[00:02:34.400 --> 00:02:36.200]  但是這個目的這個結果
[00:02:36.200 --> 00:02:38.200]  不完全是在你個人身上
[00:02:38.200 --> 00:02:39.500]  但是這個目的這個結果
[00:02:39.500 --> 00:02:41.700]  不是完全在你個人的身上
[00:02:41.700 --> 00:02:43.700]  順利祂的慈悲救我們
[00:02:43.700 --> 00:02:45.400]  是要祂自己的榮耀
[00:02:45.400 --> 00:02:47.100]  神用祂的慈悲來救我們
[00:02:47.100 --> 00:02:50.100]  是要祂自己得到榮耀
[00:02:50.100 --> 00:02:54.500]  如果我們用這個人文主義的思想來信耶穌
[00:02:54.500 --> 00:02:57.500]  如果我們用這個人本主義的思想來信主呢
[00:02:57.500 --> 00:03:00.500]  等到我們遭遇了迫害患難痛苦
[00:03:00.500 --> 00:03:03.300]  等到我們遭遇患難迫伯痛苦
[00:03:03.300 --> 00:03:05.800]  那就可以拉到你的信仰了
[00:03:05.800 --> 00:03:08.200]  那就可以將你的信仰拉倒了
[00:03:08.200 --> 00:03:11.300]  各位我們信主歸從祂
[00:03:11.300 --> 00:03:13.600]  各位我們信主歸從祂
[00:03:13.600 --> 00:03:15.700]  是要祂的榮耀
[00:03:15.700 --> 00:03:17.300]  是要祂的榮耀
[00:03:17.300 --> 00:03:21.300]  因為神和主耶穌照這個世界照人
[00:03:21.300 --> 00:03:24.700]  因為神和主耶穌照這個世界和做人
[00:03:24.700 --> 00:03:28.000]  祂的目的是要在人身上給一座榮耀
[00:03:28.000 --> 00:03:30.900]  祂的目的是要在人的身上得著榮耀
[00:03:30.900 --> 00:03:32.100]  這樣看來
[00:03:32.100 --> 00:03:33.100]  從這樣看來
[00:03:33.100 --> 00:03:37.100]  只有神可以有這個知識的心
[00:03:37.100 --> 00:03:40.900]  只有神自己可以有這個可以說是自私的心
[00:03:40.900 --> 00:03:43.100]  聖經上有多次說到
