
[00:00:00.000 --> 00:00:03.400]  大家翻開聖經啟示錄第三章經文
[00:00:03.400 --> 00:00:06.400]  我們今天來到啟示錄第五間教會
[00:00:06.400 --> 00:00:08.600]  是殺敵教會的信息
[00:00:08.600 --> 00:00:14.200]  當我們提到警醒的時候
[00:00:14.200 --> 00:00:17.800]  我相信大家很多時候都會看到很多香港的新聞
[00:00:17.800 --> 00:00:19.400]  給我們一些提醒
[00:00:19.400 --> 00:00:24.400]  早前我看到新聞報道有關香港貨櫃車的司機
[00:00:24.400 --> 00:00:25.600]  他們的情況
[00:00:26.200 --> 00:00:31.000]  大家知道現在很多交通意外引致他人死亡的事情發生
[00:00:31.000 --> 00:00:35.200]  在當時的記者訪問司機的時候發現
[00:00:35.200 --> 00:00:37.200]  很多時候來往中港
[00:00:37.200 --> 00:00:42.000]  晚上去到在國內的地方一個大的停車場
[00:00:42.000 --> 00:00:43.800]  停下貨櫃車之後
[00:00:43.800 --> 00:00:45.400]  很想休息一下
[00:00:45.400 --> 00:00:49.400]  附近有很多特別為他們開設了的酒吧
[00:00:49.400 --> 00:00:51.600]  卡拉OK 酒店
[00:00:51.600 --> 00:00:54.000]  很自然他們進去休息
[00:00:54.600 --> 00:00:56.800]  但當中有很多的吸引
[00:00:56.800 --> 00:00:59.200]  因此他們就醉酒
[00:00:59.200 --> 00:01:01.600]  然後就享受他們的晚上
[00:01:01.600 --> 00:01:04.000]  但晚上早上起來
[00:01:04.000 --> 00:01:05.600]  可能都睡了兩三個小時
[00:01:05.600 --> 00:01:07.200]  都酒醉未醒
[00:01:07.200 --> 00:01:08.400]  就開始開車
[00:01:08.400 --> 00:01:10.800]  然後大家知道發生什麼事情
[00:01:10.800 --> 00:01:14.000]  有些時候看到這些情況的時候會很明白
[00:01:14.000 --> 00:01:15.800]  當人在很疲倦
[00:01:15.800 --> 00:01:17.600]  或者在繁忙之後
[00:01:17.600 --> 00:01:19.800]  正如香港人常常所經歷的
[00:01:19.800 --> 00:01:22.600]  我們都希望有一些時間能夠可以休息
[00:01:22.600 --> 00:01:24.000]  可以鬆弛
[00:01:24.600 --> 00:01:26.200]  但一鬆弛的時候
[00:01:26.200 --> 00:01:27.800]  就變成鬆懈
[00:01:27.800 --> 00:01:30.000]  就變成放縱
[00:01:30.000 --> 00:01:32.600]  在那時候就會很不小心
[00:01:32.600 --> 00:01:35.000]  甚至跌在一些陷阱裡面
[00:01:35.000 --> 00:01:37.600]  沒錯我們不是不可以休息
[00:01:37.600 --> 00:01:39.000]  不可以放假
[00:01:39.000 --> 00:01:41.600]  但不表示當我們休息的時候
[00:01:41.600 --> 00:01:43.800]  我們就放下一切的
[00:01:43.800 --> 00:01:45.000]  一切的
[00:01:45.000 --> 00:01:46.200]  留心
[00:01:46.200 --> 00:01:48.400]  環境的一種注意
[00:01:48.400 --> 00:01:49.400]  不設防
[00:01:49.400 --> 00:01:51.600]  任何的影響就照樣
[00:01:51.600 --> 00:01:53.800]  讓他們影響我們
[00:01:54.800 --> 00:01:58.200]  我記得有位牧師的朋友在外面告訴我
[00:01:58.200 --> 00:02:01.600]  他說我慢慢發覺我星期天晚上要特別警醒
[00:02:01.600 --> 00:02:05.000]  我就問他為什麼星期天晚上要特別警醒
[00:02:05.000 --> 00:02:06.800]  他說很多次就是
[00:02:06.800 --> 00:02:09.600]  試過早上到下午傍晚
[00:02:09.600 --> 00:02:11.000]  很多不同的工作
[00:02:11.000 --> 00:02:12.400]  見很多弟兄姊妹
[00:02:12.400 --> 00:02:14.400]  到了晚上吃完飯之後
[00:02:14.400 --> 00:02:16.600]  個人可以鬆一下
[00:02:16.600 --> 00:02:19.000]  一鬆一下做什麼呢
[00:02:19.000 --> 00:02:20.400]  看電視
[00:02:20.400 --> 00:02:22.200]  打開電視機
[00:02:22.200 --> 00:02:23.600]  就一邊看
[00:02:24.400 --> 00:02:26.000]  沒錯可以休息一下
[00:02:26.000 --> 00:02:27.600]  但他說試過幾次
[00:02:27.600 --> 00:02:29.200]  他人已經很累
[00:02:29.200 --> 00:02:31.200]  因此就一邊看
[00:02:31.200 --> 00:02:33.000]  看到心燒
[00:02:33.000 --> 00:02:36.400]  甚至看了一些很不應該看的部分
[00:02:36.400 --> 00:02:39.800]  他說在那段時間當自己鬆懈的時候
[00:02:39.800 --> 00:02:41.200]  就發覺有些時候
[00:02:41.200 --> 00:02:42.600]  看了一些不應該看的
[00:02:42.600 --> 00:02:45.600]  一些的影片或者是一些的東西
[00:02:45.600 --> 00:02:48.800]  他說在那個情況之下我自己要警覺
[00:02:48.800 --> 00:02:50.200]  將來每次星期天
[00:02:50.200 --> 00:02:52.200]  在吃完飯晚飯之後
[00:02:52.200 --> 00:02:54.200]  就要特別留心為自己祈禱
[00:02:54.200 --> 00:02:55.800]  然後才讓自己休息
[00:02:55.800 --> 00:02:58.400]  這個我想大家都會體會到
[00:02:58.400 --> 00:03:01.000]  很多時候我們有的一個挑戰
[00:03:01.000 --> 00:03:03.800]  各位弟兄姊妹當我們想到這個環境
