
[00:00:00.000 --> 00:00:05.000]  同工各位弟兄姊妹
[00:00:05.000 --> 00:00:08.000]  我再重複地提一提
[00:00:08.000 --> 00:00:11.000]  我們這兩天的研討會裏面
[00:00:11.000 --> 00:00:13.000]  有三個基本的觀念
[00:00:13.000 --> 00:00:14.000]  我再提一提
[00:00:14.000 --> 00:00:16.000]  我們在這兩天的研討會裏面
[00:00:16.000 --> 00:00:17.000]  有三個基本的觀念
[00:00:17.000 --> 00:00:20.000]  第一個基本的觀念
[00:00:20.000 --> 00:00:22.000]  就是在教會裏面
[00:00:22.000 --> 00:00:25.000]  每一個人都是牧人
[00:00:25.000 --> 00:00:26.000]  就是在教會裏面
[00:00:26.000 --> 00:00:29.000]  每一個人都是牧人
[00:00:29.000 --> 00:00:32.000]  有大牧人主耶穌
[00:00:32.000 --> 00:00:36.000]  有傳道人做我們的牧人
[00:00:36.000 --> 00:00:39.000]  然後在我們的整個教會裏面
[00:00:39.000 --> 00:00:42.000]  長老知識各部門的領袖
[00:00:42.000 --> 00:00:44.000]  每一位會友都是牧人
[00:00:44.000 --> 00:00:46.000]  在我們的整個教會裏面
[00:00:46.000 --> 00:00:48.000]  長老是執事
[00:00:48.000 --> 00:00:52.000]  各部門的領袖和兄弟姊妹都是牧人
[00:00:52.000 --> 00:00:55.000]  我們彼此牧養
[00:00:55.000 --> 00:00:58.000]  第二個基本的觀念
[00:00:58.000 --> 00:01:02.000]  就是每一個牧養別人的人
[00:01:02.000 --> 00:01:05.000]  同時需要被牧養
[00:01:05.000 --> 00:01:07.000]  就是每一個牧養別人的人
[00:01:07.000 --> 00:01:09.000]  都需要被牧養
[00:01:09.000 --> 00:01:12.000]  沒有一個人單單去牧養人
[00:01:12.000 --> 00:01:15.000]  而自己不需要被牧養
[00:01:15.000 --> 00:01:16.000]  沒有一個人是可以
[00:01:16.000 --> 00:01:17.000]  自己擔起牧養工作
[00:01:17.000 --> 00:01:19.000]  而不需要被牧養的
[00:01:19.000 --> 00:01:21.000]  所以牧養和被牧養
[00:01:21.000 --> 00:01:24.000]  是二而一 一而二的
[00:01:24.000 --> 00:01:26.000]  所以牧養和被牧養
[00:01:26.000 --> 00:01:28.000]  是二而一 一而二的
[00:01:28.000 --> 00:01:30.000]  第三個基本的觀念
[00:01:30.000 --> 00:01:32.000]  第三個基本觀念
[00:01:32.000 --> 00:01:34.000]  就是時代性
[00:01:34.000 --> 00:01:36.000]  就是時代性
