
[00:00:00.000 --> 00:00:07.000]  我請大家再看回剛才讀的《聖經》詩篇第62篇
[00:00:07.000 --> 00:00:12.000]  我們思想如何專心等候那位賜能力的主
[00:00:12.000 --> 00:00:14.000]  大家都會體會到在這幾個星期
[00:00:14.000 --> 00:00:17.000]  整個世界有很多的變化
[00:00:17.000 --> 00:00:21.000]  不單單是金融的海嘯、很多的波動
[00:00:21.000 --> 00:00:26.000]  同時我們都察覺仍然有很多天災地震等等的事情
[00:00:26.000 --> 00:00:28.000]  是不斷地出現
[00:00:28.000 --> 00:00:32.000]  在這些情況下,讓我們想起末世的日子
[00:00:32.000 --> 00:00:37.000]  聖經提到末世多有天災和地震的事情
[00:00:37.000 --> 00:00:40.000]  特別在聖經的提摩太傳書提及
[00:00:40.000 --> 00:00:44.000]  在末世的時候有些危險、艱難的日子
[00:00:44.000 --> 00:00:49.000]  甚至提及在教會當中有些弟兄姊妹很多跌倒了
[00:00:49.000 --> 00:00:54.000]  甚至彼此的恨惡、彼此的背叛
[00:00:54.000 --> 00:00:58.000]  在這些情況下,聖經提及一個極大的問題
[00:00:58.000 --> 00:01:03.000]  就是很多信徒經驗到一種只是外表的敬虔
[00:01:03.000 --> 00:01:08.000]  聖經說有敬虔的外貌或敬虔的形式
[00:01:08.000 --> 00:01:11.000]  但是背了敬虔的能力
[00:01:11.000 --> 00:01:13.000]  中文聖經也叫做實意
[00:01:13.000 --> 00:01:17.000]  背了那種真正的屬靈的實質的能力
[00:01:17.000 --> 00:01:20.000]  有外表那種好像是敬虔的形式
[00:01:20.000 --> 00:01:22.000]  但是沒有真實的能力
[00:01:22.000 --> 00:01:25.000]  很多人追求一種神蹟奇事
[00:01:25.000 --> 00:01:29.000]  有些很可能是來自一些虛假的勢力
[00:01:29.000 --> 00:01:34.000]  但是卻沒有一種真正更新改變生命的能力
[00:01:34.000 --> 00:01:37.000]  因此在這個時代我們很小心尋求的就是
[00:01:37.000 --> 00:01:40.000]  不單單我們能夠跟神有一種密切的關係
[00:01:40.000 --> 00:01:46.000]  而在關係當中去求神給我們一種真正的生命更新改變的能力
[00:01:46.000 --> 00:01:51.000]  以致我們可以真正的去見證神、去榮耀神
[00:01:51.000 --> 00:01:56.000]  而詩篇上講到得著能力一個最重要的關鍵
[00:01:56.000 --> 00:01:59.000]  兩個字就是等候
[00:01:59.000 --> 00:02:03.000]  等候神從祂那裡領受恩惠和能力
[00:02:03.000 --> 00:02:05.000]  所以我們從這樣的角度去思想
[00:02:05.000 --> 00:02:07.000]  62篇的經文
[00:02:07.000 --> 00:02:10.000]  一開始的時候聖經就提及一件事情
