
[00:00:00.000 --> 00:00:03.640]  我們講馬太福音已經來到馬太福音的26章
[00:00:03.640 --> 00:00:07.200]  過去第一至25章就是講到耶穌
[00:00:07.200 --> 00:00:08.720]  就是祂的降生
[00:00:08.720 --> 00:00:11.760]  祂在地上有幾年的時間去工作
[00:00:11.760 --> 00:00:12.920]  行了很多神蹟
[00:00:12.920 --> 00:00:14.640]  講了很多天道
[00:00:14.640 --> 00:00:19.720]  目的就是要讓人去認識上帝的審判
[00:00:19.720 --> 00:00:21.640]  也都認識上帝的舊任
[00:00:21.640 --> 00:00:22.920]  天國近了
[00:00:22.920 --> 00:00:24.920]  你們應當悔改
[00:00:24.920 --> 00:00:27.080]  也都講到耶穌就是來的
[00:00:27.080 --> 00:00:30.040]  上帝差派來的那一個的救主
[00:00:30.040 --> 00:00:33.720]  那一個要拯救我們的那一個的救主
[00:00:33.720 --> 00:00:38.440]  接著耶穌在第23章那裡
[00:00:38.440 --> 00:00:40.240]  一開始其實一直下來
[00:00:40.240 --> 00:00:43.880]  都對那些宗教領袖有一個指控
[00:00:43.880 --> 00:00:46.440]  說他們只有一個宗教的外表
[00:00:46.440 --> 00:00:48.640]  卻是沒有宗教的內容
[00:00:48.640 --> 00:00:50.120]  沒有宗教的生命
[00:00:50.120 --> 00:00:53.280]  這班宗教領袖聽完之後
[00:00:53.280 --> 00:00:54.840]  有沒有一個悔改呢?
[00:00:54.840 --> 00:00:55.320]  沒有
[00:00:55.320 --> 00:00:57.160]  變本加厲的上去
[00:00:57.160 --> 00:00:58.800]  一步一步的
[00:00:58.800 --> 00:01:01.720]  想著怎樣將耶穌治之死地
[00:01:01.720 --> 00:01:04.920]  在這段經文頭幾節
[00:01:04.920 --> 00:01:08.040]  一個很諷刺的意味
[00:01:08.040 --> 00:01:09.000]  我表達了
[00:01:09.000 --> 00:01:12.440]  一個創造天地的那一位主
[00:01:12.440 --> 00:01:17.560]  祂應該要審判地上每一個的罪人
[00:01:17.560 --> 00:01:19.280]  但現在來到這個世界
[00:01:19.280 --> 00:01:24.680]  祂竟然被當中的罪人施行審判
[00:01:25.160 --> 00:01:28.080]  一個君王的離賽
[00:01:28.080 --> 00:01:31.240]  一個榮耀的人子將要受害
