
[00:00:00.000 --> 00:00:03.440]  究竟基督徒應該怎樣看政治呢?
[00:00:03.440 --> 00:00:08.240]  政治本身原來都是一種神學想像?
[00:00:08.240 --> 00:00:11.560]  今天就想和大家看一本頗特別的書
[00:00:11.560 --> 00:00:15.200]  書名叫做《Theo-political imagination》
[00:00:15.200 --> 00:00:18.440]  中文譯作《聖餐的政治學》
[00:00:18.440 --> 00:00:21.680]  作者是William Calvin Orr
[00:00:21.680 --> 00:00:26.600]  他是美國當代天主教一位頗重要的思想家
[00:00:26.600 --> 00:00:31.400]  整本書其實是想帶我們思考一個問題
[00:00:31.400 --> 00:00:34.680]  就是究竟基督徒應該怎樣看世界呢?
[00:00:34.680 --> 00:00:38.280]  特別是在世界裏面的政治和社會
[00:00:38.280 --> 00:00:40.840]  我們應該怎樣去看呢?
[00:00:40.840 --> 00:00:45.360]  作者在書裏面其實他劈頭就說
[00:00:45.360 --> 00:00:48.680]  Politics is a practice of imagination
[00:00:48.680 --> 00:00:50.920]  他講甚麼呢?其實就是說
[00:00:50.920 --> 00:00:57.400]  政治其實不只是純粹是選舉、政府、法律等
[00:00:57.400 --> 00:01:00.920]  其實政治是一種想像
[00:01:00.920 --> 00:01:05.600]  是一種人用來理解世界的想像
[00:01:05.600 --> 00:01:07.720]  作者其實想和我們說
[00:01:07.720 --> 00:01:11.480]  這些想像其實會影響我們怎樣看空間
[00:01:11.480 --> 00:01:14.280]  怎樣看時間
[00:01:14.280 --> 00:01:16.760]  而世界的這些權力
[00:01:16.760 --> 00:01:22.600]  其實都在我們看的這些很普通的想像裏面運作
[00:01:22.600 --> 00:01:25.960]  甚麼意思呢?其實再講下去就是
[00:01:25.960 --> 00:01:29.000]  作者在書裏面其實和我們在分析
[00:01:29.000 --> 00:01:32.200]  現代國家其實是怎樣塑造空間
[00:01:32.200 --> 00:01:33.680]  例如我們講到空間
[00:01:33.680 --> 00:01:38.920]  很多時候可能都會問這個國家的東西
[00:01:38.920 --> 00:01:43.480]  例如國家的邊界在哪裏
