
[00:00:00.000 --> 00:00:04.000]  請我們打開路加福音第六章
[00:00:04.000 --> 00:00:08.800]  唐用聖經一千五百五十二頁
[00:00:08.800 --> 00:00:17.280]  路加福音第六章二十七至三十六節
[00:00:17.280 --> 00:00:20.320]  剛才讀的時候,我相信大家都留意到
[00:00:20.320 --> 00:00:23.640]  也較為熟悉的一段聖經
[00:00:23.640 --> 00:00:26.160]  在馬太福音第五章至第七章
[00:00:26.160 --> 00:00:29.800]  這個登山部分也有相類似的記載
[00:00:29.800 --> 00:00:34.360]  當然也有少許不同的重點
[00:00:34.360 --> 00:00:36.360]  如果你很誠實地留心
[00:00:36.360 --> 00:00:39.080]  剛才我們所讀這段聖經的時候
[00:00:39.080 --> 00:00:43.520]  我想你第一個反應就是很難
[00:00:43.520 --> 00:00:46.640]  很難,是吧?
[00:00:46.640 --> 00:00:48.000]  有兩個意思
[00:00:48.000 --> 00:00:50.120]  第一,很難做得到
[00:00:50.120 --> 00:00:52.880]  就座你的,你要祝福他
[00:00:52.880 --> 00:00:55.960]  凌辱你的,你要為他祈禱
[00:00:55.960 --> 00:01:00.480]  借出去的東西,你以為不用還嗎?
[00:01:00.480 --> 00:01:03.360]  很難,是吧?
[00:01:03.360 --> 00:01:06.720]  第二個難處,當然是耶穌叫我們這樣做的時候
[00:01:06.720 --> 00:01:08.600]  那怎麼去解釋呢?
[00:01:08.600 --> 00:01:10.600]  就很難解釋了
[00:01:10.600 --> 00:01:14.080]  跟也不是,不跟也不聽話,那怎麼做呢?
[00:01:14.080 --> 00:01:16.840]  這就是我們今天要研究的課題
[00:01:16.840 --> 00:01:22.200]  我們以敬虔生命這個主題來看這段聖經
[00:01:22.200 --> 00:01:26.440]  首先我們要留意,耶穌所說的話
[00:01:26.440 --> 00:01:30.520]  並沒有企圖建立一種社會制度
[00:01:30.520 --> 00:01:34.240]  因為祂是特別對著基督徒說的
[00:01:34.240 --> 00:01:35.880]  剛才我們所讀的時候說
[00:01:35.880 --> 00:01:38.680]  如果你愛那些,只愛你的罪人都可以
[00:01:38.680 --> 00:01:41.680]  耶穌很明顯的,他的聽眾
[00:01:41.680 --> 00:01:44.720]  是那些跟其他較愛的人不同的
[00:01:44.720 --> 00:01:46.840]  祂特別對那些有神的基督徒
[00:01:46.840 --> 00:01:49.760]  所以祂不是要建立一般的社會制度
[00:01:49.760 --> 00:01:52.960]  一般的社會制度很難說人家打你左邊
[00:01:52.960 --> 00:01:55.040]  要求他右邊也被人打
[00:01:55.040 --> 00:01:55.880]  是吧?
[00:01:55.880 --> 00:01:57.760]  就是說一個社會制度裡面
[00:01:57.760 --> 00:01:59.400]  真正一個正常的社會
[00:01:59.400 --> 00:02:02.720]  怎樣也要有監獄、警察、槍才行
[00:02:02.720 --> 00:02:03.960]  是吧?不然怎麼搞定?
[00:02:03.960 --> 00:02:06.280]  亂七八糟的,有人打你一邊,也會被人打
[00:02:06.280 --> 00:02:08.440]  這個社會,天堂就行
[00:02:08.440 --> 00:02:10.160]  地上就不行,是吧?
[00:02:10.160 --> 00:02:13.160]  借錢出去,不用他們還,那銀行還用做的?
[00:02:13.160 --> 00:02:14.760]  是不是?
[00:02:14.760 --> 00:02:18.120]  那這個肯定不是要建立一種一般的社會制度
[00:02:18.120 --> 00:02:20.240]  是特別給我們這些基督徒
[00:02:20.240 --> 00:02:22.840]  有神的人的一種獨特的要求
[00:02:22.840 --> 00:02:24.320]  這是第一點
[00:02:24.320 --> 00:02:29.320]  不過更加敏感和要特別留意的就是
[00:02:29.320 --> 00:02:33.280]  究竟耶穌有沒有要求我們在這段聖經裡面
[00:02:33.280 --> 00:02:37.640]  按照字面來表現呢?
[00:02:37.640 --> 00:02:39.800]  歷代的神學家有很多的討論
[00:02:39.800 --> 00:02:41.280]  但大部分,我告訴你
[00:02:41.280 --> 00:02:43.680]  從奧古斯丁,第五世紀的
[00:02:43.680 --> 00:02:47.040]  一直到二十世紀的美國神學家尼泊爾
[00:02:47.040 --> 00:02:48.840]  到比較有名的,大家認識的
[00:02:48.840 --> 00:02:51.880]  追隨基督的作者,德國的神學家潘福華
[00:02:51.880 --> 00:02:53.920]  都認為耶穌這麼說的時候
[00:02:53.920 --> 00:02:59.920]  沒有要求我們按照字面的,跟足地做
[00:02:59.920 --> 00:03:01.440]  所以不是我的
[00:03:01.440 --> 00:03:03.880]  有人和我一起想法而已
[00:03:03.880 --> 00:03:05.280]  你不要想著我的異端
[00:03:05.280 --> 00:03:08.160]  就是說,耶穌沒有要求我們
[00:03:08.160 --> 00:03:11.920]  被人右邊打巴的時候,轉到左邊給他打
[00:03:11.920 --> 00:03:13.920]  也沒有要求說一定
[00:03:13.920 --> 00:03:16.320]  借出去的錢不用別人還
[00:03:16.320 --> 00:03:19.280]  也沒有要求別人拿我們的外衣
[00:03:19.280 --> 00:03:21.920]  連裡面的衣服都給他
[00:03:21.920 --> 00:03:24.320]  沒有這樣的要求
[00:03:24.320 --> 00:03:25.360]  是不是啊?
[00:03:25.360 --> 00:03:27.040]  你搞不定,做不到
[00:03:27.040 --> 00:03:29.120]  你就硬要按低水準而已
[00:03:29.120 --> 00:03:31.440]  不是
[00:03:31.440 --> 00:03:32.560]  如果你舉個例子
[00:03:32.560 --> 00:03:35.480]  你看約翰福音第十八章二十三節
[00:03:35.480 --> 00:03:39.000]  當耶穌被人抓去審問的時候
[00:03:39.000 --> 00:03:40.120]  大家記得嗎?
[00:03:40.120 --> 00:03:42.800]  大祭司審問他一段話
[00:03:42.800 --> 00:03:44.040]  耶穌回答他
[00:03:44.040 --> 00:03:45.560]  大祭司很不滿意
[00:03:45.560 --> 00:03:48.680]  連他的僕人、僕役都不滿意
[00:03:48.680 --> 00:03:52.160]  於是僕役走過來就打他一巴掌
[00:03:52.160 --> 00:03:54.520]  你有沒有留意耶穌的反應?
[00:03:54.520 --> 00:03:56.880]  耶穌有沒有說,喂,坐這邊
[00:03:56.880 --> 00:03:58.160]  整個一巴掌
[00:03:58.160 --> 00:03:59.440]  沒有啊
[00:03:59.440 --> 00:04:00.400]  耶穌怎麼反應?
[00:04:00.400 --> 00:04:01.760]  二十三節那裡,耶穌說
[00:04:01.760 --> 00:04:04.920]  如果我說錯話,你就打我
[00:04:04.920 --> 00:04:07.320]  但如果我說對的話,你沒理由要打我
[00:04:07.320 --> 00:04:08.960]  耶穌都沒有這樣做
[00:04:08.960 --> 00:04:11.400]  那是不是說耶穌自己自相矛盾呢?
