
[00:00:00.000 --> 00:00:04.800]  今天其實是敬拜讚美與神相遇
[00:00:04.800 --> 00:00:07.600]  很簡單的說三件事
[00:00:07.600 --> 00:00:10.400]  三件事我覺得是很重要的真理
[00:00:10.400 --> 00:00:12.000]  但真的很想說
[00:00:12.000 --> 00:00:15.000]  就用短短的時間跟大家分享
[00:00:15.000 --> 00:00:17.200]  說出來一定會容易記得
[00:00:17.200 --> 00:00:22.400]  所以我沒有大綱或者powerpoint
[00:00:22.400 --> 00:00:24.600]  大家用腦記住
[00:00:24.600 --> 00:00:25.800]  第一件事
[00:00:25.800 --> 00:00:27.200]  敬拜
[00:00:27.200 --> 00:00:30.000]  剛才我們也敬拜了45分鐘
[00:00:30.000 --> 00:00:32.200]  我們每個禮拜都有敬拜
[00:00:32.200 --> 00:00:35.200]  究竟敬拜在神的心意
[00:00:35.200 --> 00:00:37.400]  在聖經裏面是怎樣的
[00:00:37.400 --> 00:00:39.200]  這是第一個問題
[00:00:39.200 --> 00:00:40.400]  敬拜是做什麼的呢
[00:00:40.400 --> 00:00:42.600]  敬拜是為了什麼呢
[00:00:42.600 --> 00:00:44.600]  我相信剛才我們已經
[00:00:44.600 --> 00:00:46.600]  或者弟兄姊妹本來已經
[00:00:46.600 --> 00:00:48.200]  是很把握到的
[00:00:48.200 --> 00:00:50.200]  敬拜是什麼
[00:00:50.200 --> 00:00:53.400]  是敬拜神
[00:00:53.400 --> 00:00:54.800]  敬拜
[00:00:54.800 --> 00:00:59.200]  很感謝姐妹們剛才把舊約裏面兩段很重要的
[00:00:59.200 --> 00:01:02.200]  聖經關於敬拜給我們看的
[00:01:02.200 --> 00:01:04.200]  很具體的
[00:01:04.200 --> 00:01:07.200]  瓦割 即以色列的敬拜
[00:01:07.200 --> 00:01:10.400]  和約沙伐的敬拜
[00:01:10.400 --> 00:01:11.600]  舊約說了
[00:01:11.600 --> 00:01:14.000]  不如我補充一點新約
[00:01:14.000 --> 00:01:16.400]  新約裏面的敬拜
[00:01:16.400 --> 00:01:18.000]  都是一樣的
[00:01:18.000 --> 00:01:19.400]  敬拜這個字
[00:01:19.400 --> 00:01:21.400]  最常用的一個字
[00:01:21.400 --> 00:01:23.400]  叫Latrio
[00:01:23.400 --> 00:01:25.400]  Latrio這個希臘文
[00:01:25.400 --> 00:01:27.400]  其實很簡單
[00:01:27.400 --> 00:01:30.400]  就是去到那個王的面前
[00:01:30.400 --> 00:01:34.400]  跪下去尊崇他
[00:01:34.400 --> 00:01:36.400]  就這麼簡單
[00:01:36.400 --> 00:01:37.400]  我也明白了
[00:01:37.400 --> 00:01:39.400]  我也很熟悉這個字
[00:01:39.400 --> 00:01:42.400]  其實這個是什麼意思
[00:01:42.400 --> 00:01:44.400]  我想大家特別再提一次
[00:01:44.400 --> 00:01:46.400]  來敬拜
[00:01:46.400 --> 00:01:48.400]  最核心的
[00:01:48.400 --> 00:01:50.400]  最重要的
[00:01:50.400 --> 00:01:52.400]  就是來碰撞到神
[00:01:52.400 --> 00:01:54.400]  來敬拜
[00:01:54.400 --> 00:01:56.400]  就是最重要的
[00:01:56.400 --> 00:01:57.400]  沒有其他
[00:01:57.400 --> 00:01:59.400]  比這個更重要的核心
[00:01:59.400 --> 00:02:01.400]  就是要親近神
[00:02:01.400 --> 00:02:03.400]  對神說我愛你
[00:02:03.400 --> 00:02:05.400]  我尊崇你
[00:02:05.400 --> 00:02:08.400]  甚至我要侍奉你
[00:02:08.400 --> 00:02:11.400]  你說這個字
[00:02:11.400 --> 00:02:14.400]  有哪一段聖經特別是我熟悉的
[00:02:14.400 --> 00:02:16.400]  或者是有代表性的
[00:02:16.400 --> 00:02:18.400]  其實最有代表性的
[00:02:18.400 --> 00:02:19.400]  可能你沒有想到
