
[00:00:00.000 --> 00:00:04.000]  各位主內弟兄姊妹,平安!
[00:00:04.000 --> 00:00:09.000]  在全本新舊約聖經當中
[00:00:09.000 --> 00:00:14.000]  你可否想到有哪幾個人物
[00:00:14.000 --> 00:00:21.000]  是經文從他出生到他死亡
[00:00:21.000 --> 00:00:27.000]  記載一生的經過?
[00:00:27.000 --> 00:00:32.000]  我們馬上想起新約聖經記載主耶穌
[00:00:32.000 --> 00:00:38.000]  從馬槽到十字架復印處
[00:00:38.000 --> 00:00:41.000]  沒錯,舊約
[00:00:41.000 --> 00:00:50.000]  我們亦會想起摩西從水中拯救出來
[00:00:50.000 --> 00:00:53.000]  在法魯王宮長大
[00:00:53.000 --> 00:00:58.000]  帶領以色列人出埃及過紅海
[00:00:58.000 --> 00:01:01.000]  最後生命記三十四章
[00:01:01.000 --> 00:01:07.000]  記載他上尼泊山離開世界
[00:01:07.000 --> 00:01:10.000]  或者你會還想起
[00:01:10.000 --> 00:01:16.000]  還有舊約另一個人物薩姆爾
[00:01:16.000 --> 00:01:21.000]  薩姆爾記上第一章開始
[00:01:21.000 --> 00:01:26.000]  一直到薩姆爾記上最後記載
[00:01:26.000 --> 00:01:33.000]  薩姆爾離開世界是二十八章
[00:01:33.000 --> 00:01:39.000]  記載一生的聖經人物其實不多
[00:01:39.000 --> 00:01:43.000]  如果你想到第四個你告訴我
[00:01:43.000 --> 00:01:47.000]  不過薩姆爾特別的地方就是
[00:01:47.000 --> 00:01:52.000]  其實經文是由他未出世之前
[00:01:52.000 --> 00:01:57.000]  一直記載到他死了之後
[00:01:57.000 --> 00:02:01.000]  還再出現一次
[00:02:01.000 --> 00:02:06.000]  就好像我們想起主耶穌的一生
[00:02:06.000 --> 00:02:09.000]  從福音書開始
[00:02:09.000 --> 00:02:14.000]  瑪利亞見到天使報信
[00:02:14.000 --> 00:02:20.000]  到主耶穌復活聖天
[00:02:20.000 --> 00:02:24.000]  當然薩姆爾不是主耶穌
[00:02:24.000 --> 00:02:28.000]  不過都值得我們留意
[00:02:28.000 --> 00:02:34.000]  聖經是怎樣記載薩姆爾這個人物
[00:02:34.000 --> 00:02:39.000]  他的特別不單止好像主耶穌一樣
[00:02:39.000 --> 00:02:46.000]  從出生到死亡甚至死了之後
[00:02:46.000 --> 00:02:52.000]  我們想起創世紀記載阿伯
[00:02:52.000 --> 00:02:57.000]  雖然死了仍舊說話
[00:02:57.000 --> 00:02:59.000]  希伯來書十一章
[00:02:59.000 --> 00:03:03.000]  將阿伯和很多舊約的聖經人物
[00:03:03.000 --> 00:03:11.000]  包括薩姆爾都列為信心的偉人
[00:03:11.000 --> 00:03:20.000]  薩姆爾是以法蓮之派的人
[00:03:20.000 --> 00:03:22.000]  薩姆爾記上第一章
[00:03:22.000 --> 00:03:27.000]  一開始記載從他父親
[00:03:27.000 --> 00:03:32.000]  講起四代簡單的家譜
[00:03:32.000 --> 00:03:37.000]  不過歷代至上第六章二十七節
[00:03:37.000 --> 00:03:42.000]  就交代薩姆爾是利未人
[00:03:42.000 --> 00:03:47.000]  如何去討論
[00:03:47.000 --> 00:03:52.000]  聖經對於這些出入
[00:03:52.000 --> 00:03:55.000]  其實不是太緊張
[00:03:55.000 --> 00:03:58.000]  所以如果我們轉去看
[00:03:58.000 --> 00:04:02.000]  到底薩姆爾是哪一個支派的人物
[00:04:02.000 --> 00:04:11.000]  其實我們會觸錯了經文一開始的重點
[00:04:11.000 --> 00:04:17.000]  因為經文不是著重薩姆爾的來歷
[00:04:17.000 --> 00:04:19.000]  名門望早
[00:04:19.000 --> 00:04:21.000]  還是哪一個支派
[00:04:21.000 --> 00:04:25.000]  哪一個偉大的人物的子孫
[00:04:25.000 --> 00:04:28.000]  薩姆爾記上是從
[00:04:28.000 --> 00:04:34.000]  大家都記得他母親祈禱開始
[00:04:34.000 --> 00:04:37.000]  這是我們的看法
[00:04:37.000 --> 00:04:41.000]  但如果我們像經文那樣追問
[00:04:41.000 --> 00:04:45.000]  為何他母親要到侍羅聖所祈禱
[00:04:45.000 --> 00:04:48.000]  他心裏面受罰
[00:04:48.000 --> 00:04:51.000]  為何他有這個苦惱
[00:04:51.000 --> 00:04:54.000]  他家被人欺負
[00:04:54.000 --> 00:04:57.000]  為何他被人欺負
[00:04:57.000 --> 00:05:02.000]  因為他沒有兒子
[00:05:02.000 --> 00:05:06.000]  其實整件事的起頭
[00:05:06.000 --> 00:05:12.000]  原來不是母親的祈禱
[00:05:12.000 --> 00:05:20.000]  而是上帝使得這個婦人沒有兒子
[00:05:20.000 --> 00:05:22.000]  他不是不能生的
[00:05:22.000 --> 00:05:25.000]  後來如果你讀薩姆爾記的記載
[00:05:25.000 --> 00:05:29.000]  薩姆爾是有弟弟妹妹的
[00:05:29.000 --> 00:05:33.000]  不過上帝在這裏在做甚麼
[00:05:33.000 --> 00:05:37.000]  所以如果我們只是從媽媽的祈禱開始
[00:05:37.000 --> 00:05:38.000]  我們就忘記了
[00:05:38.000 --> 00:05:44.000]  其實這都是回應上帝開始做一些事情
[00:05:44.000 --> 00:05:46.000]  在這個家庭當中
[00:05:46.000 --> 00:05:53.000]  以至到母親來到上帝的面前禱告
[00:05:53.000 --> 00:05:57.000]  薩姆爾就出世
[00:05:57.000 --> 00:06:00.000]  我們經常說上帝聽祈禱
[00:06:00.000 --> 00:06:04.000]  所以給薩姆爾、給哈娜
[00:06:04.000 --> 00:06:06.000]  反過來看
[00:06:06.000 --> 00:06:12.000]  其實是上帝叫哈娜來到他面前祈禱
[00:06:12.000 --> 00:06:16.000]  然後薩姆爾出生
[00:06:16.000 --> 00:06:22.000]  母親將孩子奉獻送到聖所
[00:06:22.000 --> 00:06:28.000]  這些全部都是舊約聖經的歷史人物的典故
[00:06:28.000 --> 00:06:33.000]  尼伯加、撒拉沒有兒子
[00:06:33.000 --> 00:06:39.000]  將孩子獻上史詩的時期
[00:06:39.000 --> 00:06:45.000]  在薩姆爾記之前參算的故事
[00:06:45.000 --> 00:06:47.000]  這些如果我們熟悉聖經
[00:06:47.000 --> 00:06:48.000]  我們都會想起
[00:06:48.000 --> 00:06:52.000]  其實薩姆爾的出生一開始
[00:06:52.000 --> 00:06:57.000]  我們看到上帝的揀選
[00:06:57.000 --> 00:07:00.000]  不過上帝這個揀選
[00:07:00.000 --> 00:07:10.000]  是發生在一個內憂外患的以色列歷史的時刻
[00:07:10.000 --> 00:07:15.000]  內憂是事羅的祭司
[00:07:15.000 --> 00:07:21.000]  以利的家庭非常之敗壞
[00:07:21.000 --> 00:07:28.000]  外患非利士強倫厄景
[00:07:28.000 --> 00:07:30.000]  在這個時候
