
[00:00:00.000 --> 00:00:03.520]  今日跟大家分享三字經文
[00:00:03.520 --> 00:00:07.520]  《出埃及記》二十章一至三節
[00:00:07.520 --> 00:00:11.440]  我們一起讀出來
[00:00:11.440 --> 00:00:13.760]  預備起
[00:00:13.760 --> 00:00:17.440]  「神吩咐這一切的話說
[00:00:17.440 --> 00:00:19.720]  可視耶和華你的神
[00:00:19.720 --> 00:00:24.600]  曾將你從埃及地遺奴之家領出來
[00:00:24.600 --> 00:00:26.400]  除了我以外
[00:00:26.400 --> 00:00:30.160]  你不可有別的神」
[00:00:30.160 --> 00:00:32.240]  今日題目很簡單
[00:00:32.240 --> 00:00:33.840]  「神一」
[00:00:33.840 --> 00:00:38.040]  「世一」大家這一年來經常聽我
[00:00:38.040 --> 00:00:41.400]  有些人問「甚麽叫世一」
[00:00:41.400 --> 00:00:46.120]  其實縮寫的說法叫「世界第一」
[00:00:46.120 --> 00:00:50.800]  所以有很多演員、歌手、男團、女團
[00:00:50.800 --> 00:00:53.520]  粉絲都會喜歡
[00:00:53.520 --> 00:00:57.800]  他喜歡的對象
[00:00:57.800 --> 00:00:59.000]  他真的是世一
[00:00:59.000 --> 00:01:01.600]  在他心目中是世界第一
[00:01:01.600 --> 00:01:02.960]  不過事實上
[00:01:02.960 --> 00:01:04.920]  12月至1月
[00:01:04.920 --> 00:01:08.920]  我們香港的運動員都有兩個世界第一
[00:01:08.920 --> 00:01:09.880]  都有兩個世界第一
[00:01:09.880 --> 00:01:13.480]  第一個就是
[00:01:13.480 --> 00:01:16.320]  其中一個奧運冠軍
[00:01:16.320 --> 00:01:20.040]  張家朗成為了劍擊世界第一
[00:01:20.040 --> 00:01:21.400]  是他的項目
[00:01:21.400 --> 00:01:27.000]  另一個是泳手何詩培成為了200米自由泳世界第一
[00:01:27.000 --> 00:01:29.520]  表示他是最好的
[00:01:29.520 --> 00:01:30.480]  是第一的
[00:01:30.480 --> 00:01:31.920]  獨一無二
[00:01:31.920 --> 00:01:33.440]  當我經常聽到「世一」時
[00:01:33.440 --> 00:01:36.800]  就想到我們所信的神
[00:01:36.800 --> 00:01:38.400]  叫「神一」
[00:01:38.400 --> 00:01:40.040]  即是神裡面
[00:01:40.040 --> 00:01:41.600]  諸神裡面
[00:01:41.600 --> 00:01:42.920]  他是第一
[00:01:42.920 --> 00:01:44.760]  最好的
[00:01:44.760 --> 00:01:48.680]  而這個「神一」不單止拯救以色列人到今日
[00:01:48.680 --> 00:01:53.320]  他在今年的主題中提醒我們三個細點
[00:01:53.320 --> 00:01:58.720]  他把救恩和很多豐富的禮物給了我們
[00:01:58.720 --> 00:02:00.640]  讓我們領袖帶著使命
[00:02:00.640 --> 00:02:02.520]  去高舉自己的名
[00:02:02.520 --> 00:02:04.240]  我們的生命領域
[00:02:04.240 --> 00:02:07.080]  去侍奉他不斷的擴展
[00:02:07.080 --> 00:02:09.080]  這些擴展不是為了我們
[00:02:09.080 --> 00:02:11.600]  好像巴別塔那樣高舉自己
[00:02:11.600 --> 00:02:13.680]  而是願意將福音
[00:02:13.680 --> 00:02:18.680]  或者我們所擁有的和人分享和共享
[00:02:18.680 --> 00:02:21.880]  但是在昔日以色列人進入
[00:02:21.880 --> 00:02:26.320]  迦南應許地之先
[00:02:26.320 --> 00:02:30.640]  上帝將律法解明給了以色列人
[00:02:30.640 --> 00:02:33.120]  目的是要讓以色列人
[00:02:33.120 --> 00:02:36.720]  重整修正建立他們的生命
[00:02:36.720 --> 00:02:40.600]  預備好生命才進入應許之地
[00:02:40.600 --> 00:02:41.840]  他們為主明的真善
[00:02:41.840 --> 00:02:45.120]  但是他們的生命是否先聚焦在
