
[00:00:00.000 --> 00:00:05.500]  人生總有些能夠令你突然間措手不及的時候
[00:00:05.500 --> 00:00:11.000]  對於我來說1985年9月是一次這樣的經驗
[00:00:11.000 --> 00:00:19.000]  1985年的9月當時我太太是覺得胸口有點痛
[00:00:19.000 --> 00:00:24.500]  於是就想不如進去醫院做一點點檢驗
[00:00:24.500 --> 00:00:28.500]  當時就不覺得有什麼特別的問題
[00:00:28.500 --> 00:00:33.000]  做了手術抽一點點檢驗都是沒有的
[00:00:33.000 --> 00:00:36.000]  我記得我們住了兩天的時間
[00:00:36.000 --> 00:00:39.000]  在浸會醫院很舒服的房間
[00:00:39.000 --> 00:00:45.000]  第二天打算下午出院
[00:00:45.000 --> 00:00:49.000]  當時我們在病房裡聊天
[00:00:49.000 --> 00:00:54.000]  計劃一下出院之後打算做些什麼
[00:00:54.000 --> 00:00:57.000]  我太太說不如出院之後學學唱歌也好
[00:00:57.000 --> 00:00:59.000]  我說你挺好的
[00:00:59.000 --> 00:01:05.000]  我當時剛剛決定在中文大學再讀一個博士學位
[00:01:05.000 --> 00:01:09.000]  這個博士學位是讀中國哲學
[00:01:09.000 --> 00:01:11.000]  我有很大的理想
[00:01:11.000 --> 00:01:14.000]  希望讀了這個博士學位之後
[00:01:14.000 --> 00:01:19.000]  可以向中國的學者做一些輔導的工作
[00:01:19.000 --> 00:01:23.000]  而且當時我也在中國神力研究院教書
[00:01:23.000 --> 00:01:26.000]  我記得當時我們兩個在談這些計劃
[00:01:26.000 --> 00:01:28.000]  在收拾行李
[00:01:28.000 --> 00:01:30.000]  在收拾一些小院
[00:01:30.000 --> 00:01:32.000]  打算出院的時候
[00:01:32.000 --> 00:01:34.000]  那個主診醫生走進來
[00:01:34.000 --> 00:01:41.000]  我不知道是不是香港的醫生見病人多
[00:01:41.000 --> 00:01:45.000]  沒有什麼心理治療輔導的技巧
[00:01:45.000 --> 00:01:49.000]  我記得他進來的時候就看著我
[00:01:49.000 --> 00:01:52.000]  指著我
[00:01:52.000 --> 00:01:54.000]  癌症
[00:01:54.000 --> 00:01:56.000]  後期立即做手術
[00:01:56.000 --> 00:02:01.000]  這句話對於我們兩個人來說完全沒有想過
[00:02:01.000 --> 00:02:06.000]  在我們的想像當中完全沒有想過有這樣的可能性
[00:02:06.000 --> 00:02:10.000]  說完之後我不知道他們是否已經預備好了
