
[00:00:00.000 --> 00:00:04.000]  在信心當中領受聖靈
[00:00:04.000 --> 00:00:08.000]  不單止聖靈幫助我們能夠重生
[00:00:08.000 --> 00:00:10.000]  祂與我們同在
[00:00:10.000 --> 00:00:11.500]  按照聖經所說
[00:00:11.500 --> 00:00:17.000]  神賜給我們聖靈是永遠與我們同在的
[00:00:17.000 --> 00:00:19.000]  因此我們要留心
[00:00:19.000 --> 00:00:20.500]  祂在我們裡面
[00:00:20.500 --> 00:00:25.500]  留心去倚靠祂來面對不同的試探
[00:00:25.500 --> 00:00:30.500]  倚靠祂得著力量去走一條光明的路
[00:00:30.500 --> 00:00:33.500]  也要留心去聽從祂
[00:00:33.500 --> 00:00:35.500]  因為聖靈會提醒我們
[00:00:35.500 --> 00:00:37.000]  會光照我們
[00:00:37.000 --> 00:00:39.500]  因此我們留心去聽從
[00:00:39.500 --> 00:00:42.000]  去體貼祂的心意
[00:00:42.000 --> 00:00:44.500]  按照祂被我們引導來生活
[00:00:44.500 --> 00:00:48.500]  我們就能夠行在一條蒙恩的路
[00:00:48.500 --> 00:00:52.000]  所以不單單頭腦上認識聖靈的真理
[00:00:52.000 --> 00:00:56.500]  而是留心去倚靠
[00:00:56.500 --> 00:00:59.500]  去體貼、去聽從
[00:00:59.500 --> 00:01:02.000]  在聖經《若行方案》第三章
[00:01:02.000 --> 00:01:03.000]  很多時候我們讀的時候
[00:01:03.000 --> 00:01:05.500]  就會讀給一些未信的朋友聽
[00:01:05.500 --> 00:01:08.000]  就是關於尼哥德姆這個人
[00:01:08.000 --> 00:01:09.500]  問及重生的事
[00:01:09.500 --> 00:01:11.500]  我們今天嘗試集中思想
[00:01:11.500 --> 00:01:13.500]  其中關於聖靈的部分
[00:01:13.500 --> 00:01:16.000]  我們在當中再了解
[00:01:16.000 --> 00:01:17.500]  《若行方案》第三章
[00:01:17.500 --> 00:01:20.000]  一開始的時候說到一個法尼塞人
[00:01:20.000 --> 00:01:22.000]  他是一個有地位的人
[00:01:22.000 --> 00:01:23.000]  是猶太人的官長
