
[00:00:00.000 --> 00:00:03.720]  大家會留意到今天是九月份的第一個主日
[00:00:03.720 --> 00:00:09.000]  大家知道九月份是教會每年定為猜拳月的時間
[00:00:09.000 --> 00:00:10.800]  每次在猜拳月裏面
[00:00:10.800 --> 00:00:14.440]  我們大家都會再思想有關聖經裏面猜拳的訊息
[00:00:14.440 --> 00:00:20.800]  鼓勵我們的心不要忘記關心到萬國萬民的福音的需要
[00:00:20.800 --> 00:00:24.800]  因為主持給我們的大使命是很清楚地說
[00:00:24.800 --> 00:00:29.200]  所以你們去使萬民作我們的門徒
[00:00:29.200 --> 00:00:35.200]  上帝的心盼望我們真的關心到很多不同的民族
[00:00:35.200 --> 00:00:37.200]  不同他們的福音的需要
[00:00:37.200 --> 00:00:43.200]  你也會發覺我們在過去的北宣家裏面常常都說一件事情
[00:00:43.200 --> 00:00:47.200]  我們說到如果弟兄姊妹要體貼神的心意生活
[00:00:47.200 --> 00:00:52.200]  如果你要去上上接近神的心
[00:00:52.200 --> 00:00:56.200]  你就必須關心猜拳
[00:00:56.200 --> 00:01:00.200]  因為神的心在猜拳裏面
[00:01:00.200 --> 00:01:04.200]  神愛世人甚至倡大獨生子賜給他們
[00:01:04.200 --> 00:01:06.200]  我們都熟悉的經文
[00:01:06.200 --> 00:01:12.200]  正正是在說這位上帝的心在萬民裏面
[00:01:12.200 --> 00:01:18.200]  他關心到很多的生命能不能領受他自己的救恩
[00:01:18.200 --> 00:01:21.200]  當然我們大家都會有自己忙碌的事情
[00:01:21.200 --> 00:01:24.200]  但弟兄姊妹就算我們怎樣忙碌也好
[00:01:24.200 --> 00:01:27.200]  你仍然幫助自己
[00:01:27.200 --> 00:01:31.200]  甚至是少許的時間力量
[00:01:31.200 --> 00:01:37.200]  你都爭取去爭取機會來關心猜拳的事情
[00:01:37.200 --> 00:01:40.200]  讓你的心可以上上貼近主的心
[00:01:40.200 --> 00:01:44.200]  也都能夠關心到很多不同地方的民族
[00:01:44.200 --> 00:01:47.200]  國家他們宣教的需要
[00:01:47.200 --> 00:01:51.200]  我們今天看到聖經裏面講述到一段的禱文
[00:01:51.200 --> 00:01:54.200]  你會發覺在聖經裏面特別提及
[00:01:54.200 --> 00:01:57.200]  關心猜拳有一個很重要的途徑
[00:01:57.200 --> 00:02:02.200]  就是在禱告當中為萬民禱告
[00:02:02.200 --> 00:02:05.200]  特別是弟兄姊妹一起齊集同心的
[00:02:05.200 --> 00:02:09.200]  來為需要來禱告
[00:02:09.200 --> 00:02:11.200]  當然大家都會明白
[00:02:11.200 --> 00:02:14.200]  如果神要去承傳大使命
[00:02:14.200 --> 00:02:19.200]  祂自己絕對可以隨時可以承傳這件事
[00:02:19.200 --> 00:02:21.200]  直接的承傳
[00:02:21.200 --> 00:02:24.200]  但你發覺當你讀聖經的時候
[00:02:24.200 --> 00:02:26.200]  當你看回教會歷史的時候
[00:02:26.200 --> 00:02:33.200]  你發覺神是選擇用人和用人的禱告
[00:02:33.200 --> 00:02:36.200]  去承傳大使命
[00:02:36.200 --> 00:02:38.200]  神是選擇這樣做的
[00:02:38.200 --> 00:02:45.200]  是讓他的子民有份在別人的蒙福的路上
[00:02:45.200 --> 00:02:49.200]  或者有份於拯救的工作上
[00:02:49.200 --> 00:02:53.200]  所以你見到今天在很多不同的地方
[00:02:53.200 --> 00:02:55.200]  神是做很多奇妙的事情
[00:02:55.200 --> 00:02:57.200]  但你留心看都發覺背後
[00:02:57.200 --> 00:03:00.200]  是因為有人在祈禱
[00:03:00.200 --> 00:03:02.200]  我特別分享一件事情
[00:03:02.200 --> 00:03:05.200]  就是在穆斯林的世界
[00:03:05.200 --> 00:03:09.200]  大家都會留意到在最近的二、三十年
[00:03:09.200 --> 00:03:13.200]  其實有很多很多的教徒特別蒙受感動
[00:03:13.200 --> 00:03:17.200]  為穆斯林群體能夠歸主來祈禱
[00:03:17.200 --> 00:03:19.200]  我最近留意到一件事情
[00:03:19.200 --> 00:03:23.200]  就是在北非埃及的地方
[00:03:23.200 --> 00:03:26.200]  有一個人物的事情
[00:03:26.200 --> 00:03:29.200]  在早於2003年的時候
[00:03:29.200 --> 00:03:32.200]  一位叫撒加利亞的牧師
[00:03:32.200 --> 00:03:34.200]  他很年輕二十多歲
[00:03:34.200 --> 00:03:39.200]  他在自己的地方向一些穆斯林的朋友傳福音
[00:03:39.200 --> 00:03:44.200]  但因為這樣就被埃及當局驅逐出境
[00:03:44.200 --> 00:03:48.200]  永遠不准他回到自己的國家
[00:03:48.200 --> 00:03:51.200]  這位撒加利亞牧師後來輾轉去了美國
[00:03:51.200 --> 00:03:54.200]  在美國的地方神給他機會
[00:03:54.200 --> 00:03:58.200]  透過衛星電視的方式
[00:03:58.200 --> 00:04:02.200]  將福音帶回自己的民族當中
[00:04:02.200 --> 00:04:06.200]  他向著北非向著中東的地方
[00:04:06.200 --> 00:04:10.200]  用衛星來講述福音
[00:04:10.200 --> 00:04:14.200]  曾經透過電視
[00:04:14.200 --> 00:04:21.200]  向六千萬阿拉伯人講述耶穌
[00:04:21.200 --> 00:04:25.200]  這件事情是很多人都完全意想不到的
[00:04:25.200 --> 00:04:28.200]  本來被驅逐出去好像完全沒有機會
[00:04:28.200 --> 00:04:30.200]  但想不到神用這個方式
[00:04:30.200 --> 00:04:34.200]  讓他接觸到更多更多的同胞
[00:04:34.200 --> 00:04:36.200]  其中有一個節目他講述到
[00:04:36.200 --> 00:04:39.200]  可蘭經的很多問題
[00:04:39.200 --> 00:04:41.200]  其中有的錯謀
[00:04:41.200 --> 00:04:44.200]  在這個節目播出的時候
[00:04:44.200 --> 00:04:48.200]  有一個人物已經是退休的男士
[00:04:48.200 --> 00:04:51.200]  六十二歲他叫做拿西
[00:04:51.200 --> 00:04:55.200]  這位人物當他去聽這個節目的時候
[00:04:55.200 --> 00:04:59.200]  他覺得很驚訝從未聽過這些訊息
[00:04:59.200 --> 00:05:03.200]  他本身自己曾經開一間小型印刷廠
[00:05:03.200 --> 00:05:08.200]  這間印刷廠專門印刷可蘭經和相關的書籍
[00:05:08.200 --> 00:05:10.200]  他在聽的時候
