
[00:00:00.000 --> 00:00:04.000]  我們今天思想的聖經在這座書第45章
[00:00:04.000 --> 00:00:06.000]  剛才讀過的經文
[00:00:06.000 --> 00:00:08.000]  在大家周刊的第七頁
[00:00:08.000 --> 00:00:12.000]  也有這段經文的新譯本翻譯
[00:00:12.000 --> 00:00:16.000]  大家歡迎可以來參照思想有關的經文
[00:00:16.000 --> 00:00:23.000]  我們今天思想的是公義能力唯獨在乎耶和華
[00:00:23.000 --> 00:00:27.000]  我不知道大家有沒有試過去一些很多人的場合
[00:00:27.000 --> 00:00:30.000]  可能很多家庭大男大女一家大小
[00:00:30.000 --> 00:00:34.000]  一起去遊玩或者參觀某些活動
[00:00:34.000 --> 00:00:36.000]  我有幾次去到這些聚會的時候
[00:00:36.000 --> 00:00:39.000]  這些活動的時候就察覺
[00:00:39.000 --> 00:00:41.000]  有些父母很開心
[00:00:41.000 --> 00:00:43.000]  一個爸爸牽著女兒
[00:00:43.000 --> 00:00:46.000]  但大家都很開心地在看周圍的風景
[00:00:46.000 --> 00:00:50.000]  爸爸放下手然後走到旁邊
[00:00:50.000 --> 00:00:52.000]  女兒也不察覺爸爸走開了
[00:00:52.000 --> 00:00:54.000]  後面有位男士走上來
[00:00:54.000 --> 00:00:56.000]  站在爸爸的位置
[00:00:56.000 --> 00:01:00.000]  女兒很開心地繼續牽著男士的手
[00:01:00.000 --> 00:01:02.000]  牽著牽著男士的手
[00:01:02.000 --> 00:01:03.000]  男士把手放開了
[00:01:03.000 --> 00:01:05.000]  女兒才察覺不是爸爸
[00:01:05.000 --> 00:01:10.000]  這些情景很少在一些場合中看到
[00:01:10.000 --> 00:01:12.000]  有些時候我們也會發覺
[00:01:12.000 --> 00:01:14.000]  人生的路也好像是這樣
[00:01:14.000 --> 00:01:16.000]  走著走著牽著的時候
[00:01:16.000 --> 00:01:17.000]  咦?牽錯了
[00:01:17.000 --> 00:01:21.000]  以為那是自己的上帝
[00:01:21.000 --> 00:01:23.000]  以為那是天地的上帝
[00:01:23.000 --> 00:01:26.000]  但其實原來是假的
[00:01:26.000 --> 00:01:27.000]  不是真的
[00:01:27.000 --> 00:01:31.000]  聖經清楚告訴我們一件很重要的事實
[00:01:31.000 --> 00:01:33.000]  提摩太前書第二章說
[00:01:33.000 --> 00:01:35.000]  很清楚宣告
[00:01:35.000 --> 00:01:37.000]  祂說只有一位神
[00:01:37.000 --> 00:01:41.000]  在神和人中間
[00:01:41.000 --> 00:01:43.000]  只有一位宗寶
[00:01:43.000 --> 00:01:46.000]  就是降世為人的基督耶穌
[00:01:46.000 --> 00:01:47.000]  沒有兩位神
[00:01:47.000 --> 00:01:49.000]  只有一位神
[00:01:49.000 --> 00:01:52.000]  在神和人的中間
[00:01:52.000 --> 00:01:54.000]  一位的宗寶
[00:01:54.000 --> 00:01:56.000]  就是耶穌基督自己
[00:01:56.000 --> 00:01:58.000]  因此在我們生活上常常提醒自己
[00:01:58.000 --> 00:02:01.000]  小心不要搞錯
[00:02:01.000 --> 00:02:02.000]  很多人告訴你
[00:02:02.000 --> 00:02:04.000]  我是哪個部門的總經理
[00:02:04.000 --> 00:02:06.000]  我是哪個醫生
[00:02:06.000 --> 00:02:07.000]  我可以幫到你的
[00:02:07.000 --> 00:02:09.000]  原來發覺他只不過是想
[00:02:09.000 --> 00:02:12.000]  假冒某些地位身份
[00:02:12.000 --> 00:02:14.000]  來從你身上得到利益
[00:02:14.000 --> 00:02:16.000]  在過程當中你要小心
[00:02:16.000 --> 00:02:18.000]  這個世界也有很多的偶像
[00:02:18.000 --> 00:02:20.000]  很多的權勢告訴你
[00:02:20.000 --> 00:02:21.000]  你相信我吧
[00:02:21.000 --> 00:02:23.000]  我可以影響你一生
[00:02:23.000 --> 00:02:24.000]  你相信我吧
[00:02:24.000 --> 00:02:26.000]  我可以給你很多福氣
[00:02:26.000 --> 00:02:28.000]  在當中我們要留心
[00:02:28.000 --> 00:02:32.000]  在這段金融風暴的時間
[00:02:32.000 --> 00:02:35.000]  這個世界四十多年
[00:02:35.000 --> 00:02:37.000]  相信一個人的說話
[00:02:37.000 --> 00:02:42.000]  就是自由經濟的那位格魯先生
[00:02:42.000 --> 00:02:45.000]  今天當他承認自己的錯失的時候
[00:02:45.000 --> 00:02:47.000]  很多人都覺得很痛苦
[00:02:47.000 --> 00:02:48.000]  沒錯
[00:02:48.000 --> 00:02:50.000]  這時候我們要常常反思
[00:02:50.000 --> 00:02:52.000]  世上有很多事情
[00:02:52.000 --> 00:02:53.000]  會不會成為我們一個
[00:02:53.000 --> 00:02:55.000]  最終極的倚靠
[00:02:55.000 --> 00:02:57.000]  讓我們真正全心全意的
[00:02:57.000 --> 00:03:00.000]  知道只有一位神
[00:03:00.000 --> 00:03:02.000]  是我們所有思想
[00:03:02.000 --> 00:03:04.000]  和敬畏倚靠的對象
[00:03:04.000 --> 00:03:07.000]  《一年經文》四十五章
[00:03:07.000 --> 00:03:09.000]  正在不斷重複一個訊息
