
[00:00:00.000 --> 00:00:04.400]  在上個主日經文裏面
[00:00:04.400 --> 00:00:05.920]  提及到要讓我們知道
[00:00:05.920 --> 00:00:08.320]  上帝如何去揀選訴羅
[00:00:08.320 --> 00:00:10.200]  訴羅本來一開始
[00:00:10.200 --> 00:00:12.320]  往大馬式的路上
[00:00:12.320 --> 00:00:15.320]  本來是想迫害一群信耶穌的人
[00:00:15.320 --> 00:00:17.280]  但是就在往大馬式的路上
[00:00:17.280 --> 00:00:18.840]  耶穌向他顯現
[00:00:18.840 --> 00:00:21.280]  他整個生命有一個很大的改變
[00:00:21.280 --> 00:00:24.040]  以致他變成一個傳講
[00:00:24.040 --> 00:00:26.560]  一個福音的使者、一個基因
[00:00:26.560 --> 00:00:28.120]  接著在今天《腰電經文》裏面
[00:00:28.120 --> 00:00:30.520]  提及到當他有一個改變之後
[00:00:30.520 --> 00:00:34.480]  他的際遇或他面對的事情是甚麼呢?
[00:00:34.480 --> 00:00:38.160]  在今天這段經文裏提及到
[00:00:38.160 --> 00:00:39.880]  當他遇到耶穌
[00:00:39.880 --> 00:00:42.400]  被耶穌整個生命有改變的時候
[00:00:42.400 --> 00:00:46.120]  他馬上可以說是即刻去傳講福音
[00:00:46.120 --> 00:00:50.720]  去傳講耶穌就是上帝所差遣來的救主
[00:00:50.720 --> 00:00:53.680]  接著他就面對很多的迫害
[00:00:53.680 --> 00:00:55.560]  有很多人想殺他
[00:00:55.560 --> 00:00:58.880]  接著他就逃離大馬式的地方
[00:00:58.880 --> 00:01:00.080]  去到耶路撒冷
[00:01:00.080 --> 00:01:01.720]  當時耶路撒冷的門徒
[00:01:01.720 --> 00:01:04.760]  亦都不相信他已經有一個這麼大的改變
[00:01:04.760 --> 00:01:08.920]  唯有巴拿巴相信上帝在塑羅當中的工作
[00:01:08.920 --> 00:01:12.680]  所以就讓他引見當時的使徒
[00:01:12.680 --> 00:01:15.640]  以致他能夠和耶路撒冷的門徒
[00:01:15.640 --> 00:01:17.120]  一起努力去傳福音
