
[00:00:00.000 --> 00:00:03.680]  今天講這個題目對我來說是相當重要的
[00:00:03.680 --> 00:00:09.920]  我也知道時代論壇也有些討論
[00:00:09.920 --> 00:00:13.680]  我看的時候也覺得有些地方講得相當好
[00:00:13.680 --> 00:00:17.920]  但是從未試過有一個從華人教會
[00:00:17.920 --> 00:00:20.800]  福音派神學的角度
[00:00:20.800 --> 00:00:26.160]  對天主教有一個全面的評價和立場
[00:00:26.800 --> 00:00:31.440]  既然還沒有的話,不如我就打頭陣
[00:00:31.440 --> 00:00:34.640]  說對說錯,或者被人罵也不要緊
[00:00:34.640 --> 00:00:37.360]  引發起更多更成熟的討論
[00:00:37.360 --> 00:00:39.760]  好像我以前講靈修神學的時候
[00:00:39.760 --> 00:00:41.360]  講政治神學的時候
[00:00:41.360 --> 00:00:43.120]  都會有這樣的現象
[00:00:43.120 --> 00:00:46.640]  不過看到神,實在是興起更多的弟兄姊妹
[00:00:46.640 --> 00:00:49.760]  在這方面有更多的貢獻
[00:00:49.760 --> 00:00:51.600]  在他的真理上有澄清
[00:00:51.600 --> 00:00:53.200]  我覺得這個已經是很值得
[00:00:53.200 --> 00:00:54.960]  很值得,應該有人開始
[00:00:54.960 --> 00:00:57.840]  我經過禱告,經過想,不是依稀
[00:00:57.840 --> 00:01:02.000]  我就決定今晚跟大家講這個題目
[00:01:02.000 --> 00:01:06.480]  在我們開始之前,我們一起先低頭祈禱
[00:01:06.480 --> 00:01:09.680]  我們的主,我們的神,我們知道你是真理的源頭
[00:01:09.680 --> 00:01:12.080]  在你那裡只有光,沒有黑暗
[00:01:12.080 --> 00:01:16.480]  我們今晚懇求主的聖靈與我們同行
[00:01:16.480 --> 00:01:18.400]  引導我們進入真理
[00:01:18.400 --> 00:01:20.400]  讓我們真的能夠了解你
[00:01:20.400 --> 00:01:22.400]  了解你在我們這個世代裡面
[00:01:22.400 --> 00:01:25.120]  對不同的信仰,或者天主教
[00:01:25.120 --> 00:01:27.680]  所應該持有的立場、態度
[00:01:27.680 --> 00:01:29.680]  和一些具體的實踐
[00:01:29.680 --> 00:01:32.080]  我們知道這個問題引起很多的紛爭
[00:01:32.080 --> 00:01:33.840]  甚至引起你身體的訓練
[00:01:33.840 --> 00:01:36.720]  我們懇求主的靈,特別和好的靈
[00:01:36.720 --> 00:01:40.880]  分辨是非的靈與我們同在
[00:01:40.880 --> 00:01:43.600]  讓我們真的能夠講的時候
[00:01:43.600 --> 00:01:46.480]  聽的時候,都有你自己的大靈
[00:01:46.480 --> 00:01:49.120]  我們懇求主保守我們讓撒旦的作為
[00:01:49.120 --> 00:01:51.680]  不會在這裡有任何的地步
[00:01:51.680 --> 00:01:55.600]  讓一切的榮耀、尊貴都歸於我們天上的主
[00:01:55.600 --> 00:01:57.600]  奉耶穌的名祈禱
[00:01:57.600 --> 00:02:04.320]  今晚我講這個對羅馬天主教的看法和立場
[00:02:04.320 --> 00:02:09.200]  基本上是我自己的立場
[00:02:09.200 --> 00:02:14.400]  但是我的立場也是福音派信仰的立場
[00:02:14.400 --> 00:02:19.520]  所以在很多方面我都是借用福音派的立場
[00:02:19.520 --> 00:02:21.120]  來作為我的立場
[00:02:21.120 --> 00:02:25.920]  我相信這個也是很明顯的、很自然的
[00:02:25.920 --> 00:02:29.840]  所以今晚的立場不是全部都是我自己想出來的
[00:02:29.840 --> 00:02:32.640]  這樣才會害怕,有一個人自己想出來才害怕
[00:02:32.640 --> 00:02:39.840]  我的其中很多重點都是參考著一份很重要的文獻
[00:02:39.840 --> 00:02:42.080]  我不知道為什麼很多人都不知道
[00:02:42.080 --> 00:02:45.760]  這份文獻就是World Evangelical Fellowship
[00:02:45.760 --> 00:02:48.480]  這個世界福音團契
[00:02:48.480 --> 00:02:53.120]  在神學上代表現在福音派的神學立場的團契
[00:02:53.120 --> 00:03:02.880]  他們第八屆在新加坡1986年6月所舉行的會議當中
[00:03:02.880 --> 00:03:05.440]  所通過的一個文獻
[00:03:05.440 --> 00:03:09.840]  這個文獻特別講到究竟福音派應該
[00:03:09.840 --> 00:03:11.840]  持一個什麼樣的立場
[00:03:11.840 --> 00:03:16.960]  來了解現在天主教的信仰
[00:03:16.960 --> 00:03:21.680]  當然這個文獻一方面就相當神學性
[00:03:21.680 --> 00:03:26.320]  牽涉很多歷史的關鍵和神學的論爭
[00:03:26.320 --> 00:03:29.440]  很多神學家的名詞、名字
[00:03:29.440 --> 00:03:34.800]  所以一般的評論圖也不是特別感到興趣
[00:03:34.800 --> 00:03:36.800]  或者看得明白
[00:03:36.800 --> 00:03:39.360]  所以我覺得有必要在我講的時候
[00:03:39.360 --> 00:03:42.160]  就引用這些文獻當中的一些說話
[00:03:42.160 --> 00:03:44.400]  跟大家一起來研究
[00:03:44.400 --> 00:03:48.640]  另外一方面一直以來都是用英文出版
[00:03:48.640 --> 00:03:55.200]  所以在我們華人教會裏面的閱讀情況也很少
[00:03:55.200 --> 00:04:00.800]  所以多得中國神學研究院在它的忠臣期刊裏面
[00:04:00.800 --> 00:04:04.960]  第七和第八期全部是由中文翻譯出來的
[00:04:04.960 --> 00:04:08.560]  如果大家想進一步了解這個立場
[00:04:08.560 --> 00:04:12.160]  就可以參考忠臣期刊的第七和第八期
[00:04:12.160 --> 00:04:15.600]  我很多的立場都是和他們接近
[00:04:15.600 --> 00:04:19.920]  理論上的論點可能有些許不同
[00:04:19.920 --> 00:04:22.800]  大致上是很相近
[00:04:22.800 --> 00:04:25.680]  不過也有所補充和減少
[00:04:25.680 --> 00:04:28.560]  它裏面所說的,今晚我不是做一個總結
[00:04:28.560 --> 00:04:29.920]  所以你不需要擔心
[00:04:29.920 --> 00:04:34.560]  這個是我消化過,我覺得我可以接受的
[00:04:34.560 --> 00:04:38.880]  作為一個個人,作為一個福音派信仰的神學工作者
[00:04:38.880 --> 00:04:40.480]  才能夠接受的一個立場
[00:04:40.480 --> 00:04:43.040]  希望我講的時候大家可以思想
[00:04:43.040 --> 00:04:44.880]  將你的問題都寫下來
[00:04:44.880 --> 00:04:48.640]  我們待會講完之後有機會可以用回應
[00:04:48.640 --> 00:04:50.720]  你可以贊成,可以不贊成,不要緊
[00:04:50.720 --> 00:04:53.280]  我相信真理是越辯越明的
[00:04:53.280 --> 00:04:56.400]  我今晚就是採取
[00:04:56.400 --> 00:05:02.640]  我覺得在基督教福音派和天主教之間
[00:05:02.640 --> 00:05:09.200]  七個最重要的範圍和教義或者是觀念
[00:05:09.200 --> 00:05:16.080]  來做一個澄清和講出我自己在這方面的立場
[00:05:16.080 --> 00:05:18.640]  我覺得這七個是最基本的
[00:05:18.640 --> 00:05:20.640]  當然還有一些枝節
[00:05:20.640 --> 00:05:22.880]  我今晚所講的就是
[00:05:22.880 --> 00:05:25.680]  不講這些枝節,講最重要的七個我認為
[00:05:25.680 --> 00:05:30.240]  第二,我的入手就是從神學的角度來說
[00:05:30.240 --> 00:05:33.760]  就是說我從一個理論層次的神學來說
[00:05:33.760 --> 00:05:37.840]  我不牽涉到那些具體實際的偏差
[00:05:37.840 --> 00:05:41.840]  比如天主教的神父很壞
[00:05:41.840 --> 00:05:43.680]  我不算數那些
[00:05:43.680 --> 00:05:45.920]  你說基督教有些牧師夠壞
[00:05:45.920 --> 00:05:48.640]  沒得爭辯的,這樣爭辯就沒什麼結果
[00:05:48.640 --> 00:05:50.240]  我不講那些事
[00:05:50.240 --> 00:05:53.680]  我不講哪一單教會有些黑暗事
[00:05:53.680 --> 00:05:55.360]  天主教有些黑暗事出來
[00:05:55.360 --> 00:05:56.800]  那些我就不講了
[00:05:56.800 --> 00:05:58.560]  我不講具體的情況
[00:05:58.560 --> 00:06:00.480]  我是從教義裡面講
[00:06:00.480 --> 00:06:04.560]  我主要是根據他們神學的教義
[00:06:04.560 --> 00:06:07.520]  和他們的文獻來看
[00:06:07.520 --> 00:06:08.800]  希望大家明白
[00:06:08.800 --> 00:06:12.640]  這七個範圍
[00:06:12.640 --> 00:06:15.600]  我都有一種相同的入手方法
[00:06:15.600 --> 00:06:18.720]  就是先講在傳統裡面
[00:06:18.720 --> 00:06:22.560]  天主教和基督教在這個問題上的論爭
[00:06:22.560 --> 00:06:23.840]  大家都知道
[00:06:23.840 --> 00:06:27.520]  天主教和基督教信仰上的論爭
[00:06:27.520 --> 00:06:29.920]  最劇烈的當然是什麼時候
[00:06:29.920 --> 00:06:33.760]  16世紀當馬丁路德和加爾文改革的時間
[00:06:33.760 --> 00:06:37.600]  16世紀到現在已經400多年了
[00:06:37.600 --> 00:06:42.000]  這段日子裡面天主教也有很多的改變
[00:06:42.000 --> 00:06:44.080]  基督教也有很多的改變
[00:06:44.080 --> 00:06:48.480]  所以第二部分我就會特別講到
[00:06:48.480 --> 00:06:51.040]  在近這半個世紀以來
[00:06:51.040 --> 00:06:52.720]  為什麼用近這半個世紀以來呢?
[00:06:52.720 --> 00:06:54.720]  因為在60年代初
[00:06:54.720 --> 00:06:59.440]  梵蒂岡和羅馬天主教有一個很重要很重要的會議
[00:06:59.440 --> 00:07:01.360]  叫做梵蒂岡的第二次會議
[00:07:01.360 --> 00:07:03.440]  Vatican II通常我們稱為
[00:07:03.440 --> 00:07:05.520]  梵蒂岡的第二次會議
[00:07:05.520 --> 00:07:09.520]  是將過去天主教相當多的教義
[00:07:09.520 --> 00:07:13.280]  有一個很重要的更定
[00:07:13.280 --> 00:07:16.480]  和發展或者發揮
[00:07:16.480 --> 00:07:18.080]  甚至取消
[00:07:18.080 --> 00:07:22.160]  他們當時的口號拉丁文叫做
[00:07:22.160 --> 00:07:23.280]  Accountable
[00:07:23.280 --> 00:07:26.960]  就是說走向現代化的天主教立場
[00:07:26.960 --> 00:07:29.440]  所以梵蒂岡的第二次會議
[00:07:29.440 --> 00:07:32.800]  可以大概代表近這半個世紀以來
[00:07:32.800 --> 00:07:34.800]  天主教新的發展
[00:07:34.800 --> 00:07:37.440]  到現在來說還沒有另外一個會議
[00:07:37.440 --> 00:07:42.000]  足以取代或者否定梵蒂岡第二次會議的立場
[00:07:42.000 --> 00:07:44.160]  所以很多時候我引用的時候
[00:07:44.160 --> 00:07:48.880]  如果這個梵蒂岡會議的文獻到現在仍然是遵守的
[00:07:48.880 --> 00:07:51.520]  仍然沒有表明到他是反對的話
[00:07:51.520 --> 00:07:53.920]  就是表示他仍然沿用著
[00:07:53.920 --> 00:07:58.560]  那時候我就用這個立場來看天主教現在的發展
[00:07:58.560 --> 00:08:00.160]  大家明白嗎?
[00:08:00.160 --> 00:08:03.120]  所以第二部分我一定會說
[00:08:03.120 --> 00:08:05.120]  近半個世紀以來的新發展
[00:08:05.120 --> 00:08:09.520]  看看這個新的現今的天主教的發展裏面
[00:08:09.520 --> 00:08:11.280]  對於基督教來說
[00:08:11.280 --> 00:08:17.680]  那個教義和立場上有什麼新的不同的角度去了解
[00:08:17.680 --> 00:08:19.600]  當然第三部分很明顯
[00:08:19.600 --> 00:08:20.960]  就說得很清楚的
