
[00:00:00.000 --> 00:00:02.540]  在開始之前,我想先說一件事
[00:00:02.540 --> 00:00:05.740]  我想有些電影節目是聽過我說這個經歷的
[00:00:05.740 --> 00:00:09.540]  我也想在開始的時候重複提到自己的經歷
[00:00:09.540 --> 00:00:12.660]  當然我知道每一個人的經歷都有限制的
[00:00:12.660 --> 00:00:14.060]  不是完整的
[00:00:14.060 --> 00:00:15.660]  但從各方面不同的經歷
[00:00:15.660 --> 00:00:17.100]  我們會相互補足
[00:00:17.100 --> 00:00:20.860]  更加明白有關屬靈的事情
[00:00:20.860 --> 00:00:22.060]  我曾經提及過
[00:00:22.060 --> 00:00:25.300]  就是我以前在我30歲的時候
[00:00:25.300 --> 00:00:28.300]  是很多年前的事了
[00:00:28.300 --> 00:00:30.820]  當時我記得在29歲
[00:00:30.820 --> 00:00:33.020]  我收到一份很好的禮物
[00:00:33.020 --> 00:00:34.660]  我心裡就想
[00:00:34.660 --> 00:00:36.460]  我很喜歡這份禮物
[00:00:36.460 --> 00:00:37.500]  但我就問自己
[00:00:37.500 --> 00:00:39.820]  有什麼禮物是你最喜歡呢?
[00:00:39.820 --> 00:00:42.060]  最歡喜呢?
[00:00:42.060 --> 00:00:44.460]  我心裡很自然地回答自己
[00:00:44.460 --> 00:00:48.620]  我很盼望神將聖靈更多的賜給我
[00:00:48.620 --> 00:00:49.620]  我就想
[00:00:49.620 --> 00:00:54.220]  我可不可以求神在我30歲的時候賜給我呢?
[00:00:54.220 --> 00:00:56.820]  因此在29歲到30歲那一年裡面
[00:00:56.820 --> 00:00:59.820]  我是用了很多時間尚嘗找一件事祈禱
[00:00:59.820 --> 00:01:03.420]  求神將他的聖靈賜下
[00:01:03.420 --> 00:01:06.420]  在當時我對聖經有關聖靈的認識不多
[00:01:06.420 --> 00:01:11.020]  我認為聖靈充滿會講方言的
[00:01:11.020 --> 00:01:14.020]  所以到30歲生日那天
[00:01:14.020 --> 00:01:17.020]  我就期待著有些特別的事情會發生
[00:01:17.020 --> 00:01:19.820]  有時候會鬆一下下巴
[00:01:19.820 --> 00:01:22.420]  看看有沒有事情會發生
[00:01:22.420 --> 00:01:24.620]  但整天都沒有什麼特別事情發生
[00:01:24.620 --> 00:01:27.020]  到那天晚上
[00:01:27.020 --> 00:01:30.020]  我自己就開始有點焦慮
[00:01:30.020 --> 00:01:32.020]  我就說神啊,我祈禱了很久
[00:01:32.020 --> 00:01:35.220]  你今天一定要賜給我
[00:01:35.220 --> 00:01:37.420]  但都是如常,沒有什麼特別事情
[00:01:37.420 --> 00:01:40.620]  我就自己找個地方很安靜地祈禱
[00:01:40.620 --> 00:01:42.820]  一邊祈禱的時候也有一點期待
[00:01:42.820 --> 00:01:45.420]  我可不可以今晚講方言呢?
[00:01:45.420 --> 00:01:46.820]  我可不可以今晚透過講方言
[00:01:46.820 --> 00:01:49.820]  領受聖靈給我的充滿呢?
[00:01:49.820 --> 00:01:51.620]  但我可以告訴大家
[00:01:51.620 --> 00:01:54.620]  整個晚上我都沒有講方言
[00:01:54.620 --> 00:01:57.220]  但當我祈禱的時候
[00:01:57.220 --> 00:01:59.220]  很明顯我突然想起很多
[00:01:59.220 --> 00:02:02.620]  以前自己小時候成長的經過
[00:02:02.620 --> 00:02:05.620]  每想起一件事,心裡就很感恩
[00:02:05.620 --> 00:02:08.620]  神帶領我渡過那些危機
[00:02:08.620 --> 00:02:12.020]  又給我機會繼續讀書
[00:02:12.020 --> 00:02:15.820]  家庭很多問題都能夠保護處理
[00:02:15.820 --> 00:02:17.420]  想起很多以往的事
[00:02:17.420 --> 00:02:19.820]  很多感恩,很多眼淚
[00:02:19.820 --> 00:02:21.820]  那些眼淚是一種感恩的眼淚
[00:02:21.820 --> 00:02:26.420]  一路湧流出來,一路感謝,一路祈禱
[00:02:26.420 --> 00:02:28.820]  完了之後,我預備休息了
[00:02:28.820 --> 00:02:31.420]  心裡有點耿耿於懷
[00:02:31.420 --> 00:02:34.220]  神太太為什麼不給我聖靈呢?
[00:02:34.220 --> 00:02:35.620]  我祈禱了一年
[00:02:35.620 --> 00:02:39.420]  為什麼你都不聽我祈禱呢?
[00:02:39.420 --> 00:02:41.420]  之後一段很長的時間
[00:02:41.420 --> 00:02:44.620]  我開始慢慢認識有關聖經的真理
[00:02:44.620 --> 00:02:45.820]  我開始明白
[00:02:45.820 --> 00:02:49.220]  聖靈充滿不一定是有方言
[00:02:49.220 --> 00:02:53.220]  講方言也不一定是有聖靈充滿
[00:02:53.220 --> 00:02:54.820]  在那時候我突然發覺
[00:02:54.820 --> 00:02:57.420]  我一直都是怪責了我的神
[00:02:57.420 --> 00:02:59.620]  或者說錯怪了我的神
[00:02:59.620 --> 00:03:01.420]  沒有聽我祈禱
[00:03:01.420 --> 00:03:03.220]  而我想起那晚的情況時
[00:03:03.220 --> 00:03:04.820]  我就深深體會到
[00:03:04.820 --> 00:03:08.220]  聖靈是幫助我想起很多以前的事情
[00:03:08.220 --> 00:03:09.420]  想起祂的恩惠
[00:03:09.420 --> 00:03:11.620]  一種很深刻的感恩
[00:03:11.620 --> 00:03:13.420]  一種很深刻的讚美
[00:03:13.420 --> 00:03:14.820]  湧流在我心中
[00:03:14.820 --> 00:03:19.020]  但我以為我未曾能夠領受感動
[00:03:19.020 --> 00:03:21.220]  這件事情讓我後來有很多反省
[00:03:21.220 --> 00:03:22.220]  就是很多時候
[00:03:22.220 --> 00:03:23.820]  當我看一件事
[00:03:23.820 --> 00:03:26.820]  認為這樣才是聖靈充滿
[00:03:26.820 --> 00:03:28.020]  有時候就會
[00:03:28.020 --> 00:03:30.220]  英文所說miss the point
[00:03:30.220 --> 00:03:33.020]  其實是失去了一些神要給我的
[00:03:33.020 --> 00:03:34.820]  因此我心裡就一直提醒自己
[00:03:34.820 --> 00:03:36.620]  要追求被聖靈充滿
[00:03:36.620 --> 00:03:40.820]  但不要被某一種固定的形式限制了自己
[00:03:40.820 --> 00:03:44.420]  這正是其中一幕我們所說的一個重點
[00:03:44.420 --> 00:03:45.820]  在我經歷的分享之後
