
[00:00:00.000 --> 00:00:02.200]  彼得前書的第三章
[00:00:02.200 --> 00:00:04.840]  大家讀的時候可能都不是很熟習
[00:00:04.840 --> 00:00:06.900]  這一段的聖經是什麼
[00:00:06.900 --> 00:00:09.140]  但是我就很想用這段聖經
[00:00:09.140 --> 00:00:13.200]  和大家一起思想去面對新的一年
[00:00:13.200 --> 00:00:16.120]  從神而來的說話有什麼提醒
[00:00:16.120 --> 00:00:18.400]  和預備我們的心
[00:00:18.400 --> 00:00:20.800]  究竟2019年是怎麼樣的一年
[00:00:20.800 --> 00:00:22.280]  我們不知道
[00:00:22.280 --> 00:00:24.600]  沒有人能夠告訴你
[00:00:24.600 --> 00:00:27.720]  會碰見什麼事呢?
[00:00:27.720 --> 00:00:29.680]  你不知道 我也不知道
[00:00:29.680 --> 00:00:32.760]  不過在大環境、大趨勢來說
[00:00:32.760 --> 00:00:34.800]  似乎不多好
[00:00:34.800 --> 00:00:38.120]  成哥也說沒見過這麼多人
[00:00:38.120 --> 00:00:41.080]  這麼多國家都是經濟這麼差的
[00:00:41.080 --> 00:00:45.760]  還有很多2018年跡下的問題
[00:00:45.760 --> 00:00:48.360]  2019年才浮現出來
[00:00:48.360 --> 00:00:50.560]  在天氣方面
[00:00:50.560 --> 00:00:54.360]  好像很多人都告訴我們
[00:00:54.360 --> 00:00:57.440]  接下來2019年可能天氣會更差過今年
[00:00:57.440 --> 00:01:02.800]  因為海洋的氣溫
[00:01:02.800 --> 00:01:06.400]  大家最近都看到又再升高了
[00:01:06.400 --> 00:01:09.360]  2018年已經是自有紀錄以來
[00:01:09.360 --> 00:01:12.360]  海洋溫度升得最高的一年
[00:01:12.360 --> 00:01:15.200]  相信2019年會繼續破紀錄
[00:01:15.200 --> 00:01:17.360]  海洋的溫度升高一點
[00:01:17.360 --> 00:01:20.800]  不是說唯一的結果就是遲一點去游泳
[00:01:20.800 --> 00:01:23.880]  而是海洋差一點點的溫度
[00:01:23.880 --> 00:01:32.640]  帶來全球性的空氣和天氣的平衡所產生的問題
[00:01:32.640 --> 00:01:38.480]  而且海洋的溫度直接影響很多海洋的生物的死亡
[00:01:38.480 --> 00:01:45.080]  科學家說以前我們聽見都不是很明白
[00:01:45.080 --> 00:01:48.520]  但是都很害怕的這個El Nino的效應
[00:01:48.520 --> 00:01:51.080]  2019年是會最強烈的
[00:01:51.080 --> 00:01:53.600]  就是說究竟怎麼樣呢?我們不知道
[00:01:53.600 --> 00:01:56.760]  不過都不是特別好的消息
[00:01:56.760 --> 00:01:59.160]  由全球性的到香港的
[00:01:59.160 --> 00:02:03.160]  或者甚至這個世界變得很順利
[00:02:03.160 --> 00:02:05.000]  不過在你的人生裡面
[00:02:05.000 --> 00:02:08.880]  都不表示有可以避開
[00:02:08.880 --> 00:02:11.600]  會面對的人生的挑戰
[00:02:11.600 --> 00:02:14.160]  或者甚至有困難
[00:02:14.160 --> 00:02:15.320]  有受苦
[00:02:15.320 --> 00:02:17.320]  就是今天我們所說的課題
[00:02:17.320 --> 00:02:21.400]  可能有些大英姐妹心裡面聽到這裡就不是很高興
[00:02:21.400 --> 00:02:23.400]  一大件利是
[00:02:23.400 --> 00:02:25.200]  找這些東西來說
[00:02:25.200 --> 00:02:27.480]  一生年流流
[00:02:27.480 --> 00:02:30.200]  但是我想和大家一起去面對
[00:02:30.200 --> 00:02:32.200]  因為我們真的不知道
[00:02:32.200 --> 00:02:37.800]  我們不如想像相信人生要面對的挑戰的時候
[00:02:37.800 --> 00:02:40.720]  你不知道會發生什麼事情在你身上
[00:02:40.720 --> 00:02:41.720]  在我身上
[00:02:41.720 --> 00:02:44.720]  不過就算無論有什麼事情
[00:02:44.720 --> 00:02:46.440]  我們有一種態度
[00:02:46.440 --> 00:02:47.840]  一種力量
[00:02:47.840 --> 00:02:49.240]  一種勇氣
[00:02:49.240 --> 00:02:51.600]  和從神而來的英許
[00:02:51.600 --> 00:02:52.840]  這個才是重要的
[00:02:52.840 --> 00:02:55.200]  什麼事情都可以走得過去
[00:02:55.200 --> 00:02:58.800]  這個正就是彼得前書要說的訊息
[00:02:58.800 --> 00:03:01.200]  彼得前書要寫的時候
[00:03:01.200 --> 00:03:03.400]  他給的讀者其實
[00:03:03.400 --> 00:03:05.960]  所面對的困難比你和我都難
[00:03:05.960 --> 00:03:06.800]  都大
[00:03:06.800 --> 00:03:07.800]  因為彼得前書
[00:03:07.800 --> 00:03:09.680]  魯彼得寫這些信件
[00:03:09.680 --> 00:03:12.160]  寫這封信給當時的信徒的時候
[00:03:12.160 --> 00:03:16.040]  基督教的信徒已經是在羅馬帝國之下
[00:03:16.040 --> 00:03:18.360]  受到很大的逼迫
[00:03:18.360 --> 00:03:20.200]  基本上
[00:03:20.200 --> 00:03:23.040]  如果你那時候仍然堅持要做基督徒的話
[00:03:23.040 --> 00:03:26.000]  你的結果多半都是判死刑
[00:03:26.000 --> 00:03:27.000]  就是說
[00:03:27.000 --> 00:03:29.080]  接到信的基督徒
[00:03:29.080 --> 00:03:30.560]  他需要的訊息就是
[00:03:30.560 --> 00:03:31.320]  我今年
[00:03:31.320 --> 00:03:32.800]  我都不知道能不能過
[00:03:32.800 --> 00:03:34.280]  因為要信耶穌的時候
[00:03:34.280 --> 00:03:35.560]  做基督徒的話
[00:03:35.560 --> 00:03:36.680]  既然是這樣的時候
[00:03:36.680 --> 00:03:38.520]  什麼訊息跟他們說呢
[00:03:38.520 --> 00:03:39.760]  我相信這個訊息
[00:03:39.760 --> 00:03:41.640]  都是能夠給到你和我
[00:03:41.640 --> 00:03:44.600]  很好的一些鼓勵和提醒的
[00:03:44.600 --> 00:03:46.520]  所以我就今天選了這一段
[00:03:46.520 --> 00:03:47.600]  這十節
[00:03:47.600 --> 00:03:49.280]  大家不是太熟悉的聖經
[00:03:49.280 --> 00:03:51.400]  也不是很容易解的聖經
[00:03:51.400 --> 00:03:52.680]  但是我覺得
[00:03:52.680 --> 00:03:55.040]  大家的信主
[00:03:55.040 --> 00:03:58.400]  然後我們夠膽盡心一點
[00:03:58.400 --> 00:04:00.360]  去閱讀神的話的時候
[00:04:00.360 --> 00:04:01.440]  不會怕這些經文
[00:04:01.440 --> 00:04:02.360]  最重要的
[00:04:02.360 --> 00:04:06.000]  究竟神透過這些話想跟你說些什麼
[00:04:06.000 --> 00:04:06.520]  好
[00:04:06.520 --> 00:04:12.360]  今天請大家可以打開我們有的港獨的大綱
[00:04:12.360 --> 00:04:14.360]  港獨大綱可以幫助我們
[00:04:14.360 --> 00:04:17.080]  幫助我起碼一直說到哪裡
[00:04:17.080 --> 00:04:19.560]  我們都會知道大概我想說的
[00:04:19.560 --> 00:04:21.320]  而且我引了一些經文
[00:04:21.320 --> 00:04:24.240]  就不需要再回去聖經
[00:04:24.240 --> 00:04:25.840]  就可以直接讀出來
[00:04:25.840 --> 00:04:27.200]  是有幫助的
[00:04:27.200 --> 00:04:28.200]  好
[00:04:28.200 --> 00:04:29.280]  如果你喜歡的話
[00:04:29.280 --> 00:04:30.560]  可以打開聖經
[00:04:30.560 --> 00:04:32.320]  給前書那段經文
[00:04:32.320 --> 00:04:34.280]  因為我們會比較仔細的
