
[00:00:00.000 --> 00:00:02.760]  其實這段聖經不只是這一段
[00:00:02.760 --> 00:00:05.120]  之前還有兩件事情發生了
[00:00:05.120 --> 00:00:09.760]  都是跟整個主耶穌所說的話有關係的
[00:00:09.760 --> 00:00:13.400]  就是說馬太福音第十九章十三節開始
[00:00:13.400 --> 00:00:17.200]  那裡說了兩段的事件
[00:00:17.200 --> 00:00:22.520]  然後這裡記載了耶穌說了兩段的話
[00:00:22.520 --> 00:00:28.400]  全部都是解釋主耶穌想表達天國是怎麼樣的
[00:00:28.400 --> 00:00:29.680]  大家都看到
[00:00:29.680 --> 00:00:33.200]  天國是一種怎麼樣的生活
[00:00:33.200 --> 00:00:36.640]  還有天國是什麼樣的原則
[00:00:36.640 --> 00:00:38.800]  所以我們看這段聖經的時候
[00:00:38.800 --> 00:00:40.040]  再看上面
[00:00:40.040 --> 00:00:42.720]  上面大家都很熟悉的
[00:00:42.720 --> 00:00:45.200]  如果你是基督徒的話
[00:00:45.200 --> 00:00:50.120]  馬太福音十九章第十三節那裡第一段的事件
[00:00:50.120 --> 00:00:54.240]  就是主耶穌說到的時候
[00:00:54.240 --> 00:00:56.000]  有人帶弟弟過來見他
[00:00:56.000 --> 00:00:58.080]  門徒不讓他們進去
[00:00:58.080 --> 00:00:59.840]  推開他們
[00:00:59.840 --> 00:01:01.080]  耶穌說不要
[00:01:01.080 --> 00:01:03.720]  天國正是屬於這樣的
[00:01:03.720 --> 00:01:05.080]  這群弟弟這樣的人
[00:01:05.080 --> 00:01:06.480]  這是第一件事件
[00:01:06.480 --> 00:01:09.040]  第二件事件也是大家很熟悉的
[00:01:09.040 --> 00:01:10.680]  就是一個青年的官
[00:01:10.680 --> 00:01:12.080]  來到耶穌面前
[00:01:12.080 --> 00:01:13.800]  鬼的面前說良善的膚淺
[00:01:13.800 --> 00:01:15.520]  我怎樣才得到永生
[00:01:15.520 --> 00:01:16.920]  耶穌說你知道的
[00:01:16.920 --> 00:01:18.920]  就是要守誡命
[00:01:18.920 --> 00:01:22.200]  這個官說我從小就已經守了
[00:01:22.200 --> 00:01:26.480]  馬太福音再加上一個描述
[00:01:26.480 --> 00:01:28.760]  耶穌見到他的時候就愛他
[00:01:28.760 --> 00:01:30.320]  不是說假的
[00:01:30.320 --> 00:01:32.200]  真的守了這些律法
[00:01:32.200 --> 00:01:33.440]  很好的
[00:01:33.440 --> 00:01:34.920]  但是耶穌說還不行
[00:01:34.920 --> 00:01:37.240]  你還要變賣你所有的
[00:01:37.240 --> 00:01:38.840]  還要來跟從我
[00:01:38.840 --> 00:01:40.720]  這個官就接受不了
[00:01:40.720 --> 00:01:41.840]  因為他有很多錢
[00:01:41.840 --> 00:01:44.200]  他就很失望地走了
[00:01:44.200 --> 00:01:45.800]  走了之後
[00:01:45.800 --> 00:01:47.960]  開始主耶穌說了幾句話
[00:01:47.960 --> 00:01:50.160]  今天我們要拿一點時間去研究
[00:01:50.160 --> 00:01:51.560]  究竟他說什麼
[00:01:51.560 --> 00:01:52.680]  他的意思是什麼
[00:01:52.680 --> 00:01:54.120]  不容易明白的
[00:01:54.120 --> 00:01:56.800]  首先耶穌說了一句很驚人的話
[00:01:56.800 --> 00:01:58.000]  他說財主
[00:01:58.000 --> 00:01:59.840]  就是有錢人要進天國
[00:01:59.840 --> 00:02:02.720]  就好像駱駝要穿過針眼
[00:02:02.720 --> 00:02:03.440]  哇
[00:02:03.440 --> 00:02:04.640]  很難
[00:02:04.640 --> 00:02:05.280]  是不是?
[00:02:05.280 --> 00:02:06.200]  是不可能的
[00:02:06.200 --> 00:02:08.640]  駱駝要穿過針眼
[00:02:08.640 --> 00:02:09.440]  這麼難
[00:02:09.440 --> 00:02:11.600]  於是彼得就醒了
[00:02:11.600 --> 00:02:13.040]  彼得就說那誰行呢?
[00:02:13.040 --> 00:02:14.200]  沒有人行的
[00:02:14.200 --> 00:02:15.960]  耶穌說
[00:02:15.960 --> 00:02:17.240]  還有一句話
[00:02:17.240 --> 00:02:18.840]  在人不能
[00:02:18.840 --> 00:02:21.040]  在神凡事都能
[00:02:21.040 --> 00:02:22.160]  這是第二句
[00:02:22.160 --> 00:02:23.880]  不容易理解的話
[00:02:24.240 --> 00:02:26.240]  然後彼得就繼續問
[00:02:26.240 --> 00:02:27.560]  那我們怎麼辦?
[00:02:27.560 --> 00:02:30.000]  我們撇下所有來跟從你的時候
[00:02:30.000 --> 00:02:30.840]  耶穌說行
[00:02:30.840 --> 00:02:33.680]  在天國裡面有100倍
[00:02:33.680 --> 00:02:35.880]  甚至有永恆的生命
[00:02:35.880 --> 00:02:37.360]  承受永生
[00:02:37.360 --> 00:02:38.560]  然後
[00:02:38.560 --> 00:02:39.480]  第30節
[00:02:39.480 --> 00:02:41.840]  就是說19章最後一節
[00:02:41.840 --> 00:02:44.120]  就說了一句話
[00:02:44.120 --> 00:02:46.040]  也不容易明白的
[00:02:46.040 --> 00:02:47.680]  雖然大家也很熟悉的
[00:02:47.680 --> 00:02:48.640]  就是
[00:02:48.640 --> 00:02:50.920]  很多人要在後的
[00:02:50.920 --> 00:02:52.080]  將要在前
[00:02:52.080 --> 00:02:54.280]  在前的將要在後
[00:02:54.280 --> 00:02:59.280]  然後他就說了第20章葡萄園的比喻
[00:02:59.280 --> 00:03:01.160]  也是很不容易明白的
[00:03:01.160 --> 00:03:02.760]  是很不公平的
[00:03:02.760 --> 00:03:03.680]  一個比喻
[00:03:03.680 --> 00:03:04.280]  是不是?
[00:03:04.280 --> 00:03:06.800]  然後第16節最後
[00:03:06.800 --> 00:03:09.600]  完結的時候又再說一次
[00:03:09.600 --> 00:03:11.600]  剛才那句話
[00:03:11.600 --> 00:03:12.720]  有一點不同
[00:03:12.720 --> 00:03:14.400]  一個在前的反而在後
[00:03:14.400 --> 00:03:16.360]  這裡是在後反而在前
