
[00:00:00.000 --> 00:00:08.000]  保羅在提摩太前書的第二章第一和第二節提出了使命
[00:00:08.000 --> 00:00:14.000]  提出了使命和二戰是一口氣一句說話一口氣來下的
[00:00:14.000 --> 00:00:23.000]  他說我最重要的是要勸你們要為萬人君王和一切有權位的人來懇求
[00:00:23.000 --> 00:00:36.000]  禱告、代求和感恩,好讓我們可以在敬虔莊重的過平靜安穩的日子
[00:00:36.000 --> 00:00:45.000]  如果我們不是很明白這一句話的意思,我們很容易會誤解很自私的一個動機
[00:00:45.000 --> 00:00:56.000]  我們要為在上位的有權的來禱告,因為我們想過一個敬虔莊重平靜安穩的日子
[00:00:56.000 --> 00:01:04.000]  很自私,我想安安穩穩,我所平平穩穩,求神保住這一班在位掌權
[00:01:04.000 --> 00:01:11.000]  為什麼特別是指著那些有權位的君王來祈禱呢?
[00:01:11.000 --> 00:01:21.000]  因為那些人他們一個的決定,他一種的想法就影響很多很多的人
[00:01:21.000 --> 00:01:27.000]  是不是我們基督徒就說為他們祈禱,為了我們可以有一個平安的日子過呢?
[00:01:27.000 --> 00:01:37.000]  我相信神不是這樣的意思,並不是出於一個很自私的這麼小的一個自我的希望來祈禱
[00:01:37.000 --> 00:01:49.000]  因為最重要的第三節就說出了原因,在我們的救主神體內,這是一件美好的和可以閱立的事
[00:01:49.000 --> 00:01:54.000]  這裡提出了一個理由,這個理由不是第二節,剛才說我們可以平平安安度日
[00:01:54.000 --> 00:02:00.000]  不是,第三節才是理由,因為神的心意是這樣
[00:02:00.000 --> 00:02:07.000]  美好這個字的原文是Kalon,美麗,Beautiful
[00:02:07.000 --> 00:02:17.000]  就是說如果一個教會是為萬人來禱告的教會,在神的眼中,這句第三節的意思
[00:02:17.000 --> 00:02:21.000]  在神的眼中看這間教會,這間教會是美麗的
[00:02:21.000 --> 00:02:27.000]  有人是為著萬民來祈禱的時候,神看這個人是美麗的人
[00:02:27.000 --> 00:02:33.000]  並且是他可閱立,就是合他心意,他喜歡的
[00:02:33.000 --> 00:02:40.000]  原來因為神喜歡,神看為美麗,我們就要行這個標準
[00:02:40.000 --> 00:02:46.000]  所以不怪保祿很重要,他說最重要的,在和合會中第一
[00:02:46.000 --> 00:02:49.000]  就是說最重要,你不要小看這件事
[00:02:49.000 --> 00:02:56.000]  如果沒有這件事的時候,我們並未能夠在神的眼中看為美麗,是合他心意
[00:02:56.000 --> 00:03:01.000]  在神的眼中看美麗的教會,不一定是一間大教會
[00:03:01.000 --> 00:03:06.000]  一間大教會不一定在神眼中看為美麗和合他心意
[00:03:06.000 --> 00:03:13.000]  一間建築得很宏偉的教會不一定在神眼中看為美麗
[00:03:13.000 --> 00:03:16.000]  你和我可能覺得美麗,在神眼中不一定美麗
[00:03:16.000 --> 00:03:20.000]  神從來沒有說過,我看一間大的教堂就美麗,不是
[00:03:20.000 --> 00:03:25.000]  也不是說一間活躍的教會,神一定看為美麗
[00:03:25.000 --> 00:03:30.000]  神看為美麗的,是一間願意為萬民禱告的教會
[00:03:30.000 --> 00:03:32.000]  合神心意的教會
[00:03:32.000 --> 00:03:38.000]  合神心意的禱告是一個怎樣的禱告呢?
[00:03:38.000 --> 00:03:45.000]  接著我們要進入聖經和我們所讀的第三章的經文
[00:03:45.000 --> 00:03:50.000]  究竟怎樣才可以為萬民禱告呢?
[00:03:50.000 --> 00:04:03.000]  為在上掌權的禱告,因為他的決策,他的想法影響很多人
[00:04:03.000 --> 00:04:08.000]  而神的心意就是要我們紀念他,為他祈禱
[00:04:08.000 --> 00:04:21.000]  以致我們有一個莊重,敬虔莊重的過平安平靜安穩的日子
[00:04:21.000 --> 00:04:24.000]  這裡說四樣東西,原文有四個字
[00:04:24.000 --> 00:04:29.000]  我想和大家說一點,這是神的心意
[00:04:29.000 --> 00:04:33.000]  神的心意,我按照聖經說
[00:04:33.000 --> 00:04:37.000]  說的時候可能有一點反潮流,可能會得罪人
[00:04:37.000 --> 00:04:40.000]  我知道我講這些可能會被人罵
[00:04:40.000 --> 00:04:42.000]  但我都不怕,我講得出來就不怕
[00:04:42.000 --> 00:04:46.000]  因為我按照聖經說,你不喜歡就罵我
[00:04:46.000 --> 00:04:50.000]  這裡我沒辦法,我研究了這麼久
[00:04:50.000 --> 00:04:56.000]  這四個字都是一個靜態和穩定的字
[00:04:56.000 --> 00:05:02.000]  不是一個鬥爭推翻顛覆的字
[00:05:02.000 --> 00:05:11.000]  我們不是說神在這個世界的計劃,不可以透過推翻,推倒,打倒,顛覆來成就
[00:05:11.000 --> 00:05:17.000]  不過神最終的心意,按照聖經所說
[00:05:17.000 --> 00:05:23.000]  是期待我們人可以有一種平穩安定的日子
[00:05:23.000 --> 00:05:29.000]  以致我們可以更加敬虔地去尋求神的心意
[00:05:29.000 --> 00:05:33.000]  這是神終極的,首先的心意
[00:05:33.000 --> 00:05:34.000]  你明白我的意思嗎?
[00:05:34.000 --> 00:05:38.000]  就像聖經所說,耶穌所說的話
[00:05:38.000 --> 00:05:43.000]  我們世界上不是說完全不允許有任何的暴力
[00:05:43.000 --> 00:05:47.000]  如果一個國家沒有警察,沒有槍
[00:05:47.000 --> 00:05:50.000]  沒有能夠鎖住人的監獄
[00:05:50.000 --> 00:05:51.000]  這個國家不知會變成怎樣
[00:05:51.000 --> 00:05:54.000]  暴力是必須要的
[00:05:54.000 --> 00:05:59.000]  不過在神的心意裡面,他首先不是要用暴力
[00:05:59.000 --> 00:06:05.000]  是到了沒有選擇的辦法的時候,唯有用暴力
[00:06:05.000 --> 00:06:14.000]  同樣的,打倒,攻擊,顛覆,不是神首先的心意
[00:06:14.000 --> 00:06:17.000]  不過如果其他辦法都沒有的時候
[00:06:17.000 --> 00:06:26.000]  唯有沒有其他選擇,我們才會採取打倒顛覆這件事
[00:06:26.000 --> 00:06:30.000]  就好像今天我們看到中東的情況
[00:06:30.000 --> 00:06:34.000]  不過今天我說的時候,有些人馬上會想起
[00:06:34.000 --> 00:06:40.000]  我們最近在電視上看到最多的就是曾師長的show
[00:06:40.000 --> 00:06:45.000]  有人認為一看到他的樣子,就打倒他
[00:06:45.000 --> 00:06:50.000]  你問我,我也很怒氣
[00:06:50.000 --> 00:06:57.000]  但是我看著聖經,我又知道所選取的優先不是要打倒他
[00:06:57.000 --> 00:06:59.000]  是要為他祈禱
[00:06:59.000 --> 00:07:04.000]  是要為萬民,為香港來祈禱
[00:07:04.000 --> 00:07:06.000]  這件事有一點反潮流的
[00:07:06.000 --> 00:07:10.000]  因為今天可能也會有一點激的行為
[00:07:10.000 --> 00:07:15.000]  我們發覺香港這個社會的氣氛是很激的
[00:07:15.000 --> 00:07:22.000]  先打倒,先顛覆,然後再談
[00:07:22.000 --> 00:07:26.000]  沒得談了,先砌低他,罵壞他
[00:07:26.000 --> 00:07:29.000]  我們說不是不可以批評
