
[00:00:00.000 --> 00:00:04.040]  今天我們繼續來說約翰福音第五章十六至三十節
[00:00:04.040 --> 00:00:08.240]  在第五章一至十五節記載著
[00:00:08.240 --> 00:00:14.160]  耶穌在畢氏大祠這個地方治療了一個病了三十八年的癱瘓者
[00:00:14.160 --> 00:00:16.120]  這件事發生在安息日
[00:00:16.120 --> 00:00:18.440]  當耶穌行了神蹟之後
[00:00:18.440 --> 00:00:23.120]  當時有很多宗教領袖反對耶穌
[00:00:23.120 --> 00:00:27.240]  說耶穌為何在安息日做醫治的工作
[00:00:27.640 --> 00:00:31.120]  之後在十六至四十七節
[00:00:31.120 --> 00:00:36.200]  耶穌對這些反對的聲音作出一個具體的回應
[00:00:36.200 --> 00:00:39.400]  在十六至三十節
[00:00:39.400 --> 00:00:42.000]  耶穌第一個回應的就是
[00:00:42.000 --> 00:00:46.680]  說出祂自己和上帝之間的關係
[00:00:46.680 --> 00:00:48.440]  究竟是甚麼關係
[00:00:48.440 --> 00:00:51.480]  在十六至十八節這樣說
[00:00:51.480 --> 00:00:53.840]  所以猶太人逼迫耶穌
[00:00:53.840 --> 00:00:56.360]  因為祂在安息日做了這事
[00:00:56.520 --> 00:00:58.000]  耶穌對他們說
[00:00:58.000 --> 00:01:01.680]  「我父做事直到如今,我也做事」
[00:01:01.680 --> 00:01:04.840]  所以猶太人越發想要殺祂
[00:01:04.840 --> 00:01:07.000]  因祂不但犯了安息日
[00:01:07.000 --> 00:01:09.520]  並且稱神為他的父
[00:01:09.520 --> 00:01:12.280]  將自己和神當作平等
[00:01:12.280 --> 00:01:15.720]  祂在安息日做了這事
[00:01:15.720 --> 00:01:20.520]  是指究竟是耶穌醫好了這個病人
[00:01:20.520 --> 00:01:23.960]  還是叫祂拿起玉紙離開這件事
[00:01:23.960 --> 00:01:25.760]  不是很清楚
[00:01:26.080 --> 00:01:28.800]  但是可能從約翰的角度去看
[00:01:28.800 --> 00:01:31.440]  這次安息日的爭議
[00:01:31.440 --> 00:01:36.560]  其實是一連串事件的一個表達
[00:01:36.560 --> 00:01:39.000]  所以可能包括醫治
[00:01:39.000 --> 00:01:43.080]  也可能包括拿玉紙離開的這件事
[00:01:43.080 --> 00:01:45.040]  其實兩件事同樣犯安息日
[00:01:45.040 --> 00:01:48.880]  所以約翰在這裡也沒有仔細記錄下來
[00:01:48.880 --> 00:01:54.720]  在這裡約翰沒有記載一些反對的人
[00:01:54.800 --> 00:01:58.440]  對耶穌所說的反對的說話究竟是什麼呢?
[00:01:58.440 --> 00:02:01.000]  但是約翰記載著
[00:02:01.000 --> 00:02:05.280]  耶穌會回應這些人的反對和他們的計謀
[00:02:05.280 --> 00:02:07.720]  耶穌在這裡見證
