
[00:00:00.000 --> 00:00:01.520]  今天崇拜的時候
[00:00:01.520 --> 00:00:05.320]  很想跟大家一起看《創世紀》
[00:00:05.320 --> 00:00:07.000]  所以如果你有聖經的話
[00:00:07.000 --> 00:00:08.520]  請你打開《創世紀》
[00:00:08.520 --> 00:00:14.000]  我們看《創世紀》裡面一個個案
[00:00:14.000 --> 00:00:19.080]  《創世紀》的十三章、十四章、十九章
[00:00:19.080 --> 00:00:26.560]  記載了阿伯拉罕和羅德兩個人的個案
[00:00:26.560 --> 00:00:28.640]  究竟是一個甚麼個案呢?
[00:00:28.640 --> 00:00:30.640]  今天我跟大家說的道
[00:00:30.640 --> 00:00:34.040]  就在大家手上的大綱上
[00:00:34.040 --> 00:00:35.400]  大家拿出來
[00:00:35.400 --> 00:00:37.120]  因為大綱挺長的
[00:00:37.120 --> 00:00:39.280]  有很多經文的列
[00:00:39.280 --> 00:00:40.280]  沒辦法讀完
[00:00:40.280 --> 00:00:42.560]  因為有這麼多的經文
[00:00:42.560 --> 00:00:46.280]  但是回去有機會再看,好嗎?
[00:00:46.280 --> 00:00:50.320]  我們先打開《創世紀》的十三章
[00:00:50.320 --> 00:00:52.520]  《創世紀》第十三章
[00:00:56.760 --> 00:01:00.760]  究竟今天想跟大家思想一個甚麼個案呢?
[00:01:00.760 --> 00:01:03.040]  就是大家都知道
[00:01:03.040 --> 00:01:07.920]  阿伯拉罕和他的侄子羅德兩個人和他的家庭
[00:01:07.920 --> 00:01:10.120]  都是在巴勒斯坦
[00:01:10.120 --> 00:01:11.960]  就是當時的迦南
[00:01:11.960 --> 00:01:14.240]  慢慢地定居下來
[00:01:14.240 --> 00:01:17.120]  最初阿伯拉罕當然是從吾爾
[00:01:17.120 --> 00:01:19.240]  就是今天的伊拉克的地方
[00:01:19.240 --> 00:01:23.280]  神呼召他要去到巴勒斯坦的地方
[00:01:23.280 --> 00:01:25.040]  聖經說他們就去
[00:01:25.040 --> 00:01:29.040]  去了之後就開始定居在迦南地
[00:01:29.040 --> 00:01:32.520]  迦南的地方大家都知道
[00:01:32.520 --> 00:01:37.520]  其實是一個不相信真神的異邦異教的地方
[00:01:37.520 --> 00:01:42.720]  今天我們所看到的歷史考古學
[00:01:42.720 --> 00:01:45.640]  迦南的文化都相當淫邪
[00:01:45.640 --> 00:01:48.640]  都相當血腥的
[00:01:48.640 --> 00:01:50.520]  他們用人際
[00:01:50.520 --> 00:01:52.840]  他們會虐待那些俘虜
[00:01:52.840 --> 00:01:57.960]  然後尤其是他們獻祭的時候
[00:01:57.960 --> 00:02:00.360]  在神廟裡面
[00:02:00.360 --> 00:02:02.600]  很多所謂的神妓
[00:02:02.600 --> 00:02:04.400]  就是神廟的妓女
[00:02:04.400 --> 00:02:06.600]  搞得很亂的逢春過節
[00:02:06.600 --> 00:02:08.680]  因為他們相信
[00:02:08.680 --> 00:02:11.880]  他們的神是四季的神
[00:02:11.880 --> 00:02:14.200]  所以冬天他睡著覺
