
[00:00:00.000 --> 00:00:06.000]  今天我們要領受的訊息
[00:00:06.000 --> 00:00:14.000]  就是順服舍己作為喜樂
[00:00:14.000 --> 00:00:18.000]  這兩樣都不容易
[00:00:18.000 --> 00:00:21.000]  順服舍己這兩樣都是不容易的
[00:00:21.000 --> 00:00:27.000]  平常一是隨便順服別人
[00:00:27.000 --> 00:00:34.000]  誰願意舍己對自己說不呢?
[00:00:34.000 --> 00:00:40.000]  這兩件事都是我們不想做的
[00:00:40.000 --> 00:00:44.000]  但是保羅告訴我們
[00:00:44.000 --> 00:00:52.000]  我們這樣做的時候要當作喜樂去做
[00:00:52.000 --> 00:00:59.000]  我們怎麼能夠做得到這樣的教訓呢?
[00:00:59.000 --> 00:01:06.000]  如果我們真的了解順服舍己的意義與價值
[00:01:06.000 --> 00:01:09.000]  我們就樂於遵守了
[00:01:09.000 --> 00:01:13.000]  如果我們真的了解到順服舍己的意義和價值
[00:01:13.000 --> 00:01:15.000]  就容易做到了
[00:01:15.000 --> 00:01:18.000]  一個人接受一個意見
[00:01:18.000 --> 00:01:23.000]  一定要先了解和欣賞那個意見
[00:01:23.000 --> 00:01:26.000]  然後才當作自己的意見
[00:01:26.000 --> 00:01:28.000]  一個人要接受一個意見
[00:01:28.000 --> 00:01:30.000]  首先要了解和欣賞
[00:01:30.000 --> 00:01:32.000]  才可以把意見當作自己的
[00:01:32.000 --> 00:01:35.000]  所以我們要先了解欣賞
[00:01:35.000 --> 00:01:37.000]  為什麼我們要順服
[00:01:37.000 --> 00:01:39.000]  為什麼我們要舍己
[00:01:39.000 --> 00:01:42.000]  所以我們要首先了解和欣賞
[00:01:42.000 --> 00:01:43.000]  為什麼要順服
[00:01:43.000 --> 00:01:45.000]  為什麼要舍己
[00:01:45.000 --> 00:01:50.000]  剛才我們讀的經文裏面
[00:01:50.000 --> 00:01:55.000]  菲律賓書二章十二節
[00:01:55.000 --> 00:01:59.000]  這樣看來
[00:01:59.000 --> 00:02:06.000]  我親愛的弟兄你們既是常順服的
[00:02:06.000 --> 00:02:08.000]  不但我在你們那裏
[00:02:08.000 --> 00:02:13.000]  就是我如今不在你們那裏更是順服的
[00:02:13.000 --> 00:02:15.000]  不但我在你們那裏
[00:02:15.000 --> 00:02:18.000]  就是如今我不在你們那裏更是順服的
[00:02:18.000 --> 00:02:22.000]  在這裏保羅說親愛的弟兄們
[00:02:22.000 --> 00:02:24.000]  這裏講到親愛的弟兄
[00:02:24.000 --> 00:02:28.000]  當然弟兄也包括姊妹在內
[00:02:28.000 --> 00:02:30.000]  當然這裏包括姊妹在內
[00:02:30.000 --> 00:02:33.000]  在這裏提到親愛兩個字
[00:02:33.000 --> 00:02:35.000]  這裏提到親愛兩個字
