
[00:00:00.000 --> 00:00:06.400]  很快我們今天講到經文已經去到《約翰福音》的第四章
[00:00:06.400 --> 00:00:10.400]  《約翰福音》第三章我們叫做《重生篇》
[00:00:10.400 --> 00:00:14.300]  耶穌和尼哥弟無論什麼叫做重生
[00:00:14.300 --> 00:00:18.200]  接著第四章就講《活水篇》
[00:00:18.200 --> 00:00:21.000]  都是經常讀到的一些經文
[00:00:21.000 --> 00:00:23.800]  在教教圈子裏面 可以說是崇拜裏面
[00:00:23.800 --> 00:00:25.600]  我們今天做一次詳細去看看
[00:00:25.600 --> 00:00:29.400]  究竟耶穌要透過這一段事跡
[00:00:29.400 --> 00:00:32.800]  怎樣去幫助一個撒瑪利亞的婦人
[00:00:32.800 --> 00:00:35.800]  去知道一個永生的道理
[00:00:35.800 --> 00:00:38.600]  在第四章的第一至第四節這樣說
[00:00:38.600 --> 00:00:44.000]  主知道法利塞人聽見他收門徒施洗比約翰還多
[00:00:44.000 --> 00:00:46.600]  其實不是耶穌親自施洗
[00:00:46.600 --> 00:00:48.400]  乃是他的門徒施洗
[00:00:48.400 --> 00:00:52.200]  他就離開了猶太 又往加利尼去
[00:00:52.200 --> 00:00:54.600]  必須經過撒瑪利亞
[00:00:54.600 --> 00:00:57.600]  在這裏一開始講到當時法利塞人
[00:00:57.600 --> 00:01:02.200]  知道耶穌的施洗比門徒更多
[00:01:02.200 --> 00:01:06.400]  耶穌離開這個猶太的地方
[00:01:06.400 --> 00:01:08.000]  去加利尼的地方
[00:01:08.000 --> 00:01:10.200]  其實從這一節經文裏面
[00:01:10.200 --> 00:01:12.600]  可以講出最少有兩個原因
[00:01:12.600 --> 00:01:14.000]  第一個原因就是
[00:01:14.000 --> 00:01:17.600]  他見到法利塞人已經對他虎視眈眈
[00:01:17.600 --> 00:01:19.400]  耶穌的聲望
[00:01:19.400 --> 00:01:22.800]  在群眾當中的聲望越來越高
[00:01:22.800 --> 00:01:26.000]  法利塞人也都看著他
[00:01:26.000 --> 00:01:28.400]  耶穌在這一刻或這個階段裏面
[00:01:28.400 --> 00:01:32.000]  不想和法利塞人有一個更大的正面衝突
[00:01:32.000 --> 00:01:34.800]  所以他離開這個地方
[00:01:34.800 --> 00:01:36.000]  另一個原因
[00:01:36.000 --> 00:01:38.600]  亦都是因為施洗約翰的門徒見到
[00:01:38.600 --> 00:01:42.000]  耶穌施洗的人比他更多的時候
[00:01:42.000 --> 00:01:44.200]  一班施洗約翰的門徒妒忌
[00:01:44.200 --> 00:01:49.200]  耶穌亦都因為不希望和施洗約翰的門徒
[00:01:49.200 --> 00:01:53.000]  在這一方面有太多的衝突或誤會
[00:01:53.000 --> 00:01:54.600]  所以基於這兩個原因
[00:01:54.600 --> 00:01:57.600]  所以耶穌就離開這個猶大地方
[00:01:57.600 --> 00:01:59.800]  去加利利這個地方
[00:01:59.800 --> 00:02:02.000]  在去加利利的途中
[00:02:02.000 --> 00:02:05.800]  聖經說必須經過撒瑪尼亞
[00:02:05.800 --> 00:02:08.800]  在這裏第五至第八節
[00:02:08.800 --> 00:02:13.400]  接著再講在這個途中遇到什麼事呢
